id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,counterpress,duel_type_id,duel_type_name,miscontrol_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_no_touch,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,ball_recovery_recovery_failure,foul_won_defensive,pass_switch,pass_through_ball,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,dribble_outcome_id,dribble_outcome_name,50_50_outcome_id,50_50_outcome_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_save_block,clearance_left_foot,pass_goal_assist,dribble_overrun,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,pass_deflected,pass_outswinging,block_offensive,shot_one_on_one,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
3b08c266-58ca-4e1b-8e44-bda1bfb5924d,2467,2,00:13:18.084,58,18,131,1.315401,43,Carry,209,Celta Vigo,1,Regular Play,208,Las Palmas,,,"['0f95d791-9e99-4cc6-9dd8-a6483dc5f891', '730588b2-87c6-48fd-a0a3-fc70b0c18780', 'caa017d0-ffda-43dd-8ecb-719f790589bf']",,"[72.0, 58.2]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,"[74.1, 56.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.084,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.620835517576227
730588b2-87c6-48fd-a0a3-fc70b0c18780,2468,2,00:13:18.827,58,18,131,0.413424,17,Pressure,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['3b08c266-58ca-4e1b-8e44-bda1bfb5924d'],,"[46.4, 24.4]",7105.0,Fabián Ariel Orellana Valenzuela,17.0,Right Wing,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.827,0.7430000000000518,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1322756210623408
caa017d0-ffda-43dd-8ecb-719f790589bf,2469,2,00:13:19.399,58,19,131,0.0,3,Dispossessed,209,Celta Vigo,1,Regular Play,208,Las Palmas,,,['a3d1d000-394b-4adb-9855-fb6610b5c006'],,"[74.1, 56.4]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.399,0.5720000000000027,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.43522427469755776
a3d1d000-394b-4adb-9855-fb6610b5c006,2470,2,00:13:19.399,58,19,131,0.0,4,Duel,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['caa017d0-ffda-43dd-8ecb-719f790589bf'],,"[46.0, 23.7]",7105.0,Fabián Ariel Orellana Valenzuela,17.0,Right Wing,,,,,,,,,,,,,True,,,True,11.0,Tackle,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.399,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4805134581238283
8822bfbf-dee4-48b1-9c68-c1425d40b946,2471,2,00:13:20.165,58,20,131,0.0,2,Ball Recovery,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,,,"[46.1, 20.1]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.165,0.7659999999999627,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7851180391381847
5f77496e-1148-4391-aa0c-fed35bed228a,2472,2,00:13:20.165,58,20,131,1.334571,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['7b334df6-5e82-49d0-8c65-c77897c1927d', '8822bfbf-dee4-48b1-9c68-c1425d40b946']",,"[46.1, 20.1]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,,,,,,,,,,"[50.7, 16.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.165,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6162868228417738
7b334df6-5e82-49d0-8c65-c77897c1927d,2473,2,00:13:21.500,58,21,131,1.842715,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['495d2e0c-8592-4be1-94c8-b7c9c848cb76'],,"[50.7, 16.4]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,6724.0,Manuel Agudo Durán,28.225166,-0.4430483,1.0,Ground Pass,"[76.2, 4.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.5,1.3350000000000364,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.43779906163885507
495d2e0c-8592-4be1-94c8-b7c9c848cb76,2474,2,00:13:23.343,58,23,131,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['7b334df6-5e82-49d0-8c65-c77897c1927d'],,"[76.2, 4.3]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.343,1.842999999999961,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19614844083881522
f40f4d4d-ffc4-4ac4-ae2f-282f19e9b481,2475,2,00:13:23.343,58,23,131,2.839653,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['495d2e0c-8592-4be1-94c8-b7c9c848cb76', 'df678f8d-7ca2-4b6c-bb24-ef2052ea0ec0']",,"[76.2, 4.3]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,"[83.9, 14.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.343,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17774567151695542
df678f8d-7ca2-4b6c-bb24-ef2052ea0ec0,2476,2,00:13:26.182,58,26,131,0.0,14,Dribble,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['439548ed-28b7-4d70-9f1b-b0f151c91179'],,"[83.9, 14.4]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,806.182,2.8390000000000555,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5003125236826417
