id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_aerial_won,out,shot_first_time,dribble_outcome_id,dribble_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_technique_id,pass_technique_name,pass_straight,clearance_aerial_won,clearance_head,foul_won_defensive,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed_advantage,foul_won_advantage,pass_outswinging,clearance_right_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_type_id,foul_committed_type_name,ball_recovery_recovery_failure,dribble_overrun,foul_committed_card_id,foul_committed_card_name,pass_inswinging,shot_aerial_won,block_offensive,pass_no_touch,dribble_nutmeg,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,pass_miscommunication,pass_deflected,pass_goal_assist,shot_deflected,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,pass_through_ball,block_save_block,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
fd86ef37-a93f-4ac9-8142-9468b7821fa0,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,218,Real Betis,1,Regular Play,218,Real Betis,442.0,"[{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 186264, 'name': 'Foued Kadir'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 5}, {'player': {'id': 3601, 'name': 'Charly Musonda Junior'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 27348, 'name': 'Ricky van Wolfswinkel'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.838984833638576
cb6b8019-7837-40cc-8a40-be5ba5ca44f5,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,218,Real Betis,1,Regular Play,1041,Sporting Gijón,442.0,"[{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16332, 'name': 'Ognjen Vranješ'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 27526, 'name': 'Rachid Aït-Atmane'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 23994, 'name': 'Alejandro Menéndez Díez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 3}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 24173, 'name': 'Carlos Castro García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.3938039176685192
534d5194-98e0-42f5-8e60-852e7f6de8cc,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,218,Real Betis,1,Regular Play,218,Real Betis,,,['dafc5c8c-8f23-4f4d-9303-2ef276d8d82f'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.24137592232332605
dafc5c8c-8f23-4f4d-9303-2ef276d8d82f,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,218,Real Betis,1,Regular Play,1041,Sporting Gijón,,,['534d5194-98e0-42f5-8e60-852e7f6de8cc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.7490151423347922
2ea201a3-0bb7-4523-8a60-8e116b34cc4f,5,1,00:00:01.323,0,1,2,0.476226,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['ea7d8e45-8a92-4998-a07d-2c78b9aaf3a0'],True,"[61.0, 40.1]",27348.0,Ricky van Wolfswinkel,22.0,Right Center Forward,6832.0,Rubén Castro Martín,0.92195445,-2.4329665,1.0,Ground Pass,"[60.3, 39.5]",65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.323,1.323,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.39140288889637254
ea7d8e45-8a92-4998-a07d-2c78b9aaf3a0,6,1,00:00:01.799,0,1,2,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['2ea201a3-0bb7-4523-8a60-8e116b34cc4f'],,"[60.3, 39.5]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799,0.476,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.008063946305434389
c53bf5e2-6ae0-4ac2-b547-f21dbf99cd67,7,1,00:00:02.024,0,2,2,1.497132,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['f3e6252b-12d2-4154-ad50-f68a4a7fffb1'],,"[61.0, 42.2]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,6872.0,Bruno González Cabrera,24.429491,-3.0924518,1.0,Ground Pass,"[36.6, 41.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.024,0.2250000000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6419773276254042
f3e6252b-12d2-4154-ad50-f68a4a7fffb1,8,1,00:00:03.521,0,3,2,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['c53bf5e2-6ae0-4ac2-b547-f21dbf99cd67'],,"[36.6, 41.0]",6872.0,Bruno González Cabrera,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.521,1.4969999999999999,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16973036904755157
6de0f019-51b7-40ac-803e-e1185b59df5d,9,1,00:00:03.521,0,3,2,2.394053,43,Carry,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['4049d3a9-cf05-4932-b2b7-419737075265', 'f3e6252b-12d2-4154-ad50-f68a4a7fffb1']",,"[36.6, 41.0]",6872.0,Bruno González Cabrera,5.0,Left Center Back,,,,,,,,,,,,"[37.0, 41.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.521,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1990104226322218
4049d3a9-cf05-4932-b2b7-419737075265,10,1,00:00:05.915,0,5,2,4.297849,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['d1ec7935-0d9a-4743-8773-28ca46e7b3d3'],,"[37.0, 41.3]",6872.0,Bruno González Cabrera,5.0,Left Center Back,186264.0,Foued Kadir,64.900696,0.63887864,3.0,High Pass,"[89.1, 80.0]",,,40.0,Right Foot,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.915,2.394,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7843838737891927
