id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,out,off_camera,dribble_outcome_id,dribble_outcome_name,pass_switch,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,interception_outcome_id,interception_outcome_name,pass_cross,clearance_head,clearance_aerial_won,pass_straight,pass_technique_id,pass_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_committed_advantage,foul_won_advantage,pass_through_ball,dribble_overrun,block_offensive,ball_recovery_recovery_failure,clearance_left_foot,bad_behaviour_card_id,bad_behaviour_card_name,miscontrol_aerial_won,pass_inswinging,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_card_id,foul_committed_card_name,pass_deflected,dribble_nutmeg,foul_won_defensive,pass_cut_back,goalkeeper_lost_in_play,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
059eb128-3537-4962-9023-667c9024a3c6,116,1,00:02:00.019,2,0,5,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['ab3cafbf-04d1-4a48-9f90-b58b5eb05999'],"[73.3, 75.8]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.019,0.14300000000000068,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.86387588394036
d15a1ac2-ef6d-4db9-9bc5-806a5b7155eb,117,1,00:02:00.019,2,0,5,0.0,6,Block,217,Barcelona,7,From Goal Kick,214,Espanyol,,,['ab3cafbf-04d1-4a48-9f90-b58b5eb05999'],"[48.9, 2.5]",6701.0,Joan Jordán Moreno,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.019,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.014660368752205
32e79d8d-aea6-47e8-ab95-7e6a78a46c5c,118,1,00:02:01.041,2,1,5,4.2028,30,Pass,217,Barcelona,7,From Goal Kick,214,Espanyol,,,['dccaf8e1-10ba-4425-b6cd-cafc902efb83'],"[47.4, 2.2]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,33.62038,0.15830281,3.0,High Pass,"[80.6, 7.5]",66.0,Recovery,38.0,Left Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.041,1.0219999999999914,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7380728067106002
dccaf8e1-10ba-4425-b6cd-cafc902efb83,119,1,00:02:05.244,2,5,5,0.0,2,Ball Recovery,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['32e79d8d-aea6-47e8-ab95-7e6a78a46c5c'],"[39.5, 72.6]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.244,4.203000000000003,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8958738762604034
923f8fdc-320c-4425-b3f2-64a6638528d3,120,1,00:02:05.244,2,5,5,2.441499,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['c6c0d76c-c446-4c56-92cc-493437d99787', 'dccaf8e1-10ba-4425-b6cd-cafc902efb83']","[39.5, 72.6]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,"[41.4, 62.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.244,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9550719960645275
c6c0d76c-c446-4c56-92cc-493437d99787,121,1,00:02:07.685,2,7,5,3.021801,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['8c413e97-2372-4814-950c-f25898067c05'],"[41.4, 62.3]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,5211.0,Jordi Alba Ramos,50.606323,-1.3028111,3.0,High Pass,"[54.8, 13.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.685,2.4410000000000025,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.029174847992042396
442fd3c7-6359-4058-9dc4-868253aee924,122,1,00:02:10.146,2,10,5,0.5995,17,Pressure,217,Barcelona,7,From Goal Kick,214,Espanyol,,,"['69f7bd09-ba41-47d5-a61f-9156c7ec0bbe', '8c413e97-2372-4814-950c-f25898067c05']","[65.9, 60.0]",6838.0,Hernán Arsenio Pérez González,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.14600000000002,2.4610000000000127,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.1513931293350399
8c413e97-2372-4814-950c-f25898067c05,123,1,00:02:10.707,2,10,5,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['442fd3c7-6359-4058-9dc4-868253aee924', 'c6c0d76c-c446-4c56-92cc-493437d99787']","[54.8, 13.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.707,0.5609999999999786,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5723018030040575
69f7bd09-ba41-47d5-a61f-9156c7ec0bbe,124,1,00:02:10.707,2,10,5,0.7317,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['442fd3c7-6359-4058-9dc4-868253aee924', '5b4aa046-1482-4f35-a052-f70bfd04092b', '8c413e97-2372-4814-950c-f25898067c05', 'a8d83559-fcab-4854-bde0-cbf0747b1bfe']","[54.8, 13.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,"[57.6, 18.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.707,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.015407096231469297
a8d83559-fcab-4854-bde0-cbf0747b1bfe,125,1,00:02:11.026,2,11,5,0.0,6,Block,217,Barcelona,7,From Goal Kick,214,Espanyol,,,['69f7bd09-ba41-47d5-a61f-9156c7ec0bbe'],"[64.8, 63.4]",6838.0,Hernán Arsenio Pérez González,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.026,0.3190000000000168,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7052956742347228
