id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,off_camera,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_other,pass_aerial_won,foul_won_defensive,pass_switch,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_goal_assist,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_right_foot,miscontrol_aerial_won,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_outswinging,shot_aerial_won,clearance_aerial_won,pass_no_touch,shot_one_on_one,dribble_overrun,bad_behaviour_card_id,bad_behaviour_card_name,ball_recovery_offensive,pass_deflected,pass_through_ball,pass_cut_back,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
c777ac5c-4988-4383-8657-c6bd831fea56,2626,2,00:18:18.423,63,18,131,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['c3936032-c311-4d26-a7d6-456c20af5f96'],"[16.9, 22.5]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098.423,1.8309999999999036,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.41515754233918023
a6a6d42e-2f22-4e9c-adaf-8a94fa513e74,2627,2,00:18:18.423,63,18,131,1.900664,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['e6dd5d3e-0edd-414d-81a4-7c57fabe6d1f'],"[16.1, 20.9]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,3379.0,Alphonse Areola,17.54195,2.070143,1.0,Ground Pass,"[7.7, 36.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098.423,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.4372170386293681
e6dd5d3e-0edd-414d-81a4-7c57fabe6d1f,2628,2,00:18:20.324,63,20,131,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['a6a6d42e-2f22-4e9c-adaf-8a94fa513e74'],"[7.7, 36.3]",3379.0,Alphonse Areola,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.324,1.9010000000000673,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.11307650181968554
82ee18df-b692-4149-87b0-3e037c251586,2629,2,00:18:20.324,63,20,131,1.089259,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['28520754-75be-4887-9843-2d023975b881', 'e6dd5d3e-0edd-414d-81a4-7c57fabe6d1f', 'f5e74c91-535f-4c18-a07e-585ebd8b6013']","[7.7, 36.3]",3379.0,Alphonse Areola,1.0,Goalkeeper,,,,,,,,,,,,"[7.0, 39.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.324,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5798006458827296
f5e74c91-535f-4c18-a07e-585ebd8b6013,2630,2,00:18:20.892,63,20,131,0.746212,17,Pressure,222,Villarreal,1,Regular Play,220,Real Madrid,,,"['28520754-75be-4887-9843-2d023975b881', '82ee18df-b692-4149-87b0-3e037c251586']","[109.3, 43.2]",6399.0,Gareth Frank Bale,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.892,0.5679999999999836,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.15653099859250486
28520754-75be-4887-9843-2d023975b881,2631,2,00:18:21.413,63,21,131,3.010376,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,"['baacc72f-f3a4-4790-8928-fd1a017174ad', 'f5e74c91-535f-4c18-a07e-585ebd8b6013']","[7.0, 39.6]",3379.0,Alphonse Areola,1.0,Goalkeeper,3324.0,Eric Bertrand Bailly,47.62111,0.8225282,3.0,High Pass,"[39.4, 74.5]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.413,0.5209999999999582,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.41674115226579034
baacc72f-f3a4-4790-8928-fd1a017174ad,2632,2,00:18:24.424,63,24,131,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['28520754-75be-4887-9843-2d023975b881'],"[39.4, 74.5]",3324.0,Eric Bertrand Bailly,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.424,3.0109999999999673,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.936972527327819
dbbb82db-6db2-4adb-a49d-a5d2d1543296,2633,2,00:18:24.424,63,24,131,1.73857,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['20450cc6-32a2-40ee-a1c0-696d8acabe4e', '8a769225-d65f-4525-bb46-c326c721dbc6', 'baacc72f-f3a4-4790-8928-fd1a017174ad']","[39.4, 74.5]",3324.0,Eric Bertrand Bailly,2.0,Right Back,,,,,,,,,,,,"[44.3, 74.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.424,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6573362931951099
8a769225-d65f-4525-bb46-c326c721dbc6,2634,2,00:18:25.760,63,25,131,0.379369,17,Pressure,222,Villarreal,1,Regular Play,220,Real Madrid,,,['dbbb82db-6db2-4adb-a49d-a5d2d1543296'],"[74.6, 7.2]",5695.0,James David Rodríguez Rubio,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105.76,1.3360000000000127,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9056962225476433
20450cc6-32a2-40ee-a1c0-696d8acabe4e,2635,2,00:18:26.162,63,26,131,0.593048,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['854a0fce-f09d-40f0-9380-cc8e38eb3520'],"[44.3, 74.9]",3324.0,Eric Bertrand Bailly,2.0,Right Back,6357.0,Jonathan dos Santos Ramírez,7.0114193,0.057080783,1.0,Ground Pass,"[51.3, 75.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.162,0.40200000000004366,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.834037721118587
