id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,counterpress,foul_committed_type_id,foul_committed_type_name,pass_switch,foul_won_defensive,pass_deflected,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,shot_first_time,interception_outcome_id,interception_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_overrun,foul_committed_advantage,foul_won_advantage,clearance_head,clearance_body_part_id,clearance_body_part_name,shot_aerial_won,ball_recovery_recovery_failure,pass_outswinging,pass_technique_id,pass_technique_name,clearance_right_foot,clearance_aerial_won,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,clearance_left_foot,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_straight,pass_no_touch,dribble_nutmeg,dribble_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,pass_through_ball,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
7043d124-a737-4f26-9b6d-327af642e433,344,1,00:08:17.538,8,17,19,0.776315,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['14a1b9d3-fcd1-4c8e-8672-40f14cb273a5', '6b43cc9b-7e74-4cb2-a1c6-7f720819742b']",,"[36.8, 17.3]",5724.0,Fayçal Fajr,21.0,Left Wing,,,,,,,,,,,,"[36.8, 17.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.538,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46644472995258845
14a1b9d3-fcd1-4c8e-8672-40f14cb273a5,345,1,00:08:18.314,8,18,19,0.838783,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['6124103c-7dc1-4064-89a8-770ca8bc523f'],,"[36.8, 17.3]",5724.0,Fayçal Fajr,21.0,Left Wing,6733.0,Pedro Mosquera Parada,10.948973,1.4056476,1.0,Ground Pass,"[38.6, 28.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.314,0.7760000000000105,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.6140237868444198
6124103c-7dc1-4064-89a8-770ca8bc523f,346,1,00:08:19.153,8,19,19,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['14a1b9d3-fcd1-4c8e-8672-40f14cb273a5'],,"[38.6, 28.1]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.153,0.8389999999999986,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7985539346881543
3d1c2bef-e2c1-4d4b-9995-4a2c686a29f2,347,1,00:08:19.153,8,19,19,1.2559,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['04df49b0-8e71-4850-98ce-51eaecba5148'],,"[38.6, 28.1]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,5724.0,Fayçal Fajr,13.8361845,-1.6431336,1.0,Ground Pass,"[37.6, 14.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.153,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.05884782491999219
04df49b0-8e71-4850-98ce-51eaecba5148,348,1,00:08:20.409,8,20,19,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['3d1c2bef-e2c1-4d4b-9995-4a2c686a29f2'],,"[37.6, 14.3]",5724.0,Fayçal Fajr,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.409,1.2559999999999718,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03425088624478578
9cf4a72b-1284-48b1-8967-128fe7cc3cb9,349,1,00:08:20.409,8,20,19,0.434883,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['04df49b0-8e71-4850-98ce-51eaecba5148', '224dac5d-1c88-44d7-87b5-627d06d0309b']",,"[37.6, 14.3]",5724.0,Fayçal Fajr,21.0,Left Wing,,,,,,,,,,,,"[37.6, 14.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.409,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7985864162246924
224dac5d-1c88-44d7-87b5-627d06d0309b,350,1,00:08:20.844,8,20,19,2.028808,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['9935813d-09a1-4b2a-9221-63955a8713b5'],,"[37.6, 14.3]",5724.0,Fayçal Fajr,21.0,Left Wing,6913.0,Fernando Navarro i Corbacho,11.933147,-2.4511461,1.0,Ground Pass,"[28.4, 6.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.844,0.4350000000000023,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7927524014497536
9935813d-09a1-4b2a-9221-63955a8713b5,351,1,00:08:22.872,8,22,19,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['224dac5d-1c88-44d7-87b5-627d06d0309b'],,"[28.4, 6.7]",6913.0,Fernando Navarro i Corbacho,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.872,2.02800000000002,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.40021595075360716
1d37e616-d449-4211-9e24-e165655a6c08,352,1,00:08:22.872,8,22,19,0.861747,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['01e5be1e-3625-4a01-816c-a28eee13f1a7', '9935813d-09a1-4b2a-9221-63955a8713b5']",,"[28.4, 6.7]",6913.0,Fernando Navarro i Corbacho,6.0,Left Back,,,,,,,,,,,,"[28.4, 6.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.872,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9568377936467265
01e5be1e-3625-4a01-816c-a28eee13f1a7,353,1,00:08:23.734,8,23,19,1.493848,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['9bb10782-b34d-40ec-8a27-1e284abdf91d'],,"[28.4, 6.7]",6913.0,Fernando Navarro i Corbacho,6.0,Left Back,6777.0,Sidnei Rechel da Silva Júnior,15.250574,1.9257298,1.0,Ground Pass,"[23.1, 21.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.734,0.8619999999999663,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.2124689240217963
9bb10782-b34d-40ec-8a27-1e284abdf91d,354,1,00:08:25.228,8,25,19,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['01e5be1e-3625-4a01-816c-a28eee13f1a7'],,"[23.1, 21.0]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.228,1.4940000000000282,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4369566634313222
60977d39-6275-4185-b698-180467c81599,355,1,00:08:25.228,8,25,19,2.732195,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['5af7472e-36d0-4740-a489-cb4235976261', '9bb10782-b34d-40ec-8a27-1e284abdf91d']",,"[23.1, 21.0]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,,,,,,,,,,,,"[20.9, 21.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.228,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4704245677896829
5af7472e-36d0-4740-a489-cb4235976261,356,1,00:08:27.960,8,27,19,2.319773,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['b110a259-347f-48df-9ede-9de3b76ff0a9'],,"[20.9, 21.7]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,23800.0,Laureano Sanabria Ruiz,57.564053,1.3447788,3.0,High Pass,"[33.8, 77.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.96,2.731999999999971,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4167442486276445
b110a259-347f-48df-9ede-9de3b76ff0a9,357,1,00:08:30.280,8,30,19,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['5af7472e-36d0-4740-a489-cb4235976261'],,"[33.8, 77.8]",23800.0,Laureano Sanabria Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.28,2.319999999999993,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12046891824560246
288e2fb0-ae86-4364-bb0e-f460d8af1b15,358,1,00:08:30.280,8,30,19,3.951327,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['b110a259-347f-48df-9ede-9de3b76ff0a9', 'f7086267-0654-49f6-a497-43ae51a60930']",,"[33.8, 77.8]",23800.0,Laureano Sanabria Ruiz,2.0,Right Back,,,,,,,,,,,,"[40.7, 76.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.28,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5834229889481256
f7086267-0654-49f6-a497-43ae51a60930,359,1,00:08:34.231,8,34,19,1.767761,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['6f523f2f-47d7-4733-9e89-98e1f0455176'],,"[40.7, 76.3]",23800.0,Laureano Sanabria Ruiz,2.0,Right Back,6869.0,Alejandro Arribas Garrido,17.066048,-2.4100842,1.0,Ground Pass,"[28.0, 64.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.231,3.951000000000022,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.774624239182606
