id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_technique_id,pass_technique_name,pass_straight,ball_recovery_recovery_failure,foul_won_defensive,pass_aerial_won,duel_type_id,duel_type_name,off_camera,pass_switch,out,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_deflected,pass_miscommunication,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,shot_first_time,goalkeeper_end_location,foul_committed_card_id,foul_committed_card_name,dribble_overrun,pass_outswinging,clearance_right_foot,foul_committed_type_id,foul_committed_type_name,block_offensive,clearance_other,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,pass_inswinging,foul_committed_offensive,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,clearance_left_foot,pass_goal_assist,50_50_outcome_id,50_50_outcome_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
007ebf7c-becb-40dc-875b-ba7d49cc9680,2193,2,00:16:45.852,61,45,143,,42,Ball Receipt*,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['e79ee9d9-8375-445c-a918-c18c92057082'],"[32.1, 4.2]",6932.0,Dani Castellano Betancor,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.852,1.7429999999999382,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2905442983694432
54103fa6-d84c-40bd-b14b-797e0e26f984,2194,2,00:16:45.852,61,45,143,2.689522,43,Carry,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,"['007ebf7c-becb-40dc-875b-ba7d49cc9680', 'f5f27d9c-1727-456c-8853-1a55ad6b8ec2']","[32.1, 4.2]",6932.0,Dani Castellano Betancor,6.0,Left Back,,,,,,,,,,,,"[32.6, 4.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.852,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6401868323090663
f5f27d9c-1727-456c-8853-1a55ad6b8ec2,2195,2,00:16:48.542,61,48,143,0.993911,30,Pass,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['2f95c54f-ff20-4bf3-b0c1-64483cad6838'],"[32.6, 4.2]",6932.0,Dani Castellano Betancor,6.0,Left Back,3610.0,Roque Mesa Quevedo,12.054045,1.9713309,1.0,Ground Pass,"[27.9, 15.3]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.542,2.6900000000000546,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8157141625017374
2f95c54f-ff20-4bf3-b0c1-64483cad6838,2196,2,00:16:49.535,61,49,143,,42,Ball Receipt*,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['f5f27d9c-1727-456c-8853-1a55ad6b8ec2'],"[27.9, 15.3]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.535,0.9929999999999382,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8277599198075706
ef0dbef4-c658-42ae-8e73-6f67cc361964,2197,2,00:16:49.535,61,49,143,1.295316,43,Carry,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,"['2f95c54f-ff20-4bf3-b0c1-64483cad6838', 'a135a0b0-2a67-40a4-b507-65bb3bdec3e2']","[27.9, 15.3]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,,,,,,,,,,,,"[27.2, 15.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.535,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5917556294027443
a135a0b0-2a67-40a4-b507-65bb3bdec3e2,2198,2,00:16:50.831,61,50,143,1.95775,30,Pass,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['ddadd81c-f3f8-494f-bb52-726dda8bdfa5'],"[27.2, 15.3]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,26753.0,Javier Varas Herrera,25.609568,2.5254285,1.0,Ground Pass,"[6.3, 30.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.831,1.2960000000000491,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5337537377298024
ddadd81c-f3f8-494f-bb52-726dda8bdfa5,2199,2,00:16:52.789,61,52,143,,42,Ball Receipt*,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['a135a0b0-2a67-40a4-b507-65bb3bdec3e2'],"[6.3, 30.1]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.789,1.95799999999997,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9016677760154103
4d536241-fb01-4280-aabc-6305ea3e7337,2200,2,00:16:52.789,61,52,143,2.540897,30,Pass,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['d0bef7e5-2d27-45a7-9f7d-2c9dfa2718a9'],"[6.3, 30.1]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,6932.0,Dani Castellano Betancor,38.269176,-0.8131175,3.0,High Pass,"[32.6, 2.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.789,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.06690105476708508
d0bef7e5-2d27-45a7-9f7d-2c9dfa2718a9,2201,2,00:16:55.329,61,55,143,,42,Ball Receipt*,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['4d536241-fb01-4280-aabc-6305ea3e7337'],"[32.6, 2.3]",6932.0,Dani Castellano Betancor,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.329,2.5399999999999636,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1482736537940349
b813cdd2-decc-42b8-bf1f-2f23897709ad,2202,2,00:16:55.329,61,55,143,0.956827,43,Carry,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,"['27314c99-077a-4b93-8091-59df3418f3f4', 'd0bef7e5-2d27-45a7-9f7d-2c9dfa2718a9', 'e88005a3-d22c-4bf4-97c8-e6aa9dd39189']","[32.6, 2.3]",6932.0,Dani Castellano Betancor,6.0,Left Back,,,,,,,,,,,,"[31.7, 1.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.329,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8730515921800618
e88005a3-d22c-4bf4-97c8-e6aa9dd39189,2203,2,00:16:55.586,61,55,143,0.664533,17,Pressure,208,Las Palmas,3,From Free Kick,214,Espanyol,,,['b813cdd2-decc-42b8-bf1f-2f23897709ad'],"[89.9, 77.0]",24072.0,Salvador Sevilla López,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.586,0.25700000000006185,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8875254691594182
27314c99-077a-4b93-8091-59df3418f3f4,2204,2,00:16:56.286,61,56,143,0.78113,30,Pass,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['f816ed77-787f-48c2-8cae-6882f8f758fc'],"[31.7, 1.9]",6932.0,Dani Castellano Betancor,6.0,Left Back,26689.0,Nauzet Alemán Viera,13.306014,0.030066125,1.0,Ground Pass,"[45.0, 2.3]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.286,0.6999999999999318,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4663488262813681
2d70f53a-f673-4be4-950e-39f75467a607,2205,2,00:16:56.709,61,56,143,1.016289,17,Pressure,208,Las Palmas,3,From Free Kick,214,Espanyol,,,"['3173b670-08f7-45d5-bb63-557caf73efc3', 'd5e28acd-6a51-4a81-91d0-478f4c861ab8', 'f816ed77-787f-48c2-8cae-6882f8f758fc']","[68.9, 77.6]",6791.0,Javier López Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.709,0.4230000000000018,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7216288124967549
f816ed77-787f-48c2-8cae-6882f8f758fc,2206,2,00:16:57.067,61,57,143,,42,Ball Receipt*,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,"['27314c99-077a-4b93-8091-59df3418f3f4', '2d70f53a-f673-4be4-950e-39f75467a607']","[45.0, 2.3]",26689.0,Nauzet Alemán Viera,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.067,0.35800000000006094,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1670823481586824
3173b670-08f7-45d5-bb63-557caf73efc3,2207,2,00:16:57.067,61,57,143,0.534782,43,Carry,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,"['2d70f53a-f673-4be4-950e-39f75467a607', 'd5e28acd-6a51-4a81-91d0-478f4c861ab8', 'f816ed77-787f-48c2-8cae-6882f8f758fc']","[45.0, 2.3]",26689.0,Nauzet Alemán Viera,21.0,Left Wing,,,,,,,,,,,,"[51.0, 1.2]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.067,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5379527573895805
d5e28acd-6a51-4a81-91d0-478f4c861ab8,2208,2,00:16:57.602,61,57,143,0.502968,30,Pass,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['2d70f53a-f673-4be4-950e-39f75467a607'],"[51.0, 1.2]",26689.0,Nauzet Alemán Viera,21.0,Left Wing,,,3.3837848,-0.33109608,2.0,Low Pass,"[54.2, 0.1]",,,40.0,Right Foot,,True,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.602,0.5349999999999682,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.815793070114994
