id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,interception_outcome_id,interception_outcome_name,out,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_won_defensive,off_camera,pass_miscommunication,ball_recovery_recovery_failure,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_technique_id,pass_technique_name,pass_inswinging,clearance_right_foot,clearance_left_foot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block_deflection,pass_outswinging,clearance_aerial_won,foul_committed_advantage,foul_won_advantage,pass_deflected,foul_committed_type_id,foul_committed_type_name,pass_switch,dribble_nutmeg,pass_cross,pass_through_ball,shot_first_time,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,foul_committed_offensive,goalkeeper_lost_out,shot_one_on_one,pass_goal_assist,shot_aerial_won,dribble_overrun,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f6937dc6-ca7a-4741-82c3-918b095d7956,1965,2,00:08:37.214,53,37,107,1.698345,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['64354ba4-8351-444a-a24c-fcb1501a05c1', 'd8897968-81cf-4f7b-b890-dc27979a8ff7']","[62.8, 52.1]",6656.0,Mikel Rico Moreno,11.0,Left Defensive Midfield,6392.0,Íñigo Lekue Martínez,25.639423,1.1402954,2.0,Low Pass,"[73.5, 75.4]",,,40.0,Right Foot,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.2139999999999,0.4359999999999218,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.4146042442731287
64354ba4-8351-444a-a24c-fcb1501a05c1,1966,2,00:08:38.913,53,38,107,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['f6937dc6-ca7a-4741-82c3-918b095d7956'],"[73.5, 75.4]",6392.0,Íñigo Lekue Martínez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.913,1.6990000000000691,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14765373553109884
a3b856cd-9785-4ab1-b753-71c62c75040f,1967,2,00:08:38.913,53,38,107,6.498088,43,Carry,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['64354ba4-8351-444a-a24c-fcb1501a05c1', '9e61e776-10be-4c30-9ccd-245e8e50f027', 'f33891c2-e831-4bdd-b702-72c96f4a074a']","[73.5, 75.4]",6392.0,Íñigo Lekue Martínez,17.0,Right Wing,,,,,,,,,,,,"[104.0, 74.1]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.913,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6169591572898875
f33891c2-e831-4bdd-b702-72c96f4a074a,1968,2,00:08:40.726,53,40,107,0.881613,17,Pressure,215,Athletic Club,1,Regular Play,223,Málaga,,,['a3b856cd-9785-4ab1-b753-71c62c75040f'],"[44.9, 10.2]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.726,1.8129999999999882,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7871012785302866
9e61e776-10be-4c30-9ccd-245e8e50f027,1969,2,00:08:45.411,53,45,107,0.835604,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['d5a71c8d-7887-40b2-be80-6798b379fd7f'],"[104.0, 74.1]",6392.0,Íñigo Lekue Martínez,17.0,Right Wing,6391.0,Raúl García Escudero,9.642096,-1.4773196,1.0,Ground Pass,"[104.9, 64.5]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.4110000000001,4.685000000000059,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.29818292983930295
d5a71c8d-7887-40b2-be80-6798b379fd7f,1970,2,00:08:46.246,53,46,107,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['9e61e776-10be-4c30-9ccd-245e8e50f027'],"[104.9, 64.5]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.246,0.8349999999999227,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2593094311963303
99855648-5894-4331-8a7f-a0bc18009821,1971,2,00:08:46.246,53,46,107,1.869191,43,Carry,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['284b3343-5517-48d5-88e5-f334deccbf82', 'd5a71c8d-7887-40b2-be80-6798b379fd7f']","[104.9, 64.5]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,"[112.9, 64.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.246,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6730567803504657
284b3343-5517-48d5-88e5-f334deccbf82,1972,2,00:08:48.115,53,48,107,1.800428,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['da005597-36d3-466e-833d-a92267b5f192'],"[112.9, 64.4]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,27.45906,-1.3876855,3.0,High Pass,"[117.9, 37.4]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,528.115,1.8690000000000282,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.3823576116569257
da005597-36d3-466e-833d-a92267b5f192,1973,2,00:08:49.916,53,49,108,0.0,23,Goal Keeper,223,Málaga,8,From Keeper,223,Málaga,,,['284b3343-5517-48d5-88e5-f334deccbf82'],"[2.2, 42.7]",5577.0,Francisco Guillermo Ochoa Magaña,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,Collected,,,,,,,,,,,,,,,,,15.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.9159999999999,1.8009999999999309,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.498659207489902
98aac625-2ffd-401e-8ac6-3938c2621aeb,1974,2,00:08:49.916,53,49,108,19.975725,43,Carry,223,Málaga,8,From Keeper,223,Málaga,,,"['2d1656c5-cfbb-4937-b007-1e43b321323a', 'da005597-36d3-466e-833d-a92267b5f192']","[2.2, 42.7]",5577.0,Francisco Guillermo Ochoa Magaña,1.0,Goalkeeper,,,,,,,,,,,,"[11.4, 50.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.9159999999999,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3629113964165851
