id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,pass_outcome_id,pass_outcome_name,carry_end_location,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,interception_outcome_id,interception_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,out,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_outswinging,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,50_50_outcome_id,50_50_outcome_name,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,pass_cut_back,pass_straight,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_right_foot,ball_recovery_recovery_failure,shot_first_time,clearance_aerial_won,foul_committed_advantage,foul_won_advantage,pass_inswinging,shot_one_on_one,foul_committed_type_id,foul_committed_type_name,pass_goal_assist,miscontrol_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
e67932bd-1ac6-4f85-b5c8-e0b33040718b,3033,2,00:38:35.000,83,35,191,0.0,14,Dribble,207,Valencia,4,From Throw In,207,Valencia,,,['ac8ff0a3-a64e-4b6d-a6f3-1e91ab8d1609'],,"[109.8, 69.3]",20542.0,Álvaro Negredo Sánchez,17.0,Right Wing,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.47672310402200424
7d5c107f-e208-430f-ad3a-24817bf082b1,3034,2,00:38:35.000,83,35,191,3.081267,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['5c0205a0-258b-4720-924b-ed687c38c088', 'ac8ff0a3-a64e-4b6d-a6f3-1e91ab8d1609', 'e67932bd-1ac6-4f85-b5c8-e0b33040718b']",,"[109.8, 69.3]",20542.0,Álvaro Negredo Sánchez,17.0,Right Wing,,,,,,,,,,,,True,,,"[114.7, 66.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315.0,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6383265583732161
5c0205a0-258b-4720-924b-ed687c38c088,3035,2,00:38:38.081,83,38,191,1.098976,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['88b48352-02f4-43cf-b9b2-b2849519f7fc'],,"[114.7, 66.5]",20542.0,Álvaro Negredo Sánchez,17.0,Right Wing,6595.0,Daniel Parejo Muñoz,28.927668,-1.9834048,1.0,Ground Pass,"[103.1, 40.0]",40.0,Right Foot,,,,,,,,,,,,,,,True,,,,,,,,,,abe2a9e8-b1a3-4cd1-ab67-9b02923dbf22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,2318.081,3.081000000000131,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7103526767501795
88b48352-02f4-43cf-b9b2-b2849519f7fc,3036,2,00:38:39.180,83,39,191,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['5c0205a0-258b-4720-924b-ed687c38c088'],,"[103.1, 40.0]",6595.0,Daniel Parejo Muñoz,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2319.18,1.0989999999997053,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4332819051210518
3e6c05fb-ae41-4897-a3ad-02d9b99e855a,3037,2,00:38:39.180,83,39,191,0.079727,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['88b48352-02f4-43cf-b9b2-b2849519f7fc', 'e622f641-b76c-45cc-b42a-d7c0165d8a9c']",,"[103.1, 40.0]",6595.0,Daniel Parejo Muñoz,15.0,Left Center Midfield,,,,,,,,,,,,,,,"[103.1, 40.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2319.18,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2807032357454575
e622f641-b76c-45cc-b42a-d7c0165d8a9c,3038,2,00:38:39.260,83,39,191,1.242134,38,Miscontrol,207,Valencia,4,From Throw In,207,Valencia,,,,,"[103.1, 40.0]",6595.0,Daniel Parejo Muñoz,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2319.26,0.08000000000038199,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.35712437700020827
08ffb779-85b7-4d2c-a0a8-94d04bf1c91f,3039,2,00:38:40.436,83,40,191,0.0,2,Ball Recovery,207,Valencia,4,From Throw In,207,Valencia,,,,,"[105.9, 39.1]",6595.0,Daniel Parejo Muñoz,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320.436,1.1759999999999309,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6062865589202462
abe2a9e8-b1a3-4cd1-ab67-9b02923dbf22,3040,2,00:38:40.488,83,40,191,0.034432,16,Shot,207,Valencia,4,From Throw In,207,Valencia,,,"['b69ca8ee-ba4a-416e-9d1c-0a0acbd9d0ed', 'c4a28d5e-e24e-402b-8b83-18487d9d61c3']",,"[106.6, 41.2]",6595.0,Daniel Parejo Muñoz,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062059153,"[108.0, 41.4]",5c0205a0-258b-4720-924b-ed687c38c088,93.0,Normal,96.0,Blocked,87.0,Open Play,40.0,Right Foot,,"[{'location': [105.8, 31.4], 'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.2, 42.6], 'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.4, 54.0], 'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.3, 40.2], 'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.3, 46.5], 'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.3, 41.5], 'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 56.9], 'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.5, 40.5], 'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.6, 65.0], 'player': {'id': 20542, 'name': 'Álvaro Negredo Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.0, 47.2], 'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.6, 43.2], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,2320.488,0.05199999999967986,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.04593271405469179
c4a28d5e-e24e-402b-8b83-18487d9d61c3,3041,2,00:38:40.523,83,40,191,0.0,6,Block,207,Valencia,4,From Throw In,221,Levante UD,,,['abe2a9e8-b1a3-4cd1-ab67-9b02923dbf22'],,"[12.1, 38.7]",27656.0,Carl Medjani,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320.523,0.03500000000030923,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2504064091075625
b69ca8ee-ba4a-416e-9d1c-0a0acbd9d0ed,3042,2,00:38:40.542,83,40,191,0.0,23,Goal Keeper,207,Valencia,4,From Throw In,221,Levante UD,,,['abe2a9e8-b1a3-4cd1-ab67-9b02923dbf22'],,"[1.6, 39.6]",23843.0,Diego Mariño Villar,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1.6, 39.6]",44.0,Set,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320.542,0.018999999999778083,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8685168617671953
