id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,foul_won_defensive,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,out,pass_switch,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,pass_cross,block_offensive,pass_deflected,block_deflection,pass_inswinging,clearance_left_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_straight,pass_cut_back,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,foul_committed_advantage,foul_won_advantage,pass_through_ball,50_50_outcome_id,50_50_outcome_name,clearance_other,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,shot_aerial_won,miscontrol_aerial_won,dribble_nutmeg,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f24d776d-e148-4c82-aca7-3d2fdb9c9e2b,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,209,Celta Vigo,1,Regular Play,209,Celta Vigo,4231.0,"[{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.17462541309221935
7fbf3832-d283-4f4b-b2d6-dd2ab42ed51e,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,209,Celta Vigo,1,Regular Play,221,Levante UD,4141.0,"[{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 27463, 'name': 'Mauricio Andrés Cuero Castillo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4951770878853099
d0bdf921-9136-4139-9151-0a4618fb31a6,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['5d1c195a-245c-4269-b03e-c61530bafb39'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9279472096010145
5d1c195a-245c-4269-b03e-c61530bafb39,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,209,Celta Vigo,1,Regular Play,221,Levante UD,,,['d0bdf921-9136-4139-9151-0a4618fb31a6'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03812473797332405
d95376a7-39b6-4271-8094-63a75554f0c7,5,1,00:00:00.483,0,0,2,0.391933,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['40abbf97-97c5-45c8-b1df-f51f7154b31a'],True,"[61.0, 40.1]",25134.0,Deyverson Brum Silva Acosta,23.0,Center Forward,6668.0,José Luis Morales Nogales,3.8327537,1.8347601,1.0,Ground Pass,"[60.0, 43.8]",38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.483,0.483,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.36881762134229557
40abbf97-97c5-45c8-b1df-f51f7154b31a,6,1,00:00:00.874,0,0,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['d95376a7-39b6-4271-8094-63a75554f0c7'],,"[60.0, 43.8]",6668.0,José Luis Morales Nogales,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874,0.391,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01102155881041289
689e6a40-fbcf-4d62-aa89-70d91e89d0ad,7,1,00:00:01.616,0,1,2,1.768737,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['2d5c73cd-f665-4dc5-892f-79c32f54409d'],,"[60.9, 44.4]",6668.0,José Luis Morales Nogales,16.0,Left Midfield,26012.0,David Navarro Pedrós,27.750496,-2.942077,1.0,Ground Pass,"[33.7, 38.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.616,0.7420000000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8760912872338269
2d5c73cd-f665-4dc5-892f-79c32f54409d,8,1,00:00:03.385,0,3,2,,42,Ball Receipt*,221,Levante UD,9,From Kick Off,221,Levante UD,,,['689e6a40-fbcf-4d62-aa89-70d91e89d0ad'],,"[33.7, 38.9]",26012.0,David Navarro Pedrós,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.385,1.7689999999999997,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.059552711261899094
02097cfa-1776-4b45-8c9c-34424bf3c808,9,1,00:00:03.385,0,3,2,0.274556,43,Carry,221,Levante UD,9,From Kick Off,221,Levante UD,,,"['2d5c73cd-f665-4dc5-892f-79c32f54409d', 'f6993ea3-9d06-40bc-8ebd-637f56baeb26']",,"[33.7, 38.9]",26012.0,David Navarro Pedrós,3.0,Right Center Back,,,,,,,,,,,,"[33.7, 38.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.385,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.472332084364121
f6993ea3-9d06-40bc-8ebd-637f56baeb26,10,1,00:00:03.659,0,3,2,2.382021,30,Pass,221,Levante UD,9,From Kick Off,221,Levante UD,,,['73d3565b-3b01-4172-8a12-bd479f5b68ef'],,"[33.7, 38.9]",26012.0,David Navarro Pedrós,3.0,Right Center Back,23843.0,Diego Mariño Villar,26.318815,2.9427068,1.0,Ground Pass,"[7.9, 44.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.659,0.274,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.023246794056083875
