id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,under_pressure,pass_cross,pass_outcome_id,pass_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,duel_type_id,duel_type_name,clearance_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,counterpress,interception_outcome_id,interception_outcome_name,foul_won_defensive,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_nutmeg,off_camera,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_outswinging,shot_first_time,pass_goal_assist,shot_one_on_one,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_type_id,foul_committed_type_name,pass_through_ball,ball_recovery_recovery_failure,pass_cut_back,shot_open_goal,shot_aerial_won,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
7653e31f-80fd-4079-85ea-c6ff2d17261c,2889,2,00:43:56.606,88,56,183,0.768086,17,Pressure,360,Rayo Vallecano,4,From Throw In,218,Real Betis,,,"['82c46b37-f9f6-4e46-ae8c-4cf8c271c39a', 'cda90bda-29c4-4ec2-b3e3-7af2bc5daff2']","[59.2, 9.1]",3601.0,Charly Musonda Junior,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636.606,1.094000000000051,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1020927332482926
cda90bda-29c4-4ec2-b3e3-7af2bc5daff2,2890,2,00:43:57.346,88,57,183,0.0,38,Miscontrol,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['7653e31f-80fd-4079-85ea-c6ff2d17261c'],"[64.2, 71.7]",6743.0,Manuel Rolando Iturra Urrutia,9.0,Right Defensive Midfield,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637.346,0.7399999999997817,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6994901225823253
494aa0b4-fa66-4d6d-bb2d-3c793ed25e14,2891,2,00:43:57.846,88,57,184,0.0,2,Ball Recovery,218,Real Betis,1,Regular Play,218,Real Betis,,,,"[55.9, 8.4]",6697.0,Daniel Ceballos Fernández,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637.846,0.5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.887170713941585
2eb6616e-915d-42e2-b2bb-ebc39a6b1cb0,2892,2,00:43:57.846,88,57,184,1.764985,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['494aa0b4-fa66-4d6d-bb2d-3c793ed25e14', 'cd48d2b6-92df-46b9-b792-ad05b7f8b050']","[55.9, 8.4]",6697.0,Daniel Ceballos Fernández,9.0,Right Defensive Midfield,,,,,,,,,,,,"[64.7, 4.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637.846,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.771788845731837
cd48d2b6-92df-46b9-b792-ad05b7f8b050,2893,2,00:43:59.611,88,59,184,4.463152,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,"['1a196c0c-d40a-41e4-ae23-4900f429a10a', '216af8b0-710e-4b13-82f1-69be681589c1']","[64.7, 4.8]",6697.0,Daniel Ceballos Fernández,9.0,Right Defensive Midfield,3601.0,Charly Musonda Junior,36.947666,0.0894347,1.0,Ground Pass,"[101.5, 8.1]",40.0,Right Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639.611,1.7649999999998727,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5660900928568784
1a196c0c-d40a-41e4-ae23-4900f429a10a,2894,2,00:44:04.074,89,4,184,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['cd48d2b6-92df-46b9-b792-ad05b7f8b050'],"[96.4, 9.3]",3601.0,Charly Musonda Junior,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2644.074,4.463000000000193,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21987508005122536
216af8b0-710e-4b13-82f1-69be681589c1,2895,2,00:44:04.074,89,4,184,0.0,9,Clearance,218,Real Betis,1,Regular Play,360,Rayo Vallecano,,,['cd48d2b6-92df-46b9-b792-ad05b7f8b050'],"[18.6, 72.0]",27144.0,Antonio Amaya Carazo,3.0,Right Center Back,,,,,,,,,,,,,,True,,,,True,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2644.074,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6801822822580285
398dad78-a9bb-4cd9-88c9-0496b0f1cf04,2896,2,00:44:09.890,89,9,185,0.692068,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['087d6055-9668-4652-8dfa-b96b5bd3b9d4'],"[91.2, 0.1]",6697.0,Daniel Ceballos Fernández,9.0,Right Defensive Midfield,27346.0,Petros Matheus dos Santos Araújo,10.40865,1.7154107,2.0,Low Pass,"[89.7, 10.4]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2649.89,5.8159999999998035,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.2448840323799929
087d6055-9668-4652-8dfa-b96b5bd3b9d4,2897,2,00:44:10.582,89,10,185,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['398dad78-a9bb-4cd9-88c9-0496b0f1cf04'],"[89.7, 10.4]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650.582,0.6920000000000073,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26867264757704956
3dfd72ad-6df6-419a-b24f-7bcbec58468b,2898,2,00:44:10.582,89,10,185,0.943804,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['ef3e277d-fcb4-47c0-8e3f-314769ff92d9'],"[89.7, 10.4]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,6697.0,Daniel Ceballos Fernández,7.4732857,-0.4277349,1.0,Ground Pass,"[96.5, 7.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650.582,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.38782329802040905
