id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,duel_outcome_id,duel_outcome_name,counterpress,pass_switch,clearance_aerial_won,clearance_head,off_camera,interception_outcome_id,interception_outcome_name,foul_won_defensive,miscontrol_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_committed_advantage,foul_won_advantage,pass_technique_id,pass_technique_name,pass_inswinging,clearance_right_foot,pass_deflected,pass_through_ball,pass_outswinging,pass_assisted_shot_id,pass_goal_assist,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,pass_shot_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_card_id,foul_committed_card_name,shot_first_time,pass_no_touch,dribble_overrun,ball_recovery_offensive,shot_one_on_one,ball_recovery_recovery_failure,pass_miscommunication,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,block_offensive,pass_cut_back,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
379234f2-1d89-4b5e-9713-8acae1ceba22,2177,2,00:11:39.348,56,39,145,2.195993,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,['7b6c636e-249b-46ac-85f7-fac04ec46408'],"[41.5, 14.9]",6647.0,Zouhair Feddal,5.0,Left Center Back,27656.0,Carl Medjani,42.59061,1.8078024,1.0,Ground Pass,"[31.5, 56.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.348,2.84699999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.39382781869076267
7b6c636e-249b-46ac-85f7-fac04ec46408,2178,2,00:11:41.544,56,41,145,,42,Ball Receipt*,221,Levante UD,4,From Throw In,221,Levante UD,,,['379234f2-1d89-4b5e-9713-8acae1ceba22'],"[31.5, 56.3]",27656.0,Carl Medjani,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.544,2.1960000000000264,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.44850158579692156
ca9cb772-cd47-4df0-8758-ffdf09c84284,2179,2,00:11:41.544,56,41,145,5.960507,43,Carry,221,Levante UD,4,From Throw In,221,Levante UD,,,"['44c03664-eafe-4846-995d-9999bd7a17d4', '7b6c636e-249b-46ac-85f7-fac04ec46408']","[31.5, 56.3]",27656.0,Carl Medjani,3.0,Right Center Back,,,,,,,,,,,,"[48.9, 58.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.544,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6371250578332432
44c03664-eafe-4846-995d-9999bd7a17d4,2180,2,00:11:47.505,56,47,145,2.885053,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,['7f4be2c1-252e-44a5-a27b-9bc922b24183'],"[48.9, 58.1]",27656.0,Carl Medjani,3.0,Right Center Back,25134.0,Deyverson Brum Silva Acosta,51.288986,-0.7246993,3.0,High Pass,"[87.3, 24.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.505,5.961000000000013,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.019358308042540795
7f4be2c1-252e-44a5-a27b-9bc922b24183,2181,2,00:11:50.390,56,50,145,,42,Ball Receipt*,221,Levante UD,4,From Throw In,221,Levante UD,,,['44c03664-eafe-4846-995d-9999bd7a17d4'],"[87.3, 24.1]",25134.0,Deyverson Brum Silva Acosta,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.39,2.884999999999991,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6359150563988019
75a28aee-e912-4007-a257-7d3d301ad055,2182,2,00:11:50.390,56,50,145,3.881831,43,Carry,221,Levante UD,4,From Throw In,221,Levante UD,,,"['7f4be2c1-252e-44a5-a27b-9bc922b24183', 'a5cfccf7-411e-4c3a-8e6d-f88bf4d52160', 'b2738dba-997e-453e-aed3-7cdbe2be2c3f']","[87.3, 24.1]",25134.0,Deyverson Brum Silva Acosta,22.0,Right Center Forward,,,,,,,,,,,,"[94.4, 24.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.39,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7317867109435398
a5cfccf7-411e-4c3a-8e6d-f88bf4d52160,2183,2,00:11:54.050,56,54,145,0.323823,17,Pressure,221,Levante UD,4,From Throw In,210,Real Sociedad,,,"['75a28aee-e912-4007-a257-7d3d301ad055', 'b2738dba-997e-453e-aed3-7cdbe2be2c3f']","[26.5, 53.8]",6770.0,Esteban Félix Granero Molina,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.05,3.659999999999968,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6537014685195164
b2738dba-997e-453e-aed3-7cdbe2be2c3f,2184,2,00:11:54.272,56,54,145,2.23927,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,"['a5cfccf7-411e-4c3a-8e6d-f88bf4d52160', 'deac8f95-7882-4d76-8c22-ab2a3418f6d1']","[94.4, 24.1]",25134.0,Deyverson Brum Silva Acosta,22.0,Right Center Forward,6668.0,José Luis Morales Nogales,21.8,-0.98788273,1.0,Ground Pass,"[106.4, 5.9]",38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.272,0.22200000000009368,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6112772427359513
deac8f95-7882-4d76-8c22-ab2a3418f6d1,2185,2,00:11:56.511,56,56,145,,42,Ball Receipt*,221,Levante UD,4,From Throw In,221,Levante UD,,,['b2738dba-997e-453e-aed3-7cdbe2be2c3f'],"[106.4, 5.9]",6668.0,José Luis Morales Nogales,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.511,2.238999999999919,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7816207262846011
18061cfb-6ea5-442c-a130-52e7ccc55246,2186,2,00:11:56.511,56,56,145,3.938865,43,Carry,221,Levante UD,4,From Throw In,221,Levante UD,,,"['a1426dab-ff65-41bd-bd1a-4a9068503dac', 'dae27388-3795-4dfa-9068-68f27f24a6b3', 'deac8f95-7882-4d76-8c22-ab2a3418f6d1']","[106.4, 5.9]",6668.0,José Luis Morales Nogales,16.0,Left Midfield,,,,,,,,,,,,"[112.3, 14.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.511,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0897957994946521
