id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,counterpress,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,under_pressure,foul_committed_advantage,foul_won_advantage,pass_switch,out,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,off_camera,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,clearance_head,pass_cut_back,clearance_left_foot,pass_technique_id,pass_technique_name,pass_inswinging,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_punched_out,block_offensive,pass_through_ball,pass_assisted_shot_id,pass_shot_assist,pass_outswinging,shot_key_pass_id,shot_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,dribble_overrun,shot_deflected,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_straight,shot_one_on_one,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,pass_goal_assist,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
61d97c97-112e-426b-be6f-da0b54a03b50,3308,2,00:40:56.112,85,56,192,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['9d69043e-760a-445e-81cc-14247b68d4e1'],"[74.4, 55.0]",24149.0,José Antonio García Rabasco,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456.112,1.956000000000131,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.009708762879536703
d33e1e17-cbe6-4733-98c9-ea3345de3ddb,3309,2,00:40:56.112,85,56,192,1.803251,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['6986527b-82dc-4612-8d09-c1c806cc2426'],"[74.4, 55.0]",24149.0,José Antonio García Rabasco,13.0,Right Center Midfield,23943.0,Rubén García Santos,23.584953,0.7284029,1.0,Ground Pass,"[92.0, 70.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456.112,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.41311601787222896
6986527b-82dc-4612-8d09-c1c806cc2426,3310,2,00:40:57.916,85,57,192,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['d33e1e17-cbe6-4733-98c9-ea3345de3ddb'],"[92.0, 70.7]",23943.0,Rubén García Santos,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457.916,1.8040000000000873,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6109049904114565
23e1f297-2e35-4ddc-830e-a7a40cbe2e41,3311,2,00:40:57.916,85,57,192,4.187036,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['6986527b-82dc-4612-8d09-c1c806cc2426', 'dde9de16-29c8-40f7-b909-a23e2d390315', 'f7dcb8c4-63b1-4669-b669-e936263cfcc4']","[92.0, 70.7]",23943.0,Rubén García Santos,12.0,Right Midfield,,,,,,,,,,,,"[115.1, 59.3]",,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457.916,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.34462087946395115
f7dcb8c4-63b1-4669-b669-e936263cfcc4,3312,2,00:41:01.323,86,1,192,0.763514,17,Pressure,221,Levante UD,1,Regular Play,360,Rayo Vallecano,,,['23e1f297-2e35-4ddc-830e-a7a40cbe2e41'],"[3.7, 20.6]",6914.0,Roberto Román Triguero,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.323,3.406999999999698,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.960250673130166
dde9de16-29c8-40f7-b909-a23e2d390315,3313,2,00:41:02.103,86,2,192,0.299317,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['0a212fb9-1934-4821-aaf1-681170188bb1'],"[115.1, 59.3]",23943.0,Rubén García Santos,12.0,Right Midfield,,,10.47855,-1.801887,1.0,Ground Pass,"[112.7, 49.1]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.103,0.7800000000002001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8156562483200033
0a212fb9-1934-4821-aaf1-681170188bb1,3314,2,00:41:02.402,86,2,192,0.0,9,Clearance,221,Levante UD,1,Regular Play,360,Rayo Vallecano,,,['dde9de16-29c8-40f7-b909-a23e2d390315'],"[7.4, 31.0]",6852.0,Jozabed Sánchez Ruiz,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.402,0.29899999999997817,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.585439072847966
45ba9b5e-ae0c-4872-95ea-ace454f6d848,3315,2,00:41:03.215,86,3,192,0.0,2,Ball Recovery,221,Levante UD,1,Regular Play,221,Levante UD,,,,"[108.6, 48.8]",24149.0,José Antonio García Rabasco,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463.215,0.8130000000001019,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13541416127635852
9d5045b3-b447-4550-a513-2eaf025c16b3,3316,2,00:41:03.215,86,3,192,0.799303,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['424d3e49-746f-432d-8e6d-3371f4944df5', '45ba9b5e-ae0c-4872-95ea-ace454f6d848']","[108.6, 48.8]",24149.0,José Antonio García Rabasco,13.0,Right Center Midfield,,,,,,,,,,,,"[107.3, 49.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463.215,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9570723499230991
424d3e49-746f-432d-8e6d-3371f4944df5,3317,2,00:41:04.015,86,4,192,0.506291,16,Shot,221,Levante UD,1,Regular Play,221,Levante UD,,,['cb76e08c-1ca8-4281-b320-b2e1a717da7b'],"[107.3, 49.1]",24149.0,José Antonio García Rabasco,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,0.072175786,"[120.0, 44.2, 1.3]",99.0,Post,87.0,Open Play,93.0,Normal,40.0,Right Foot,"[{'location': [113.3, 40.0], 'player': {'id': 27144, 'name': 'Antonio Amaya Carazo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.5, 31.6], 'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.1, 43.2], 'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.9, 47.6], 'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.6, 46.5], 'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.2, 47.3], 'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.0, 56.8], 'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.8, 60.2], 'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [97.8, 41.2], 'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.7, 48.1], 'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [93.1, 38.9], 'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.8, 63.3], 'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.6, 34.7], 'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [112.7, 37.8], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.015,0.7999999999997272,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5138484014610678
