id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_committed_offensive,foul_won_defensive,off_camera,pass_switch,pass_no_touch,dribble_outcome_id,dribble_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,out,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,foul_committed_card_id,foul_committed_card_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,injury_stoppage_in_chain,pass_assisted_shot_id,pass_goal_assist,shot_key_pass_id,shot_first_time,pass_shot_assist,ball_recovery_recovery_failure,pass_outswinging,clearance_right_foot,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,foul_committed_type_id,foul_committed_type_name,dribble_overrun,block_offensive,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
3f066cf0-ae02-40cc-853d-e40558585836,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,207,Valencia,1,Regular Play,207,Valencia,433.0,"[{'player': {'id': 6898, 'name': 'Jaume Doménech Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 10037, 'name': 'Danilo Barbosa da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.24844340199057313
ae042c55-11b1-49a9-b626-f8217358b994,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,207,Valencia,1,Regular Play,216,Getafe,4231.0,"[{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 26020, 'name': 'Ángel Lafita Castillo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.32200998745876297
262d7129-bfdd-452f-96b4-574d2bdc21a6,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,207,Valencia,1,Regular Play,207,Valencia,,,['d16df8cb-dace-483b-b7d3-e6b665747318'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19627398307595467
d16df8cb-dace-483b-b7d3-e6b665747318,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,207,Valencia,1,Regular Play,216,Getafe,,,['262d7129-bfdd-452f-96b4-574d2bdc21a6'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7617576063153497
025fd16c-6d3d-4bb6-95ed-6b08f25ec1c3,5,1,00:00:00.101,0,0,2,0.484074,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,['5e2a8e58-c395-4eac-8e17-4660d0343244'],"[60.0, 40.0]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,15893.0,Víctor Rodríguez Romero,1.555635,2.3561945,1.0,Ground Pass,"[58.9, 41.1]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,0.101,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7861490893717995
5e2a8e58-c395-4eac-8e17-4660d0343244,6,1,00:00:00.585,0,0,2,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['025fd16c-6d3d-4bb6-95ed-6b08f25ec1c3'],"[58.9, 41.1]",15893.0,Víctor Rodríguez Romero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,0.484,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7049028824690505
beddc6a6-aed3-42c5-9dbb-3514fc345529,7,1,00:00:00.585,0,0,2,0.281023,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['5e2a8e58-c395-4eac-8e17-4660d0343244', '629c4fbc-955e-4639-8bb0-123be0cd1edf']","[58.9, 41.1]",15893.0,Víctor Rodríguez Romero,19.0,Center Attacking Midfield,,,,,,,,,,,,"[59.8, 41.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9570299571917674
629c4fbc-955e-4639-8bb0-123be0cd1edf,8,1,00:00:00.866,0,0,2,2.165926,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,['ce4ecb7f-aa03-4feb-a5a7-c4edaea47de5'],"[59.8, 41.7]",15893.0,Víctor Rodríguez Romero,19.0,Center Attacking Midfield,6614.0,Alexis Ruano Delgado,24.485914,-2.791426,1.0,Ground Pass,"[36.8, 33.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866,0.281,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.01765077627271583
ce4ecb7f-aa03-4feb-a5a7-c4edaea47de5,9,1,00:00:03.032,0,3,2,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['629c4fbc-955e-4639-8bb0-123be0cd1edf'],"[36.8, 33.3]",6614.0,Alexis Ruano Delgado,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.032,2.166,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5388836471931168
c247468f-cbb2-44d4-b5ad-a196c92ab2cd,10,1,00:00:03.032,0,3,2,0.933858,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['251392c4-7c59-4328-85f3-b9f2f684b011', 'ce4ecb7f-aa03-4feb-a5a7-c4edaea47de5']","[36.8, 33.3]",6614.0,Alexis Ruano Delgado,5.0,Left Center Back,,,,,,,,,,,,"[36.2, 33.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.032,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7543330672895102
