id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,injury_stoppage_in_chain,pass_switch,pass_assisted_shot_id,pass_shot_assist,out,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_type_id,foul_committed_type_name,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_open_goal,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,dribble_overrun,clearance_aerial_won,pass_inswinging,pass_outswinging,miscontrol_aerial_won,clearance_right_foot,block_save_block,clearance_left_foot,pass_miscommunication,pass_deflected,pass_goal_assist,dribble_nutmeg,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,goalkeeper_punched_out,foul_committed_advantage,foul_won_advantage,shot_redirect,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
76de586d-f1c9-4f97-bc5f-f0254c032774,1146,1,00:41:20.315,41,20,81,1.52961,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,['3d8207c2-8ef6-492a-ae71-6151eb801e37'],,"[104.6, 2.3]",6784.0,Antonio García Aranda,8.0,Left Wing Back,5678.0,Jefferson Andrés Lerma Solís,20.024984,0.9772536,3.0,High Pass,"[115.8, 18.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480.315,1.8890000000001237,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5475366134364147
e0e0c430-22c7-4c7c-b221-90f0308a3a41,1147,1,00:41:21.378,41,21,81,1.51573,17,Pressure,221,Levante UD,4,From Throw In,210,Real Sociedad,,,"['3d8207c2-8ef6-492a-ae71-6151eb801e37', 'a7d0bf48-3654-4368-820c-4dff51a54a8a']",,"[6.6, 61.4]",6605.0,Joseba Zaldúa Bengoetxea,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481.378,1.0630000000001019,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.587462789320375
3d8207c2-8ef6-492a-ae71-6151eb801e37,1148,1,00:41:21.845,41,21,81,,42,Ball Receipt*,221,Levante UD,4,From Throw In,221,Levante UD,,,"['76de586d-f1c9-4f97-bc5f-f0254c032774', 'e0e0c430-22c7-4c7c-b221-90f0308a3a41']",,"[115.8, 18.9]",5678.0,Jefferson Andrés Lerma Solís,15.0,Left Center Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481.845,0.4669999999996435,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04126976963870688
a7d0bf48-3654-4368-820c-4dff51a54a8a,1149,1,00:41:21.845,41,21,81,1.349232,43,Carry,221,Levante UD,4,From Throw In,221,Levante UD,,,"['3d8207c2-8ef6-492a-ae71-6151eb801e37', 'e0e0c430-22c7-4c7c-b221-90f0308a3a41', 'f64fac27-3d23-4aa7-af43-560fc7fe5e6a']",,"[115.8, 18.9]",5678.0,Jefferson Andrés Lerma Solís,15.0,Left Center Midfield,,,,,,,,,,,,True,"[118.1, 21.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481.845,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.178503349973562
f64fac27-3d23-4aa7-af43-560fc7fe5e6a,1150,1,00:41:23.194,41,23,81,1.703926,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,['d1cbd61c-630a-4abe-8b90-de09668a6a74'],,"[118.1, 21.8]",5678.0,Jefferson Andrés Lerma Solís,15.0,Left Center Midfield,,,23.883257,2.021336,3.0,High Pass,"[107.7, 43.3]",38.0,Left Foot,,,,,,9.0,Incomplete,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.194,1.34900000000016,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3001244854428514
d1cbd61c-630a-4abe-8b90-de09668a6a74,1151,1,00:41:24.898,41,24,81,0.0,9,Clearance,221,Levante UD,4,From Throw In,210,Real Sociedad,,,['f64fac27-3d23-4aa7-af43-560fc7fe5e6a'],,"[12.4, 36.8]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,True,,,,,,,,,,,True,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484.898,1.7040000000001783,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.910173079955106
cd5b7908-1183-4de7-8317-831eb031fdc6,1152,1,00:41:26.038,41,26,81,0.401615,17,Pressure,221,Levante UD,4,From Throw In,221,Levante UD,,,['8f8bab0b-0cc2-4980-a6a7-29617c62d1b8'],,"[104.8, 40.9]",25134.0,Deyverson Brum Silva Acosta,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486.038,1.1399999999998727,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.10792637161008545
8f8bab0b-0cc2-4980-a6a7-29617c62d1b8,1153,1,00:41:26.335,41,26,81,0.0,9,Clearance,221,Levante UD,4,From Throw In,210,Real Sociedad,,,['cd5b7908-1183-4de7-8317-831eb031fdc6'],,"[13.4, 39.2]",16622.0,Mikel González de Martín Martínez,3.0,Right Center Back,,,,,,,,,,,,True,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,2486.335,0.29700000000002547,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25544529817642403
b2d60a3b-6635-40be-a67b-72b21a41dda0,1154,1,00:41:30.341,41,30,81,0.0,2,Ball Recovery,221,Levante UD,4,From Throw In,221,Levante UD,,,,,"[76.2, 61.0]",27122.0,Simão Mate,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.341,4.005999999999858,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9758230188181496
988ffc90-7ecc-4e84-a2d8-b4ef2b070635,1155,1,00:41:30.341,41,30,81,2.176115,43,Carry,221,Levante UD,4,From Throw In,221,Levante UD,,,"['0f3e9d5d-0e45-4c26-8ce7-c89815539d24', 'b2d60a3b-6635-40be-a67b-72b21a41dda0']",,"[76.2, 61.0]",27122.0,Simão Mate,3.0,Right Center Back,,,,,,,,,,,,,"[78.7, 60.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.341,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6660583987685413
