id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,interception_outcome_id,interception_outcome_name,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,pass_cross,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_aerial_won,counterpress,pass_switch,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,out,pass_miscommunication,duel_outcome_id,duel_outcome_name,pass_goal_assist,shot_one_on_one,shot_aerial_won,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_cut_back,pass_technique_id,pass_technique_name,pass_outswinging,pass_deflected,miscontrol_aerial_won,pass_through_ball,foul_committed_type_id,foul_committed_type_name,50_50_outcome_id,50_50_outcome_name,dribble_overrun,pass_inswinging,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
39c3fff3-3cec-4927-bacc-c94be7d318b8,1349,1,00:39:07.529,39,7,89,2.418682,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,"['4c787b69-ad72-4601-8589-c5a1d04ec844', '7df798bf-87cf-4d3e-b94b-6da9eed613cb']","[36.1, 8.9]",6776.0,David Juncà Reñé,6.0,Left Back,6712.0,Gonzalo Escalante,41.800716,0.2687699,3.0,High Pass,"[76.4, 20.0]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347.529,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.6213072098571362
7df798bf-87cf-4d3e-b94b-6da9eed613cb,1350,1,00:39:09.948,39,9,89,,42,Ball Receipt*,322,Eibar,4,From Throw In,322,Eibar,,,['39c3fff3-3cec-4927-bacc-c94be7d318b8'],"[69.3, 22.1]",6712.0,Gonzalo Escalante,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2349.948,2.418999999999869,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45197156307782815
4c787b69-ad72-4601-8589-c5a1d04ec844,1351,1,00:39:09.948,39,9,89,0.0,9,Clearance,322,Eibar,4,From Throw In,216,Getafe,,,['39c3fff3-3cec-4927-bacc-c94be7d318b8'],"[43.7, 60.1]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2349.948,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1340786540271348
c95a0afa-4ef3-4c6b-b14c-c4934d3ec5fe,1352,1,00:39:11.392,39,11,89,0.0,2,Ball Recovery,322,Eibar,4,From Throw In,216,Getafe,,,,"[74.2, 39.5]",24035.0,Álvaro Vázquez García,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351.392,1.44399999999996,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3417317178074313
0365c7ef-8b12-4118-aae5-5d1b6ec8e17f,1353,1,00:39:11.392,39,11,89,1.716676,43,Carry,322,Eibar,4,From Throw In,216,Getafe,,,"['100c7d09-cb4f-43d8-941f-33c69aa5e304', '8d9a3adf-0c5d-464b-8e86-9fbabfad52e0', 'c95a0afa-4ef3-4c6b-b14c-c4934d3ec5fe']","[74.2, 39.5]",24035.0,Álvaro Vázquez García,24.0,Left Center Forward,,,,,,,,,,,,"[72.4, 39.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351.392,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8606631022144476
8d9a3adf-0c5d-464b-8e86-9fbabfad52e0,1354,1,00:39:11.550,39,11,89,1.686066,17,Pressure,322,Eibar,4,From Throw In,322,Eibar,,,"['0365c7ef-8b12-4118-aae5-5d1b6ec8e17f', '100c7d09-cb4f-43d8-941f-33c69aa5e304']","[45.2, 41.8]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351.55,0.15800000000035652,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6052705230614235
100c7d09-cb4f-43d8-941f-33c69aa5e304,1355,1,00:39:13.109,39,13,89,0.998383,30,Pass,322,Eibar,4,From Throw In,216,Getafe,,,"['719f11fa-f108-472c-8a9d-0064d2b60968', '8d9a3adf-0c5d-464b-8e86-9fbabfad52e0', 'eacf4e47-5a6d-41a7-8ff3-b0c796f95da8']","[72.4, 39.2]",24035.0,Álvaro Vázquez García,24.0,Left Center Forward,6720.0,Pablo Sarabia García,10.965857,0.8176451,1.0,Ground Pass,"[79.9, 47.2]",40.0,Right Foot,,,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353.109,1.5589999999997417,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.059724592213205474
719f11fa-f108-472c-8a9d-0064d2b60968,1356,1,00:39:14.107,39,14,89,,42,Ball Receipt*,322,Eibar,4,From Throw In,216,Getafe,,,['100c7d09-cb4f-43d8-941f-33c69aa5e304'],"[79.7, 49.7]",6720.0,Pablo Sarabia García,12.0,Right Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354.107,0.9980000000000473,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3321273014454471
eacf4e47-5a6d-41a7-8ff3-b0c796f95da8,1357,1,00:39:14.107,39,14,89,0.0,2,Ball Recovery,322,Eibar,4,From Throw In,322,Eibar,,,['100c7d09-cb4f-43d8-941f-33c69aa5e304'],"[40.2, 32.9]",6778.0,Iván Ramis Barrios,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354.107,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7249944280445035
8facb2a0-beb0-402a-9f0d-e663b0803770,1358,1,00:39:14.107,39,14,89,2.495325,43,Carry,322,Eibar,4,From Throw In,322,Eibar,,,"['b2b57cc5-4b57-4052-b7be-b8ad89b479ef', 'ca7e7529-5716-49bf-bf73-c34aacfde93d', 'eacf4e47-5a6d-41a7-8ff3-b0c796f95da8']","[40.2, 32.9]",6778.0,Iván Ramis Barrios,5.0,Left Center Back,,,,,,,,,,,,"[35.6, 45.0]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354.107,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5380013467131673
