id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_outcome_id,duel_outcome_name,counterpress,pass_no_touch,off_camera,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,pass_switch,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_deflected,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_aerial_won,dribble_overrun,out,foul_won_defensive,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,pass_shot_assist,shot_aerial_won,goalkeeper_end_location,pass_cut_back,foul_committed_offensive,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,pass_straight,shot_one_on_one,pass_through_ball,miscontrol_aerial_won,pass_inswinging,foul_committed_type_id,foul_committed_type_name,ball_recovery_offensive,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
046265ff-69a1-4658-9f08-fc2259423444,2879,2,00:28:12.317,73,12,170,0.94356203,43,Carry,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,"['692ce49c-28d6-4abe-9816-293a3cb28dd7', 'a180a1f0-2e06-423e-bfd7-cc1729cade3f']","[58.8, 66.9]",6381.0,Saúl Ñíguez Esclapez,9.0,Right Defensive Midfield,,,,,,,,,,,,"[58.8, 66.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.317,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49768326424292775
a180a1f0-2e06-423e-bfd7-cc1729cade3f,2880,2,00:28:13.261,73,13,170,0.825559,30,Pass,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,['b38aba05-53a6-4d4e-a1d7-cde7b9a1f430'],"[58.8, 66.9]",6381.0,Saúl Ñíguez Esclapez,9.0,Right Defensive Midfield,5259.0,José María Giménez de Vargas,9.269844,-2.3943439,1.0,Ground Pass,"[52.0, 60.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.261,0.94399999999996,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6784372808043124
b38aba05-53a6-4d4e-a1d7-cde7b9a1f430,2881,2,00:28:14.086,73,14,170,,42,Ball Receipt*,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,['a180a1f0-2e06-423e-bfd7-cc1729cade3f'],"[52.0, 60.6]",5259.0,José María Giménez de Vargas,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694.086,0.8250000000000455,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5942558958787519
ba313788-e339-4759-a7fa-c0e2b5570c35,2882,2,00:28:14.086,73,14,170,0.079092,43,Carry,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,"['8f783f9d-555c-471e-8b9f-fa04c7774c96', 'b38aba05-53a6-4d4e-a1d7-cde7b9a1f430']","[52.0, 60.6]",5259.0,José María Giménez de Vargas,3.0,Right Center Back,,,,,,,,,,,,"[52.0, 60.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694.086,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7707006425870345
8f783f9d-555c-471e-8b9f-fa04c7774c96,2883,2,00:28:14.166,73,14,170,0.988343,30,Pass,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,['54a49037-caf6-479f-a7a9-87a8aadde7a0'],"[52.0, 60.0]",5259.0,José María Giménez de Vargas,3.0,Right Center Back,6383.0,Thomas Teye Partey,12.218838,0.13958225,1.0,Ground Pass,"[64.1, 61.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694.166,0.07999999999992724,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.33392428232893867
54a49037-caf6-479f-a7a9-87a8aadde7a0,2884,2,00:28:15.154,73,15,170,,42,Ball Receipt*,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,['8f783f9d-555c-471e-8b9f-fa04c7774c96'],"[64.1, 61.7]",6383.0,Thomas Teye Partey,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.154,0.9880000000000564,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.685237450117895
1276cfab-b05b-47c3-8ea7-d4a3ac36c073,2885,2,00:28:15.154,73,15,170,1.254912,30,Pass,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,['f881f76c-5e9c-4181-b21f-8f097eede252'],"[63.2, 60.3]",6383.0,Thomas Teye Partey,24.0,Left Center Forward,5259.0,José María Giménez de Vargas,13.7,3.1415927,1.0,Ground Pass,"[49.5, 60.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.154,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7280554264713429
f881f76c-5e9c-4181-b21f-8f097eede252,2886,2,00:28:16.409,73,16,170,,42,Ball Receipt*,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,['1276cfab-b05b-47c3-8ea7-d4a3ac36c073'],"[49.5, 60.3]",5259.0,José María Giménez de Vargas,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.409,1.2550000000001091,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8935295206023924
275d3dac-8032-4511-b1d7-9893ec19f1f8,2887,2,00:28:16.409,73,16,170,5.230807,43,Carry,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,"['6f5ba720-bddf-41f7-a8c8-e22e725b4418', 'f881f76c-5e9c-4181-b21f-8f097eede252']","[49.5, 60.3]",5259.0,José María Giménez de Vargas,3.0,Right Center Back,,,,,,,,,,,,"[49.0, 60.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.409,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4311163141568376
6f5ba720-bddf-41f7-a8c8-e22e725b4418,2888,2,00:28:21.640,73,21,170,0.812394,30,Pass,212,Atlético Madrid,3,From Free Kick,212,Atlético Madrid,,,['174a8753-612a-4956-a552-4d54aa5f0342'],"[49.0, 60.0]",5259.0,José María Giménez de Vargas,3.0,Right Center Back,6375.0,Juan Francisco Torres Belén,18.216751,1.1882513,1.0,Ground Pass,"[55.8, 76.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701.64,5.2309999999999945,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8855362998561627
