id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,pass_cross,out,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,interception_outcome_id,interception_outcome_name,pass_switch,counterpress,pass_deflected,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,pass_assisted_shot_id,pass_shot_assist,duel_type_id,duel_type_name,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_aerial_won,clearance_head,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_outcome_id,duel_outcome_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_technique_id,pass_technique_name,pass_outswinging,pass_aerial_won,foul_won_defensive,clearance_right_foot,miscontrol_aerial_won,dribble_overrun,foul_committed_advantage,foul_won_advantage,shot_first_time,pass_no_touch,pass_miscommunication,pass_cut_back,pass_goal_assist,injury_stoppage_in_chain,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,pass_inswinging,foul_committed_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
42d9edd5-355d-4a04-806c-0e3aa4a05f53,1511,1,00:37:37.340,37,37,85,0.738692,17,Pressure,214,Espanyol,2,From Corner,208,Las Palmas,,,"['21a3d099-2c42-4c36-a63f-094e90d617d3', 'cf6036a6-f1fc-47c4-a3d9-2df21a37eaf1', 'f45b2637-7ef5-4278-8980-e8504bfc7770']","[19.8, 55.2]",6932.0,Dani Castellano Betancor,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257.34,0.9670000000000982,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4807379872370855
cf6036a6-f1fc-47c4-a3d9-2df21a37eaf1,1512,1,00:37:37.812,37,37,85,,42,Ball Receipt*,214,Espanyol,2,From Corner,214,Espanyol,,,"['42d9edd5-355d-4a04-806c-0e3aa4a05f53', 'd823f231-86b8-4208-89d5-df68bf67b99a']","[99.5, 19.8]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257.812,0.4719999999997526,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6152356421980428
f45b2637-7ef5-4278-8980-e8504bfc7770,1513,1,00:37:37.812,37,37,85,0.249821,43,Carry,214,Espanyol,2,From Corner,214,Espanyol,,,"['21a3d099-2c42-4c36-a63f-094e90d617d3', '42d9edd5-355d-4a04-806c-0e3aa4a05f53', 'cf6036a6-f1fc-47c4-a3d9-2df21a37eaf1']","[99.5, 19.8]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,,,,,,,,,,,,True,"[99.0, 22.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257.812,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09609520023962714
21a3d099-2c42-4c36-a63f-094e90d617d3,1514,1,00:37:38.062,37,38,85,3.773136,30,Pass,214,Espanyol,2,From Corner,214,Espanyol,,,"['42d9edd5-355d-4a04-806c-0e3aa4a05f53', 'b0f3f86e-5bfc-416e-b9c8-d3444d4ec4ad']","[99.0, 22.5]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,,,16.313185,-0.7072965,2.0,Low Pass,"[111.4, 11.9]",40.0,Right Foot,,,True,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2258.062,0.25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.394782800859679
3e529bd5-6fdc-4f26-ba9b-26101372e4ff,1515,1,00:37:39.693,37,39,85,2.167173,17,Pressure,214,Espanyol,2,From Corner,214,Espanyol,,,['b0f3f86e-5bfc-416e-b9c8-d3444d4ec4ad'],"[105.1, 12.8]",6624.0,Jorge Franco Alviz,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259.693,1.6310000000003129,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5700565115965976
b0f3f86e-5bfc-416e-b9c8-d3444d4ec4ad,1516,1,00:37:41.835,37,41,85,0.0,9,Clearance,214,Espanyol,2,From Corner,208,Las Palmas,,,"['21a3d099-2c42-4c36-a63f-094e90d617d3', '3e529bd5-6fdc-4f26-ba9b-26101372e4ff']","[8.7, 68.2]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,True,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,2261.835,2.1419999999998254,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8365719787257296
fced4894-33ee-4ed8-afad-3e18ddf79414,1517,1,00:37:41.986,37,41,85,0.0,6,Block,214,Espanyol,2,From Corner,214,Espanyol,,,,"[116.8, 9.7]",6624.0,Jorge Franco Alviz,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261.986,0.15099999999983993,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1476978735928124
c9e8b0d9-d96a-41dc-8670-c94f6aaf0931,1518,1,00:38:01.446,38,1,86,1.289701,30,Pass,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['d41e0c42-1370-4900-9680-fbb3aaf478a5'],"[6.0, 44.0]",7905.0,Raúl Lizoáin Cruz,1.0,Goalkeeper,7692.0,Mauricio Lemos Merladet,10.93435,0.69473827,1.0,Ground Pass,"[14.4, 51.0]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2281.446,19.460000000000036,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.11394923943046675
d41e0c42-1370-4900-9680-fbb3aaf478a5,1519,1,00:38:02.736,38,2,86,,42,Ball Receipt*,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['c9e8b0d9-d96a-41dc-8670-c94f6aaf0931'],"[14.4, 51.0]",7692.0,Mauricio Lemos Merladet,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282.736,1.2899999999999636,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4169085348069663
5c220c6c-934a-4cac-bdc8-e40c97ffa120,1520,1,00:38:09.326,38,9,86,4.636105,30,Pass,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['c606aadc-e8c9-4ce6-925d-78e389811e9c'],"[48.6, 57.6]",7692.0,Mauricio Lemos Merladet,3.0,Right Center Back,6721.0,Willian José da Silva,67.34991,0.27054945,3.0,High Pass,"[113.5, 75.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2289.326,6.5900000000001455,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7488728849096589
