id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,duel_outcome_id,duel_outcome_name,dribble_overrun,miscontrol_aerial_won,pass_aerial_won,injury_stoppage_in_chain,pass_miscommunication,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_nutmeg,pass_cut_back,clearance_left_foot,pass_inswinging,pass_goal_assist,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,ball_recovery_recovery_failure,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
ab63f61d-06f8-472b-a6f3-4a7c1617fa02,1164,1,00:24:59.392,24,59,47,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,"['36acfd61-4184-4e97-8483-7dcfb4250447', '40e92c79-b2f6-44a5-a333-c238e85ea4a6']",,"[46.1, 2.8]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.392,0.5360000000000582,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2699464457708428
afe5c3dc-f289-410f-8b96-80ff1e739b8b,1165,1,00:24:59.392,24,59,47,0.755128,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['40e92c79-b2f6-44a5-a333-c238e85ea4a6', '4c2b69f1-aacb-4278-9d45-eaefd0934bee', 'ab63f61d-06f8-472b-a6f3-4a7c1617fa02', 'c5886cff-0a1e-4bed-8a07-7dce9d404ee8']",,"[46.1, 2.8]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,,,,,,,,,,,,"[43.9, 1.1]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.392,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.33563907693324646
c5886cff-0a1e-4bed-8a07-7dce9d404ee8,1166,1,00:25:00.148,25,0,47,0.0,22,Foul Committed,217,Barcelona,4,From Throw In,216,Getafe,,,"['4c2b69f1-aacb-4278-9d45-eaefd0934bee', 'afe5c3dc-f289-410f-8b96-80ff1e739b8b']",,"[76.2, 79.0]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.148,0.7559999999998581,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6832997266887095
4c2b69f1-aacb-4278-9d45-eaefd0934bee,1167,1,00:25:00.148,25,0,47,0.0,21,Foul Won,217,Barcelona,4,From Throw In,217,Barcelona,,,['c5886cff-0a1e-4bed-8a07-7dce9d404ee8'],,"[43.9, 1.1]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.148,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2391357048061188
092ef8ac-e6ee-4bca-80fd-d69533b48e02,1168,1,00:25:10.032,25,10,48,0.709005,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['621bc971-15cf-42cc-9fbd-85e5b0c7ac5d'],True,"[43.4, 1.0]",5211.0,Jordi Alba Ramos,6.0,Left Back,4320.0,Neymar da Silva Santos Junior,5.390733,2.4349785,1.0,Ground Pass,"[39.3, 4.5]",62.0,Free Kick,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510.032,9.884000000000015,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.47222181484679493
621bc971-15cf-42cc-9fbd-85e5b0c7ac5d,1169,1,00:25:10.741,25,10,48,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['092ef8ac-e6ee-4bca-80fd-d69533b48e02'],,"[39.3, 4.5]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510.741,0.70900000000006,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.958803759496793
281ea34c-7279-4d8d-9da8-698f17df862f,1170,1,00:25:12.841,25,12,48,0.932414,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['f2da6623-b813-4c71-8b9b-eef360819759'],,"[38.7, 9.1]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,5203.0,Sergio Busquets i Burgos,13.368994,0.7589493,1.0,Ground Pass,"[48.4, 18.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.841,2.099999999999909,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4577746551049847
f2da6623-b813-4c71-8b9b-eef360819759,1171,1,00:25:13.773,25,13,48,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['281ea34c-7279-4d8d-9da8-698f17df862f'],,"[48.4, 18.3]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.773,0.9320000000000164,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7779484197475722
e8b1effe-bfca-411b-9dec-1160ede3097c,1172,1,00:25:13.773,25,13,48,0.076639004,43,Carry,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['64dd2636-dec9-4cd5-8318-efcabace9760', 'f2da6623-b813-4c71-8b9b-eef360819759']",,"[48.4, 18.3]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[48.4, 18.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.773,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04757027232058375
64dd2636-dec9-4cd5-8318-efcabace9760,1173,1,00:25:13.850,25,13,48,1.317146,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['ab5fb4d5-4467-484b-ad34-f3f384ea448c'],,"[48.4, 18.3]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,4320.0,Neymar da Silva Santos Junior,5.0,-1.5707964,1.0,Ground Pass,"[48.4, 13.3]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.85,0.07699999999999818,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.010731565314281766
