id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,pass_assisted_shot_id,pass_shot_assist,dribble_outcome_id,dribble_outcome_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_aerial_won,out,clearance_left_foot,pass_cross,pass_switch,interception_outcome_id,interception_outcome_name,shot_first_time,pass_no_touch,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_outswinging,miscontrol_aerial_won,clearance_other,goalkeeper_end_location,clearance_right_foot,pass_goal_assist,pass_through_ball,foul_committed_offensive,foul_won_defensive,dribble_nutmeg,pass_cut_back,shot_aerial_won,pass_straight,pass_inswinging,foul_committed_advantage,foul_won_advantage,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,foul_committed_card_id,foul_committed_card_name,injury_stoppage_in_chain,foul_committed_type_id,foul_committed_type_name,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
6d18750f-5744-4ae0-bf3c-778b348408fa,3127,2,00:36:46.897,81,46,206,,42,Ball Receipt*,222,Villarreal,9,From Kick Off,360,Rayo Vallecano,,,['998c2936-5306-4c40-b276-f12737ea5b1f'],"[15.0, 64.7]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206.897,2.5230000000001382,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6439929434582086
e7870b01-7af1-49a2-86fc-8c299dc6ce4f,3128,2,00:36:46.897,81,46,206,0.396491,43,Carry,222,Villarreal,9,From Kick Off,360,Rayo Vallecano,,,"['6d18750f-5744-4ae0-bf3c-778b348408fa', '945396b5-8cd9-477a-b4d6-54555479a246']","[15.0, 64.7]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,"[14.8, 65.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206.897,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10646782295361368
945396b5-8cd9-477a-b4d6-54555479a246,3129,2,00:36:47.294,81,47,206,4.452655,30,Pass,222,Villarreal,9,From Kick Off,360,Rayo Vallecano,,,,"[14.8, 65.0]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,63.135174,0.23499052,3.0,High Pass,"[76.2, 79.7]",40.0,Right Foot,,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207.294,0.3969999999999345,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5092753555245683
ae5f390f-9be5-41f3-9d90-e475b3410418,3130,2,00:36:57.381,81,57,207,1.387974,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,['a73223c3-6206-4c64-a975-445dbf38070d'],"[43.9, 0.1]",6935.0,Adrián Marín Gómez,6.0,Left Back,6752.0,Víctor Ruíz Torre,28.846664,2.1712983,2.0,Low Pass,"[27.6, 23.9]",,,67.0,Throw-in,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217.381,10.086999999999989,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.24764360801378626
a73223c3-6206-4c64-a975-445dbf38070d,3131,2,00:36:58.768,81,58,207,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['ae5f390f-9be5-41f3-9d90-e475b3410418'],"[27.6, 23.9]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2218.768,1.387000000000171,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4059274779700798
1be8a94e-46f6-42bd-8365-4679606a68b9,3132,2,00:37:00.861,82,0,207,3.339444,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,"['dcfc13fb-5d04-4c64-a616-02840116e8be', 'e5940696-b3ff-43dd-a7ac-c7bde534e6d9']","[30.6, 19.6]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,6761.0,Leonardo Carrilho Baptistão,56.0803,0.3838176,3.0,High Pass,"[82.6, 40.6]",38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2220.861,2.092999999999847,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7039207062329036
dcfc13fb-5d04-4c64-a616-02840116e8be,3133,2,00:37:04.201,82,4,207,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['1be8a94e-46f6-42bd-8365-4679606a68b9'],"[78.3, 39.3]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.201,3.3400000000001455,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22526172450654702
e0d76120-e155-4312-b605-bebbe7c1ac4c,3134,2,00:37:04.201,82,4,207,0.0,4,Duel,222,Villarreal,4,From Throw In,222,Villarreal,,,['e5940696-b3ff-43dd-a7ac-c7bde534e6d9'],"[82.6, 40.6]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.201,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.031908626417248453
e5940696-b3ff-43dd-a7ac-c7bde534e6d9,3135,2,00:37:04.201,82,4,208,1.220323,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['1be8a94e-46f6-42bd-8365-4679606a68b9', '7aab799b-f6ba-4c87-8503-c33d29bc1159', 'e0d76120-e155-4312-b605-bebbe7c1ac4c']","[37.5, 39.5]",27144.0,Antonio Amaya Carazo,5.0,Left Center Back,26848.0,Roberto Trashorras Gayoso,10.171038,1.0455527,2.0,Low Pass,"[42.6, 48.3]",,,66.0,Recovery,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.201,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4434624023025121
e2ca31d8-0929-490c-aa98-d1f4c4882638,3136,2,00:37:05.419,82,5,208,0.448044,17,Pressure,360,Rayo Vallecano,1,Regular Play,222,Villarreal,,,"['7aab799b-f6ba-4c87-8503-c33d29bc1159', 'b6208a14-d5c0-4ba8-8399-05a425c59f16', 'bc70adca-bd0c-48c4-a7ad-2764fef3477b']","[74.5, 34.4]",6765.0,Rodrigo Hernández Cascante,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225.419,1.2179999999998472,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.36129078491974187
