id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,off_camera,pass_switch,out,clearance_body_part_id,clearance_body_part_name,clearance_head,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,clearance_aerial_won,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,shot_aerial_won,goalkeeper_end_location,pass_inswinging,pass_cross,shot_first_time,ball_recovery_recovery_failure,pass_cut_back,foul_committed_offensive,foul_won_defensive,foul_committed_advantage,foul_won_advantage,clearance_left_foot,dribble_nutmeg,clearance_right_foot,pass_miscommunication,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,shot_deflected,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,dribble_overrun,pass_no_touch,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
8a278de1-7bed-4f28-9934-fe23daf72682,786,1,00:22:02.856,22,2,52,,42,Ball Receipt*,207,Valencia,6,From Counter,207,Valencia,,,['57e59e62-3e6d-4326-aa40-ecca7d1038f7'],"[106.4, 48.0]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322.856,2.0879999999999654,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8702218093312405
23fd5995-7667-4a68-8605-0913dfb18776,787,1,00:22:02.896,22,2,52,0.40517,16,Shot,207,Valencia,6,From Counter,207,Valencia,,,['4e356728-8c00-4c88-9f2e-30138dd7beb4'],"[107.0, 50.9]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29275557,"[112.9, 47.3, 0.0]",57e59e62-3e6d-4326-aa40-ecca7d1038f7,100.0,Saved,93.0,Normal,40.0,Right Foot,87.0,Open Play,"[{'location': [101.8, 36.0], 'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.5, 41.6], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 40.9], 'player': {'id': 6349, 'name': 'Federico Julián Fazio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.6, 36.1], 'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 47.3], 'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322.896,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.19526615891670662
4e356728-8c00-4c88-9f2e-30138dd7beb4,788,1,00:22:03.301,22,3,52,0.0,23,Goal Keeper,207,Valencia,1,Regular Play,213,Sevilla,,,['23fd5995-7667-4a68-8605-0913dfb18776'],"[7.1, 32.8]",6823.0,Sergio Rico González,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,In Play Safe,33.0,Shot Saved,46.0,Standing,44.0,Set,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.301,0.4049999999999727,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2708617190067404
b9249976-768f-41d5-abcd-17ed3e3846c2,789,1,00:22:06.587,22,6,52,0.329767,17,Pressure,207,Valencia,1,Regular Play,213,Sevilla,,,"['5565e18b-c70a-42db-bb7c-438afae59bde', '5e0fac48-5fd6-4f5b-af89-b449b10caf94']","[20.9, 28.9]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.587,3.286000000000058,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8745206396192425
5e0fac48-5fd6-4f5b-af89-b449b10caf94,790,1,00:22:06.888,22,6,52,0.0,2,Ball Recovery,207,Valencia,1,Regular Play,207,Valencia,,,['b9249976-768f-41d5-abcd-17ed3e3846c2'],"[98.1, 53.6]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.888,0.3009999999999309,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8659235514698473
5565e18b-c70a-42db-bb7c-438afae59bde,791,1,00:22:06.888,22,6,52,0.300133,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['1918b632-b8ab-499d-baff-516ea4092c83', '5e0fac48-5fd6-4f5b-af89-b449b10caf94', 'b9249976-768f-41d5-abcd-17ed3e3846c2']","[98.1, 53.6]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,"[99.6, 52.3]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.888,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07739142314385383
1918b632-b8ab-499d-baff-516ea4092c83,792,1,00:22:07.189,22,7,52,0.0,14,Dribble,207,Valencia,1,Regular Play,207,Valencia,,,['c0ea30e5-8f6c-470b-94f0-65d234e03b12'],"[99.6, 52.3]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.189,0.30100000000015825,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07312045410684376
c0ea30e5-8f6c-470b-94f0-65d234e03b12,793,1,00:22:07.189,22,7,52,0.0,4,Duel,207,Valencia,1,Regular Play,213,Sevilla,,,['1918b632-b8ab-499d-baff-516ea4092c83'],"[20.5, 27.8]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,True,11.0,Tackle,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.189,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.674790141684147
89d9f236-2771-4769-aa72-28a580eb91a3,794,1,00:22:07.189,22,7,52,4.671946,43,Carry,207,Valencia,1,Regular Play,213,Sevilla,,,"['1f9dbbec-f2cd-490b-ade1-89719478aa77', 'c0ea30e5-8f6c-470b-94f0-65d234e03b12', 'f1f61f9e-59d9-4dea-a901-d0a9ddc90dde']","[20.5, 27.8]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,,,,,,,,,,,,"[16.8, 25.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.189,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9572889669742838
f1f61f9e-59d9-4dea-a901-d0a9ddc90dde,795,1,00:22:11.354,22,11,52,0.586638,17,Pressure,207,Valencia,1,Regular Play,207,Valencia,,,"['1f9dbbec-f2cd-490b-ade1-89719478aa77', '89d9f236-2771-4769-aa72-28a580eb91a3']","[104.3, 60.4]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.354,4.164999999999964,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7710676002853655
