id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,interception_outcome_id,interception_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,counterpress,off_camera,duel_type_id,duel_type_name,pass_aerial_won,pass_cross,pass_assisted_shot_id,pass_goal_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,dribble_nutmeg,pass_switch,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,clearance_head,50_50_outcome_id,50_50_outcome_name,pass_shot_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,clearance_aerial_won,goalkeeper_end_location,block_offensive,foul_won_defensive,clearance_right_foot,goalkeeper_punched_out,foul_committed_advantage,foul_won_advantage,ball_recovery_recovery_failure,pass_deflected,pass_no_touch,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,ball_recovery_offensive,dribble_no_touch,pass_outswinging,shot_aerial_won,block_deflection,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
6b6ec979-7949-4ac4-840b-d6439c03b2db,2870,2,00:17:12.632,62,12,118,0.651907,17,Pressure,216,Getafe,4,From Throw In,212,Atlético Madrid,,,"['8a7891fe-1fad-45d7-bf42-6e8442fefbe4', 'a1b3d1bd-b098-47d8-8632-2c28fdfd0d91']","[62.7, 76.7]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.632,2.6520000000000437,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9332325831848622
8a7891fe-1fad-45d7-bf42-6e8442fefbe4,2871,2,00:17:13.086,62,13,118,0.0,2,Ball Recovery,216,Getafe,4,From Throw In,216,Getafe,,,['6b6ec979-7949-4ac4-840b-d6439c03b2db'],"[50.3, 3.4]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.086,0.4539999999999509,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.42232260500970675
a1b3d1bd-b098-47d8-8632-2c28fdfd0d91,2872,2,00:17:13.086,62,13,118,1.967482,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['6b6ec979-7949-4ac4-840b-d6439c03b2db', '826b9935-44d5-4fb3-b7d7-cd1c91ad7dec', '8a7891fe-1fad-45d7-bf42-6e8442fefbe4']","[50.3, 3.4]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,,,,,,,,,,,,"[50.7, 3.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.086,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6648239694774529
826b9935-44d5-4fb3-b7d7-cd1c91ad7dec,2873,2,00:17:15.053,62,15,118,0.99168,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['496ddb75-5624-4bea-9f11-1c93cf3eb7b8'],"[50.7, 3.6]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,25881.0,Juan Antonio Rodríguez Villamuela,16.341358,1.1948354,1.0,Ground Pass,"[56.7, 18.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.053,1.9670000000000982,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.658232623680998
496ddb75-5624-4bea-9f11-1c93cf3eb7b8,2874,2,00:17:16.045,62,16,118,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['826b9935-44d5-4fb3-b7d7-cd1c91ad7dec'],"[56.7, 18.8]",25881.0,Juan Antonio Rodríguez Villamuela,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.045,0.9919999999999618,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7264220162690869
959b9ff5-5440-4c3d-a02c-d541c6be0b80,2875,2,00:17:16.045,62,16,118,1.031831,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['496ddb75-5624-4bea-9f11-1c93cf3eb7b8', '6aae8d84-ce7b-4b45-8abf-a04ba4e0d7f8', '95475a80-325b-4b3c-8854-b582ec0ee396']","[56.7, 18.8]",25881.0,Juan Antonio Rodríguez Villamuela,10.0,Center Defensive Midfield,,,,,,,,,,,,"[56.3, 17.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.045,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2937001509934972
95475a80-325b-4b3c-8854-b582ec0ee396,2876,2,00:17:16.682,62,16,118,0.380281,17,Pressure,216,Getafe,4,From Throw In,212,Atlético Madrid,,,['959b9ff5-5440-4c3d-a02c-d541c6be0b80'],"[65.9, 69.9]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.682,0.6369999999999436,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.336481657861579
6aae8d84-ce7b-4b45-8abf-a04ba4e0d7f8,2877,2,00:17:17.077,62,17,118,0.920438,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['1de76352-4d72-48c8-8988-bb16f0d32aa7'],"[56.3, 17.9]",25881.0,Juan Antonio Rodríguez Villamuela,10.0,Center Defensive Midfield,27092.0,Abdoul Karim Yoda,15.212166,-1.0247399,1.0,Ground Pass,"[64.2, 4.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.077,0.3949999999999818,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4554351815506261
1de76352-4d72-48c8-8988-bb16f0d32aa7,2878,2,00:17:17.997,62,17,118,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['6aae8d84-ce7b-4b45-8abf-a04ba4e0d7f8'],"[64.2, 4.9]",27092.0,Abdoul Karim Yoda,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.997,0.9200000000000728,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4117476932989428
46d50e43-708a-4222-be35-dad3b48e58dc,2879,2,00:17:17.997,62,17,118,0.729573,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['1de76352-4d72-48c8-8988-bb16f0d32aa7', 'fc635f08-d9e5-4710-91ec-3a45f14cb6f5']","[64.2, 4.9]",27092.0,Abdoul Karim Yoda,6.0,Left Back,,,,,,,,,,,,"[64.2, 4.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.997,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7446162487258675
