id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_cross,pass_switch,pass_outcome_id,pass_outcome_name,under_pressure,foul_won_defensive,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,foul_committed_card_id,foul_committed_card_name,clearance_left_foot,clearance_head,interception_outcome_id,interception_outcome_name,out,pass_no_touch,pass_straight,pass_technique_id,pass_technique_name,clearance_aerial_won,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_outswinging,pass_cut_back,foul_committed_type_id,foul_committed_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_goal_assist,shot_first_time,foul_committed_offensive,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_deflected,block_deflection,goalkeeper_punched_out,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
ec60a17d-5d4a-4be8-88f8-94eb3f17433b,2378,2,00:13:10.560,58,10,104,0.772873,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['8460702d-dbe3-43b6-8397-8e6ab266f894'],,"[29.3, 35.8]",6659.0,Víctor Camarasa Ferrando,15.0,Left Center Midfield,23970.0,José María Martín-Bejarano Serrano,18.792551,1.2793396,1.0,Ground Pass,"[34.7, 53.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.56,0.9809999999999945,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7375528249071519
8460702d-dbe3-43b6-8397-8e6ab266f894,2379,2,00:13:11.333,58,11,104,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['ec60a17d-5d4a-4be8-88f8-94eb3f17433b'],,"[34.7, 53.8]",23970.0,José María Martín-Bejarano Serrano,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.333,0.7730000000000246,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05618917043410987
96fda1ca-4d46-40d0-8453-38ecc4b4237d,2380,2,00:13:11.333,58,11,104,2.552808,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['414a2369-bd1b-4a18-9530-228b3063b39a', '8460702d-dbe3-43b6-8397-8e6ab266f894', 'fd1b02b6-e557-4ec8-82c9-5d13f0c26690']",,"[34.7, 53.8]",23970.0,José María Martín-Bejarano Serrano,13.0,Right Center Midfield,,,,,,,,,,,,"[33.1, 61.6]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.333,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14142163307075495
414a2369-bd1b-4a18-9530-228b3063b39a,2381,2,00:13:12.954,58,12,104,0.653474,17,Pressure,221,Levante UD,1,Regular Play,209,Celta Vigo,,,['96fda1ca-4d46-40d0-8453-38ecc4b4237d'],,"[85.6, 19.6]",19668.0,Augusto Matías Fernández,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.954,1.620999999999981,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.1371162186384678
fd1b02b6-e557-4ec8-82c9-5d13f0c26690,2382,2,00:13:13.886,58,13,104,0.933818,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['ea41403b-dc50-4fe9-bba0-f1fcd384bc71'],,"[33.1, 61.6]",23970.0,José María Martín-Bejarano Serrano,13.0,Right Center Midfield,8801.0,Iván López Mendoza,12.831601,2.4278946,1.0,Ground Pass,"[23.4, 70.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.886,0.9320000000000164,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5570366161276501
ea41403b-dc50-4fe9-bba0-f1fcd384bc71,2383,2,00:13:14.819,58,14,104,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['fd1b02b6-e557-4ec8-82c9-5d13f0c26690'],,"[23.4, 70.0]",8801.0,Iván López Mendoza,7.0,Right Wing Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.819,0.9329999999999927,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.577102252131903
faca77ed-a4ca-415e-98a2-c2dd26796124,2384,2,00:13:14.819,58,14,104,0.239998,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['cd959b10-46e6-460d-b421-9b80551ba292', 'ea41403b-dc50-4fe9-bba0-f1fcd384bc71']",,"[23.4, 70.0]",8801.0,Iván López Mendoza,7.0,Right Wing Back,,,,,,,,,,,,"[24.3, 70.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.819,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3689197739757304
cd959b10-46e6-460d-b421-9b80551ba292,2385,2,00:13:15.059,58,15,104,3.888159,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['cd3ad136-78ce-4c31-87c9-13df654551f3'],,"[24.3, 70.3]",8801.0,Iván López Mendoza,7.0,Right Wing Back,27250.0,Nabil Ghilas,72.64159,-1.2803944,3.0,High Pass,"[45.1, 0.7]",,,40.0,Right Foot,,,True,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.059,0.2400000000000091,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9106382877218704
cd3ad136-78ce-4c31-87c9-13df654551f3,2386,2,00:13:18.948,58,18,104,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['cd959b10-46e6-460d-b421-9b80551ba292'],,"[52.0, 10.5]",27250.0,Nabil Ghilas,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.948,3.88900000000001,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.855911388996425
7f475a09-6c66-4f1c-a5d5-01c42975a962,2387,2,00:13:21.227,58,21,105,2.0,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['aaadc9e4-dac5-4524-a8bf-037990ffe4e7'],,"[74.8, 80.0]",6805.0,Hugo Mallo Novegil,2.0,Right Back,6794.0,Gustavo Daniel Cabral Cáceres,22.774767,-2.534104,2.0,Low Pass,"[56.1, 67.0]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.227,2.2789999999999964,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5831536388119589
