id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,duel_outcome_id,duel_outcome_name,pass_switch,dribble_outcome_id,dribble_outcome_name,clearance_right_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_technique_id,pass_technique_name,pass_inswinging,shot_statsbomb_xg,shot_end_location,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_aerial_won,shot_deflected,block_deflection,pass_straight,pass_outswinging,bad_behaviour_card_id,bad_behaviour_card_name,pass_no_touch,dribble_nutmeg,pass_miscommunication,pass_through_ball,shot_one_on_one,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_goal_assist,foul_won_defensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
397dc7ae-3f19-4329-8440-38946b736b9c,527,1,00:12:00.622,12,0,31,1.011328,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['29ccb569-195b-4672-a34f-8fd5ffc0cc87', '912b6bec-0922-4d0e-9a42-09446cfa166e']",,"[51.6, 21.0]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,"[50.1, 23.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.622,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.818983604348514
912b6bec-0922-4d0e-9a42-09446cfa166e,528,1,00:12:01.634,12,1,31,1.027444,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['4741a21c-784e-429d-8bc8-7a4226f4fc45'],,"[50.1, 23.0]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,18925.0,Ignacio Cases Mora,18.695454,0.60283834,1.0,Ground Pass,"[65.5, 33.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.634,1.0120000000000573,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.16239365298309316
4741a21c-784e-429d-8bc8-7a4226f4fc45,529,1,00:12:02.661,12,2,31,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['912b6bec-0922-4d0e-9a42-09446cfa166e'],,"[65.5, 33.6]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.661,1.02699999999993,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5845561844713614
53cefd04-3d03-4d63-96ce-f1bf8e657d5d,530,1,00:12:02.661,12,2,31,1.180437,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['4741a21c-784e-429d-8bc8-7a4226f4fc45', '8f5eaaee-6b5f-4151-b4d1-639bf9762d97', 'a2ec70a6-212f-4e1f-a7e2-0c09d19011ca']",,"[65.5, 33.6]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,,,,,,,,,,True,"[64.5, 34.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.661,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6634998009020989
a2ec70a6-212f-4e1f-a7e2-0c09d19011ca,531,1,00:12:02.881,12,2,31,1.0238,17,Pressure,1041,Sporting Gijón,1,Regular Play,209,Celta Vigo,,,"['53cefd04-3d03-4d63-96ce-f1bf8e657d5d', '8f5eaaee-6b5f-4151-b4d1-639bf9762d97']",,"[53.4, 46.8]",5217.0,Iago Aspas Juncal,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.881,0.22000000000002728,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6566589554586936
8f5eaaee-6b5f-4151-b4d1-639bf9762d97,532,1,00:12:03.841,12,3,31,0.0,3,Dispossessed,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['4f977061-3a0c-42e2-86cd-40e9c34f42b1', 'a2ec70a6-212f-4e1f-a7e2-0c09d19011ca']",,"[64.5, 34.8]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.841,0.9600000000000364,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08581837225887512
4f977061-3a0c-42e2-86cd-40e9c34f42b1,533,1,00:12:03.841,12,3,31,0.0,4,Duel,1041,Sporting Gijón,1,Regular Play,209,Celta Vigo,,,['8f5eaaee-6b5f-4151-b4d1-639bf9762d97'],,"[55.6, 45.3]",5217.0,Iago Aspas Juncal,17.0,Right Wing,,,,,,,,,,,,True,,,,11.0,Tackle,,,,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.841,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.017773896354637664
d1c4005b-9cec-4c3a-8231-55099aea6754,534,1,00:12:05.144,12,5,31,0.0,2,Ball Recovery,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,,,"[52.0, 40.7]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.144,1.3029999999999973,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8265953549334641
07489b57-e6be-49dd-9bf7-ee1a375667ee,535,1,00:12:05.144,12,5,31,1.08137,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['baafcc6e-5644-4823-88ac-4c733f9ab03d', 'd1c4005b-9cec-4c3a-8231-55099aea6754']",,"[52.0, 40.7]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,,,,,,,,,,,,,"[51.8, 43.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.144,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5252890888163726
baafcc6e-5644-4823-88ac-4c733f9ab03d,536,1,00:12:06.226,12,6,31,1.440931,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['320a70de-ce3d-4769-a78c-31820776db57'],,"[51.8, 43.5]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,23848.0,Carlos Carmona Bonet,25.759853,0.45843932,1.0,Ground Pass,"[74.9, 54.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.226,1.0819999999999936,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.25888203966489265
