id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,duel_type_id,duel_type_name,miscontrol_aerial_won,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,carry_end_location,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,out,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,dribble_overrun,pass_technique_id,pass_technique_name,pass_outswinging,clearance_head,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,clearance_left_foot,shot_one_on_one,foul_committed_advantage,foul_won_advantage,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_aerial_won,ball_recovery_recovery_failure,foul_won_defensive,clearance_aerial_won,dribble_nutmeg,pass_through_ball,pass_inswinging,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,pass_deflected,foul_committed_card_id,foul_committed_card_name,injury_stoppage_in_chain,foul_committed_offensive,pass_cut_back,pass_goal_assist,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
56faaae1-fbfd-4036-b133-cedbcd479261,765,1,00:21:51.878,21,51,56,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['ce559041-1cc5-4a05-959f-e469e05927a9'],,"[35.3, 71.0]",5199.0,Jorge Resurrección Merodio,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.878,0.9099999999998545,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8682849871158684
1fd6950f-e057-4789-95fd-383974135e27,766,1,00:21:51.878,21,51,56,0.039999,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['19216e1c-e0dc-4fcf-8986-b1f7fac78bf5', '56faaae1-fbfd-4036-b133-cedbcd479261']",,"[35.3, 71.0]",5199.0,Jorge Resurrección Merodio,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,"[35.3, 71.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.878,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5292891613960705
19216e1c-e0dc-4fcf-8986-b1f7fac78bf5,767,1,00:21:51.918,21,51,56,1.507599,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['f8564510-582a-4e85-a58c-c1c29785e7d2'],,"[35.3, 71.0]",5199.0,Jorge Resurrección Merodio,13.0,Right Center Midfield,5249.0,Diego Roberto Godín Leal,26.533941,-1.8221735,3.0,High Pass,"[28.7, 45.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.918,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.1906758458080584
f8564510-582a-4e85-a58c-c1c29785e7d2,768,1,00:21:53.425,21,53,56,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['19216e1c-e0dc-4fcf-8986-b1f7fac78bf5'],,"[28.7, 45.3]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313.425,1.5070000000000618,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08567383301513631
9b91e4e1-df46-404f-a120-2cbb74e595ac,769,1,00:21:53.425,21,53,56,1.921766,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['94075db9-605d-4e28-a3c4-bdbde5241f3b', 'd633fcbf-9b1b-4742-b822-b07712a67bb0', 'f8564510-582a-4e85-a58c-c1c29785e7d2']",,"[28.7, 45.3]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,True,,,,,,,,,,"[35.5, 43.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313.425,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22373196047650856
d633fcbf-9b1b-4742-b822-b07712a67bb0,770,1,00:21:54.721,21,54,56,0.55103,17,Pressure,212,Atlético Madrid,4,From Throw In,360,Rayo Vallecano,,,['9b91e4e1-df46-404f-a120-2cbb74e595ac'],,"[86.9, 33.9]",26690.0,Alberto Mateus Contreiras Gonçalves,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314.721,1.2960000000000491,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5592046712431378
94075db9-605d-4e28-a3c4-bdbde5241f3b,771,1,00:21:55.347,21,55,56,0.417833,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['d6835aed-42a4-42f6-b6fb-a724f75e461d'],,"[35.5, 43.8]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,6381.0,Saúl Ñíguez Esclapez,7.283543,0.7756897,1.0,Ground Pass,"[40.7, 48.9]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.347,0.6259999999999764,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.07400095406411378
d6835aed-42a4-42f6-b6fb-a724f75e461d,772,1,00:21:55.765,21,55,56,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['94075db9-605d-4e28-a3c4-bdbde5241f3b'],,"[40.7, 48.9]",6381.0,Saúl Ñíguez Esclapez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.765,0.41800000000012005,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18953472578204755
2561b57a-88f4-44f2-9798-85915d440335,773,1,00:21:55.765,21,55,56,7.605957,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['a27f1afb-dce2-4d51-b947-40b8c7517e7b', 'b184e9bc-1e93-4f1e-aa1a-2ca7004115a9', 'd6835aed-42a4-42f6-b6fb-a724f75e461d']",,"[40.7, 48.9]",6381.0,Saúl Ñíguez Esclapez,10.0,Center Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,"[90.5, 55.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.765,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6791632910958074
b184e9bc-1e93-4f1e-aa1a-2ca7004115a9,774,1,00:22:00.049,22,0,56,0.754668,17,Pressure,212,Atlético Madrid,4,From Throw In,360,Rayo Vallecano,,,['2561b57a-88f4-44f2-9798-85915d440335'],,"[48.8, 30.3]",26848.0,Roberto Trashorras Gayoso,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.049,4.283999999999878,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5408598581263585
