id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_assisted_shot_id,pass_shot_assist,pass_aerial_won,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,out,foul_committed_type_id,foul_committed_type_name,goalkeeper_end_location,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_cross,clearance_head,pass_switch,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,pass_miscommunication,50_50_outcome_id,50_50_outcome_name,block_offensive,foul_committed_offensive,shot_first_time,pass_goal_assist,clearance_aerial_won,miscontrol_aerial_won,pass_inswinging,shot_aerial_won,block_deflection,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_straight,dribble_nutmeg,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f425dbb1-3915-4ea7-9fba-c44c4040111f,2400,2,00:24:33.348,69,33,156,1.17319,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['1139e970-705b-4c87-a859-b8e6e1091648'],,"[38.6, 74.5]",7906.0,David Simón Rodríguez Santana,7.0,Right Wing Back,8167.0,Sergio Ezequiel Araújo,18.618807,0.113029696,1.0,Ground Pass,"[57.1, 76.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473.348,0.45100000000002183,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4235863115517522
1139e970-705b-4c87-a859-b8e6e1091648,2401,2,00:24:34.521,69,34,156,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['f425dbb1-3915-4ea7-9fba-c44c4040111f'],,"[57.1, 76.6]",8167.0,Sergio Ezequiel Araújo,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.521,1.1730000000000018,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.33685329295937205
eb201c30-ee16-40a4-83bc-807cb801ed3c,2402,2,00:24:34.521,69,34,156,0.058576003,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['1139e970-705b-4c87-a859-b8e6e1091648', '1d58eb95-69f0-42b8-8c38-ce0b1bd96fd1']",,"[57.1, 76.6]",8167.0,Sergio Ezequiel Araújo,24.0,Left Center Forward,,,,,,,,,,,,,"[58.2, 76.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.521,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8122897991380629
1d58eb95-69f0-42b8-8c38-ce0b1bd96fd1,2403,2,00:24:34.580,69,34,156,0.0,3,Dispossessed,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['a6bf664b-ddfb-4dfa-ac44-52b8fdbf8ec2'],,"[58.2, 76.4]",8167.0,Sergio Ezequiel Araújo,24.0,Left Center Forward,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.58,0.05899999999996908,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5701613796260007
a6bf664b-ddfb-4dfa-ac44-52b8fdbf8ec2,2404,2,00:24:34.580,69,34,156,0.0,4,Duel,208,Las Palmas,1,Regular Play,213,Sevilla,,,['1d58eb95-69f0-42b8-8c38-ce0b1bd96fd1'],,"[61.9, 3.7]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,,,,,,,,,,,,True,,,,,,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.58,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9536869511630935
ead6a0ce-73c5-4597-aa10-17e8bbdb30cc,2405,2,00:24:50.258,69,50,157,1.67363,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['aee9b851-e7ef-40f8-9d2e-1cd29e878f42'],,"[64.7, 80.0]",7906.0,David Simón Rodríguez Santana,7.0,Right Wing Back,8167.0,Sergio Ezequiel Araújo,27.622093,-0.9396045,3.0,High Pass,"[81.0, 57.7]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.258,15.678000000000111,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.46788357454462826
aee9b851-e7ef-40f8-9d2e-1cd29e878f42,2406,2,00:24:51.932,69,51,157,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['ead6a0ce-73c5-4597-aa10-17e8bbdb30cc'],,"[81.0, 57.7]",8167.0,Sergio Ezequiel Araújo,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.932,1.6739999999999782,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7082036093987754
94a38c18-8643-41f1-a97d-820046750e17,2407,2,00:24:51.932,69,51,157,0.04,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['07914a6d-7e54-4077-a867-6f09165d2238', 'aee9b851-e7ef-40f8-9d2e-1cd29e878f42']",,"[81.0, 57.7]",8167.0,Sergio Ezequiel Araújo,24.0,Left Center Forward,,,,,,,,,,,,,"[81.6, 56.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.932,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4714253456476377
07914a6d-7e54-4077-a867-6f09165d2238,2408,2,00:24:51.972,69,51,157,0.604264,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['035e24b7-e757-4418-8515-3b2c87d9681f'],,"[81.6, 56.9]",8167.0,Sergio Ezequiel Araújo,24.0,Left Center Forward,3610.0,Roque Mesa Quevedo,6.1522355,-2.3447008,2.0,Low Pass,"[77.3, 52.5]",70.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.972,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4161341108365304
035e24b7-e757-4418-8515-3b2c87d9681f,2409,2,00:24:52.576,69,52,157,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['07914a6d-7e54-4077-a867-6f09165d2238'],,"[77.3, 52.5]",3610.0,Roque Mesa Quevedo,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492.576,0.6040000000000418,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7406652256262676
