id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,counterpress,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,duel_outcome_id,duel_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_technique_id,pass_technique_name,pass_through_ball,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_inswinging,clearance_head,clearance_aerial_won,pass_switch,foul_committed_card_id,foul_committed_card_name,dribble_outcome_id,dribble_outcome_name,pass_deflected,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_cross,foul_committed_advantage,foul_won_advantage,shot_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_deflected,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_open_goal,pass_outswinging,foul_won_defensive,pass_miscommunication,dribble_overrun,miscontrol_aerial_won,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,pass_no_touch,goalkeeper_lost_in_play,block_save_block,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,pass_straight,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
2bd2e48e-4284-44da-93b5-0bcda367159a,31,1,00:00:35.519,0,35,2,,42,Ball Receipt*,322,Eibar,9,From Kick Off,322,Eibar,,,['73e9f06a-e206-406c-88f2-680a39f6610a'],,"[92.5, 61.9]",6742.0,Sergio Gontán Gallardo,17.0,Right Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.519,0.03999999999999915,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4569433579311961
495a19c4-444e-494c-b63a-221d351c9caa,32,1,00:00:35.519,0,35,2,1.495134,30,Pass,322,Eibar,9,From Kick Off,222,Villarreal,,,"['1dcc1b6f-193d-493b-9df3-11b0d5705016', '73e9f06a-e206-406c-88f2-680a39f6610a', 'e875ce28-ae0a-4e46-8ef9-3d91346dd87a']",,"[19.1, 18.1]",6935.0,Adrián Marín Gómez,6.0,Left Back,,,12.126417,2.432072,2.0,Low Pass,"[9.9, 26.0]",,,64.0,Interception,,9.0,Incomplete,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.519,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4241312559901599
e875ce28-ae0a-4e46-8ef9-3d91346dd87a,33,1,00:00:35.519,0,35,2,0.0,4,Duel,322,Eibar,9,From Kick Off,322,Eibar,,,['495a19c4-444e-494c-b63a-221d351c9caa'],,"[101.0, 62.0]",6742.0,Sergio Gontán Gallardo,17.0,Right Wing,,,,,,,,,,,,,,,,,True,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.519,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4875724946666318
1dcc1b6f-193d-493b-9df3-11b0d5705016,34,1,00:00:37.015,0,37,2,0.0,2,Ball Recovery,322,Eibar,9,From Kick Off,322,Eibar,,,['495a19c4-444e-494c-b63a-221d351c9caa'],,"[110.2, 54.1]",6566.0,Borja González Tomás,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.015,1.4960000000000022,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7638638398173844
bd51b7e6-c79a-4426-9520-1d298f172011,35,1,00:00:37.105,0,37,2,0.351699,17,Pressure,322,Eibar,9,From Kick Off,222,Villarreal,,,['0e3f4dfa-8afe-408a-8224-8c87d105826a'],,"[12.6, 29.6]",3324.0,Eric Bertrand Bailly,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.105,0.0899999999999963,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5777148601753613
0e3f4dfa-8afe-408a-8224-8c87d105826a,36,1,00:00:37.434,0,37,2,0.395162,16,Shot,322,Eibar,9,From Kick Off,322,Eibar,,,"['16bc734d-b369-4405-bc7b-18142473e30a', 'bd51b7e6-c79a-4426-9520-1d298f172011']",,"[110.1, 51.0]",6566.0,Borja González Tomás,23.0,Center Forward,,,,,,,,,,,,,,,,,True,,,,0.14702553,"[120.0, 31.8, 0.7]",91.0,Half Volley,True,98.0,Off T,87.0,Open Play,40.0,Right Foot,"[{'location': [88.0, 59.1], 'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.7, 51.6], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.9, 60.8], 'player': {'id': 6935, 'name': 'Adrián Marín Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.2, 52.1], 'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.2, 49.4], 'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.5, 39.3], 'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.9, 44.7], 'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.2, 52.1], 'player': {'id': 9462, 'name': 'José Ignacio Peleteiro Ramallo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.6, 59.8], 'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.2, 26.4], 'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.434,0.3290000000000006,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9321497356086677
16bc734d-b369-4405-bc7b-18142473e30a,37,1,00:00:37.829,0,37,2,0.0,23,Goal Keeper,322,Eibar,9,From Kick Off,222,Villarreal,,,['0e3f4dfa-8afe-408a-8224-8c87d105826a'],,"[5.2, 35.4]",3379.0,Alphonse Areola,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5.2, 35.4]",32.0,Shot Faced,44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.829,0.3950000000000031,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6326873737595408
21848aae-7a4b-4ddf-9587-bf2b0aa4054e,38,1,00:01:02.988,1,2,3,3.460338,30,Pass,222,Villarreal,7,From Goal Kick,222,Villarreal,,,['7ec03e62-e1bb-4149-bf70-7e4d3127b114'],,"[6.0, 36.0]",3379.0,Alphonse Areola,1.0,Goalkeeper,,,68.530945,0.39703605,3.0,High Pass,"[69.2, 62.5]",40.0,Right Foot,63.0,Goal Kick,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.988,25.159,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.48911721186310775
985864a9-57d2-4992-82b3-0e97cabb00b3,39,1,00:01:06.448,1,6,3,0.0,4,Duel,222,Villarreal,7,From Goal Kick,222,Villarreal,,,['7ec03e62-e1bb-4149-bf70-7e4d3127b114'],,"[69.2, 62.5]",6622.0,Tomás Pina Isla,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,True,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.44800000000001,3.460000000000008,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14160053112063664
7ec03e62-e1bb-4149-bf70-7e4d3127b114,40,1,00:01:06.448,1,6,4,1.537333,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['21848aae-7a4b-4ddf-9587-bf2b0aa4054e', '985864a9-57d2-4992-82b3-0e97cabb00b3', 'e9c99a05-73b3-45a7-a675-f4dc5d249874']",,"[50.9, 17.6]",6775.0,Daniel García Carrillo,11.0,Left Defensive Midfield,6742.0,Sergio Gontán Gallardo,22.487553,1.2307637,3.0,High Pass,"[58.4, 38.8]",,,66.0,Recovery,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.44800000000001,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.24738333363728637
