id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_nutmeg,pass_cross,pass_switch,interception_outcome_id,interception_outcome_name,out,pass_aerial_won,miscontrol_aerial_won,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,shot_first_time,pass_no_touch,goalkeeper_end_location,ball_recovery_recovery_failure,clearance_left_foot,pass_technique_id,pass_technique_name,pass_outswinging,dribble_overrun,pass_goal_assist,pass_straight,shot_aerial_won,pass_inswinging,pass_through_ball,block_offensive,pass_deflected,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_won_defensive,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
1450859b-41c1-4bd0-81eb-ccabebb17383,174,1,00:04:15.306,4,15,13,0.0,6,Block,1041,Sporting Gijón,1,Regular Play,214,Espanyol,,,['e5cf24de-b948-47f0-b06b-1e4dc0a1be05'],,"[62.6, 4.3]",27148.0,Abraham González Casanova,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.306,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.753783293379842
844f2bb8-cbc6-47a1-8e98-e4efc83c0a7d,175,1,00:04:20.463,4,20,14,1.579625,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['a1cd9db6-b9d1-48ba-981a-7ad61d44039f'],,"[62.3, 80.0]",16332.0,Ognjen Vranješ,2.0,Right Back,6561.0,Luis Hernández Rodríguez,21.661486,-2.559992,2.0,Low Pass,"[44.2, 68.1]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.463,5.157000000000011,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.027373197822907702
a1cd9db6-b9d1-48ba-981a-7ad61d44039f,176,1,00:04:22.043,4,22,14,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['844f2bb8-cbc6-47a1-8e98-e4efc83c0a7d'],,"[44.2, 68.1]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.043,1.579999999999984,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5097220201289432
181779ad-d337-42ad-b9ac-ccca7e56b3cc,177,1,00:04:22.043,4,22,14,1.801009,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['21dd6927-6af5-4aca-a794-d9fbccf72a0d', 'a1cd9db6-b9d1-48ba-981a-7ad61d44039f']",,"[44.2, 68.1]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,,,,,,,,,,,,"[44.2, 68.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.043,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8243452555734395
21dd6927-6af5-4aca-a794-d9fbccf72a0d,178,1,00:04:23.844,4,23,14,1.412172,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['d2056b84-9d3f-4edf-834d-8830b16c5ae0'],,"[44.2, 68.1]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,8818.0,Jorge Meré Pérez,28.334608,-1.620226,1.0,Ground Pass,"[42.8, 39.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.844,1.8009999999999877,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.38640298734509604
d2056b84-9d3f-4edf-834d-8830b16c5ae0,179,1,00:04:25.256,4,25,14,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['21dd6927-6af5-4aca-a794-d9fbccf72a0d'],,"[42.8, 39.8]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.256,1.4119999999999777,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12851527107939942
b14568b6-8464-4726-ac56-2dd73213d0b0,180,1,00:04:25.256,4,25,14,1.282001,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['8602d8ce-bc73-40c5-a09f-33be9371d961', 'd2056b84-9d3f-4edf-834d-8830b16c5ae0']",,"[42.8, 39.8]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,"[46.9, 31.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.256,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1474063111021523
8602d8ce-bc73-40c5-a09f-33be9371d961,181,1,00:04:26.538,4,26,14,1.360335,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['d8eb108d-23e4-49ea-af20-d4b4e8fa1dbd'],,"[46.9, 31.0]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,24263.0,Ismael López Blanco,29.20274,-1.1623074,1.0,Ground Pass,"[58.5, 4.2]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.538,1.282000000000039,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.46611910484217367
d8eb108d-23e4-49ea-af20-d4b4e8fa1dbd,182,1,00:04:27.898,4,27,14,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['8602d8ce-bc73-40c5-a09f-33be9371d961'],,"[58.5, 4.2]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.898,1.3600000000000136,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6726609088369803
be6100c0-1d1c-4690-aab7-8b08995dd91f,183,1,00:04:27.898,4,27,14,1.365109,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['b8560270-ee2d-479c-b63c-9b6d06cd8c86', 'd8eb108d-23e4-49ea-af20-d4b4e8fa1dbd']",,"[58.5, 4.2]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,"[60.2, 2.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.898,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2786128744930393
