id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,interception_outcome_id,interception_outcome_name,out,pass_technique_id,pass_technique_name,pass_inswinging,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_right_foot,clearance_aerial_won,shot_statsbomb_xg,shot_end_location,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_miscommunication,foul_won_defensive,pass_cross,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_outswinging,shot_saved_to_post,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_shot_saved_to_post,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,dribble_overrun,ball_recovery_recovery_failure,dribble_nutmeg,clearance_left_foot,bad_behaviour_card_id,bad_behaviour_card_name,pass_goal_assist,shot_open_goal,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,foul_committed_penalty,foul_won_penalty,shot_one_on_one,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
0c971399-604f-46ce-8778-53c9cd93664d,2583,2,00:31:33.689,76,33,170,2.030876,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['e81c2579-315d-4d5d-af4c-824e0faa0a5f'],True,"[7.5, 42.3]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,7005.0,João Pedro Cavaco Cancelo,36.06009,1.135677,3.0,High Pass,"[22.7, 75.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.689,1.6000000000001364,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7211185536996616
e81c2579-315d-4d5d-af4c-824e0faa0a5f,2584,2,00:31:35.720,76,35,170,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['0c971399-604f-46ce-8778-53c9cd93664d'],,"[22.7, 75.0]",7005.0,João Pedro Cavaco Cancelo,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.72,2.030999999999949,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15052264520264147
86cce0c7-7a38-4794-a961-2d5f98820093,2585,2,00:31:36.010,76,36,170,1.13406,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['399cd954-2b00-4009-9d00-e30ec4445032'],True,"[23.5, 75.6]",7005.0,João Pedro Cavaco Cancelo,2.0,Right Back,10802.0,André Filipe Tavares Gomes,20.947554,-0.18241541,1.0,Ground Pass,"[44.1, 71.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896.01,0.2899999999999636,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7533253392667171
399cd954-2b00-4009-9d00-e30ec4445032,2586,2,00:31:37.145,76,37,170,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['86cce0c7-7a38-4794-a961-2d5f98820093'],,"[44.1, 71.8]",10802.0,André Filipe Tavares Gomes,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.145,1.134999999999991,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.341082699932478
5b509d11-225c-46e1-b216-f2efd31602fd,2587,2,00:31:39.235,76,39,170,1.456442,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['3ef88667-3085-4fb7-895d-a529b4fe4754'],True,"[45.6, 72.3]",10802.0,André Filipe Tavares Gomes,13.0,Right Center Midfield,4406.0,Aymen Abdennour,31.310701,-3.000599,1.0,Ground Pass,"[14.6, 67.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899.235,2.089999999999918,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.63570619434867
3ef88667-3085-4fb7-895d-a529b4fe4754,2588,2,00:31:40.692,76,40,170,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['5b509d11-225c-46e1-b216-f2efd31602fd'],,"[14.6, 67.9]",4406.0,Aymen Abdennour,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.692,1.4570000000001073,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4807824156071685
e611d158-335b-410f-aa06-c4ac341a28ec,2589,2,00:31:40.804,76,40,170,1.087195,17,Pressure,207,Valencia,4,From Throw In,322,Eibar,,,['cd255fa4-ef82-473f-ba9f-abe1ed594367'],True,"[103.5, 11.8]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.804,0.11200000000008004,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8867578867546918
cd255fa4-ef82-473f-ba9f-abe1ed594367,2590,2,00:31:41.666,76,41,170,1.026457,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,"['e611d158-335b-410f-aa06-c4ac341a28ec', 'ef7d7371-f491-4ef0-8e0f-64c0a0587584']",,"[14.4, 69.6]",4406.0,Aymen Abdennour,5.0,Left Center Back,7005.0,João Pedro Cavaco Cancelo,21.337759,0.4405909,2.0,Low Pass,"[33.7, 78.7]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901.666,0.8619999999998527,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.3215002359267647
ef7d7371-f491-4ef0-8e0f-64c0a0587584,2591,2,00:31:42.692,76,42,170,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['cd255fa4-ef82-473f-ba9f-abe1ed594367'],,"[33.7, 78.7]",7005.0,João Pedro Cavaco Cancelo,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902.692,1.0260000000000673,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.003905400990006469
4a497a01-b0e8-43ca-9e20-3a147e387802,2592,2,00:31:42.692,76,42,170,3.215963,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['5e4436cd-da3a-4f75-b2b6-dfc425a96e1c', 'ef7d7371-f491-4ef0-8e0f-64c0a0587584']",,"[33.7, 78.7]",7005.0,João Pedro Cavaco Cancelo,2.0,Right Back,,,,,,,,,,,,"[33.7, 78.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902.692,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06207526636040517
