id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,under_pressure,off_camera,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,shot_open_goal,shot_first_time,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,out,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_cross,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_head,pass_aerial_won,ball_recovery_recovery_failure,clearance_right_foot,goalkeeper_end_location,pass_outswinging,foul_won_defensive,shot_aerial_won,clearance_aerial_won,pass_miscommunication,block_offensive,shot_saved_to_post,goalkeeper_shot_saved_to_post,pass_inswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,foul_committed_advantage,foul_won_advantage,pass_goal_assist,block_deflection,shot_saved_off_target,goalkeeper_shot_saved_off_target,injury_stoppage_in_chain,block_save_block,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,pass_no_touch,clearance_other,shot_one_on_one,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
2c19fad0-8b52-4c4f-badb-632237748970,1250,1,00:33:01.939,33,1,77,2.2284,43,Carry,217,Barcelona,9,From Kick Off,217,Barcelona,,,"['12c6eb93-c648-4c81-a049-769fa9594b87', 'ff5cd68e-5259-4de0-958e-1542588686f8']","[16.4, 40.4]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,"[17.8, 45.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.939,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.31058679990531557
ff5cd68e-5259-4de0-958e-1542588686f8,1251,1,00:33:04.167,33,4,77,1.0714,30,Pass,217,Barcelona,9,From Kick Off,217,Barcelona,,,"['3d2bd353-6856-41b9-ac0f-cb882a183269', '851bada7-b4e2-443b-b19c-08e2141ddf64']","[17.8, 45.1]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,11094.0,Arda Turan,31.484123,0.10820195,3.0,High Pass,"[49.1, 48.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.167,2.227999999999838,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.03265312257218567
3d2bd353-6856-41b9-ac0f-cb882a183269,1252,1,00:33:05.239,33,5,77,,42,Ball Receipt*,217,Barcelona,9,From Kick Off,217,Barcelona,,,['ff5cd68e-5259-4de0-958e-1542588686f8'],"[47.2, 49.5]",11094.0,Arda Turan,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985.239,1.0720000000001164,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37304165493378916
851bada7-b4e2-443b-b19c-08e2141ddf64,1253,1,00:33:05.239,33,5,77,0.0,9,Clearance,217,Barcelona,9,From Kick Off,223,Málaga,,,['ff5cd68e-5259-4de0-958e-1542588686f8'],"[71.0, 31.6]",8234.0,Ignacio Camacho Barnola,11.0,Left Defensive Midfield,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985.239,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4676894286883132
69235a73-8311-4674-bfc7-300d68f82849,1254,1,00:33:07.840,33,7,77,1.02673,30,Pass,217,Barcelona,9,From Kick Off,217,Barcelona,,,['77a13f7c-1507-4450-a65a-c51088500df1'],"[20.2, 54.0]",5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,4691.0,Claudio Andrés Bravo Muñoz,14.234114,-2.3015227,3.0,High Pass,"[10.7, 43.4]",66.0,Recovery,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.84,2.6009999999998854,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6987261180185523
77a13f7c-1507-4450-a65a-c51088500df1,1255,1,00:33:08.867,33,8,77,,42,Ball Receipt*,217,Barcelona,9,From Kick Off,217,Barcelona,,,['69235a73-8311-4674-bfc7-300d68f82849'],"[10.7, 43.4]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.867,1.0270000000000437,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6400123458731446
28f8e93c-16a3-4ce6-bbe9-d4a47e306f1c,1256,1,00:33:08.867,33,8,77,5.24407,43,Carry,217,Barcelona,9,From Kick Off,217,Barcelona,,,"['339b04d7-5c62-4c29-9080-9812215c241e', '77a13f7c-1507-4450-a65a-c51088500df1']","[10.7, 43.4]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,"[10.5, 43.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.867,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5477149067215964
339b04d7-5c62-4c29-9080-9812215c241e,1257,1,00:33:14.111,33,14,77,2.285406,30,Pass,217,Barcelona,9,From Kick Off,217,Barcelona,,,['497cc024-e3cc-44f6-9cdf-f5366eddea06'],"[10.5, 43.7]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,22102.0,Adriano Correia Claro,47.605568,-0.9600704,3.0,High Pass,"[37.8, 4.7]",,,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.111,5.244000000000142,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.565263866029242
497cc024-e3cc-44f6-9cdf-f5366eddea06,1258,1,00:33:16.396,33,16,77,,42,Ball Receipt*,217,Barcelona,9,From Kick Off,217,Barcelona,,,['339b04d7-5c62-4c29-9080-9812215c241e'],"[37.8, 4.7]",22102.0,Adriano Correia Claro,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.396,2.2849999999998545,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9384980362515999
901bf2dd-64e9-41a5-a3c0-b6cc355bfd10,1259,1,00:33:16.430,33,16,77,1.140924,30,Pass,217,Barcelona,9,From Kick Off,217,Barcelona,,,['cba99393-55be-49fc-a97c-4294a3869458'],"[37.8, 4.7]",22102.0,Adriano Correia Claro,6.0,Left Back,5216.0,Andrés Iniesta Luján,18.315294,0.7738157,3.0,High Pass,"[50.9, 17.5]",,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.43,0.0340000000001055,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.2888165333562378
