id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,counterpress,miscontrol_aerial_won,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_miscommunication,dribble_outcome_id,dribble_outcome_name,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_cross,clearance_head,foul_committed_offensive,foul_won_defensive,out,pass_outswinging,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_left_foot,pass_inswinging,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,foul_committed_advantage,foul_won_advantage,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_one_on_one,pass_deflected,pass_no_touch,dribble_overrun,ball_recovery_offensive,ball_recovery_recovery_failure,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,pass_cut_back,block_deflection,shot_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
fe3bac3e-e3b3-42ab-ba0f-0a8d6b4e034e,450,1,00:09:34.593,9,34,19,0.825185,43,Carry,208,Las Palmas,4,From Throw In,219,RC Deportivo La Coruña,,,"['99ec4a55-1d9c-4d50-b1d9-a3d0c4036c04', 'bada4aa2-a813-4895-a468-0eaae54a93ee']",,"[28.0, 68.2]",6738.0,Juan Francisco Moreno Fuertes,2.0,Right Back,,,,,,,,,,,,"[29.4, 68.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.593,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13808173065051288
bada4aa2-a813-4895-a468-0eaae54a93ee,451,1,00:09:35.419,9,35,19,0.844228,30,Pass,208,Las Palmas,4,From Throw In,219,RC Deportivo La Coruña,,,['1711b561-9161-498c-9c3e-dc3e87615f79'],,"[29.4, 68.2]",6738.0,Juan Francisco Moreno Fuertes,2.0,Right Back,6728.0,Federico Nicolás Cartabia,10.922454,0.8631631,1.0,Ground Pass,"[36.5, 76.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.419,0.8260000000000218,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2996079834295191
1711b561-9161-498c-9c3e-dc3e87615f79,452,1,00:09:36.263,9,36,19,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,219,RC Deportivo La Coruña,,,['bada4aa2-a813-4895-a468-0eaae54a93ee'],,"[36.5, 76.5]",6728.0,Federico Nicolás Cartabia,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.263,0.8440000000000509,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03253154570110639
350cd206-20e2-4c4c-82ee-9d91d26d8730,453,1,00:09:36.263,9,36,19,1.005129,43,Carry,208,Las Palmas,4,From Throw In,219,RC Deportivo La Coruña,,,"['1711b561-9161-498c-9c3e-dc3e87615f79', '55e83b57-f464-4c79-a05e-2691a2f46e13', 'baef36c9-53e3-454b-a8c2-ff429e3ded14']",,"[36.5, 76.5]",6728.0,Federico Nicolás Cartabia,12.0,Right Midfield,,,,,,,,,,,,"[36.5, 76.5]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.263,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21035325014714146
baef36c9-53e3-454b-a8c2-ff429e3ded14,454,1,00:09:36.740,9,36,19,0.737588,17,Pressure,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['350cd206-20e2-4c4c-82ee-9d91d26d8730', '55e83b57-f464-4c79-a05e-2691a2f46e13']",,"[83.6, 3.6]",6932.0,Dani Castellano Betancor,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.74,0.47699999999997544,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2038509456369738
55e83b57-f464-4c79-a05e-2691a2f46e13,455,1,00:09:37.268,9,37,19,2.07367,30,Pass,208,Las Palmas,4,From Throw In,219,RC Deportivo La Coruña,,,"['55e61f91-1cd5-457a-bd8d-0bdbd600c3d1', 'baef36c9-53e3-454b-a8c2-ff429e3ded14']",,"[36.5, 76.5]",6728.0,Federico Nicolás Cartabia,12.0,Right Midfield,,,44.25404,-1.073794,3.0,High Pass,"[57.6, 37.6]",,,38.0,Left Foot,,9.0,Incomplete,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.268,0.52800000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8721849888561076
55e61f91-1cd5-457a-bd8d-0bdbd600c3d1,456,1,00:09:39.342,9,39,19,0.0,2,Ball Recovery,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['55e83b57-f464-4c79-a05e-2691a2f46e13'],,"[62.5, 42.5]",6927.0,David García Santana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.342,2.0739999999999554,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06556158461000561
5a7b6470-5b72-4705-a361-165440995d25,457,1,00:09:39.342,9,39,19,0.790455,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['55e61f91-1cd5-457a-bd8d-0bdbd600c3d1', '56d9254f-9956-4c12-89dd-0dd733e81a4d']",,"[62.5, 42.5]",6927.0,David García Santana,2.0,Right Back,,,,,,,,,,,,"[63.0, 42.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.342,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4748904152929837
56d9254f-9956-4c12-89dd-0dd733e81a4d,458,1,00:09:40.132,9,40,19,1.239014,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['4b8315f6-6e73-406b-9915-949bbb8bf4be'],,"[63.0, 42.5]",6927.0,David García Santana,2.0,Right Back,10755.0,Jonathan Viera Ramos,22.271282,-0.98030305,1.0,Ground Pass,"[75.4, 24.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.132,0.7899999999999636,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7242591161659894
4b8315f6-6e73-406b-9915-949bbb8bf4be,459,1,00:09:41.371,9,41,19,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['56d9254f-9956-4c12-89dd-0dd733e81a4d'],,"[75.4, 24.0]",10755.0,Jonathan Viera Ramos,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.371,1.2390000000000327,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6455194878889816
