id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,50_50_outcome_id,50_50_outcome_name,foul_committed_advantage,foul_won_advantage,foul_won_defensive,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_aerial_won,interception_outcome_id,interception_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,dribble_overrun,pass_straight,pass_technique_id,pass_technique_name,pass_goal_assist,shot_one_on_one,pass_no_touch,pass_through_ball,block_offensive,shot_redirect,pass_cut_back,pass_inswinging,clearance_left_foot,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,pass_deflected,pass_miscommunication,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging,shot_deflected,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
8301a259-a3da-4464-ad11-eeb77ba2138f,1766,2,00:04:20.507,49,20,117,0.811141,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['27a1472c-c70e-4bbc-80f9-4b1a5ccc9b6c'],,"[77.9, 68.2]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,5560.0,Carlos Alberto Vela Garrido,15.384732,0.47236833,2.0,Low Pass,"[91.6, 75.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.507,0.8340000000000032,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7804780495705446
27a1472c-c70e-4bbc-80f9-4b1a5ccc9b6c,1767,2,00:04:21.318,49,21,117,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['8301a259-a3da-4464-ad11-eeb77ba2138f'],,"[91.6, 75.2]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.318,0.8109999999999786,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9484995031968338
ddfb435c-5dff-4a19-ac65-436680d2692e,1768,2,00:04:21.318,49,21,117,0.37295,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['27a1472c-c70e-4bbc-80f9-4b1a5ccc9b6c', '289bd07c-0786-4978-96ad-44bfda930d21']",,"[91.6, 75.2]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,,,,,,,,,,,,"[91.6, 75.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.318,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.439729925152342
289bd07c-0786-4978-96ad-44bfda930d21,1769,2,00:04:21.691,49,21,117,0.0,38,Miscontrol,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,,,"[91.6, 75.2]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.691,0.37299999999999045,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.9566339408707134
1536037f-63c5-4acb-80d0-882082be6616,1770,2,00:04:32.397,49,32,118,1.702155,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['85a2391d-0b54-4141-a78d-c79dc55d76a3'],,"[28.5, 0.1]",6802.0,Jonathan Castro Otto,6.0,Left Back,6801.0,Pedro Pablo Hernández,32.42792,0.14233316,3.0,High Pass,"[60.6, 4.7]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.397,10.706000000000017,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.14676267087534722
85a2391d-0b54-4141-a78d-c79dc55d76a3,1771,2,00:04:34.099,49,34,118,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['1536037f-63c5-4acb-80d0-882082be6616'],,"[60.6, 4.7]",6801.0,Pedro Pablo Hernández,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.099,1.7019999999999982,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5928545700764029
5413773f-8f8d-4856-ba60-e4d17d715223,1772,2,00:04:34.139,49,34,118,0.032144,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['c02edaa3-7a1f-497d-a1ad-ff7448dc1b57'],,"[59.9, 4.4]",6801.0,Pedro Pablo Hernández,13.0,Right Center Midfield,,,2.9410882,0.3109983,2.0,Low Pass,"[62.7, 5.3]",37.0,Head,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.139,0.040000000000020464,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7399550203643022
c02edaa3-7a1f-497d-a1ad-ff7448dc1b57,1773,2,00:04:34.171,49,34,119,1.20101,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['5413773f-8f8d-4856-ba60-e4d17d715223', 'cdf831b6-db0c-4ec4-ae37-19a1e52880f4']",,"[57.4, 74.8]",6690.0,Xabier Prieto Argarate,17.0,Right Wing,5560.0,Carlos Alberto Vela Garrido,8.9196415,-0.7378151,2.0,Low Pass,"[64.0, 68.8]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.171,0.031999999999982265,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5800144803764885
cdf831b6-db0c-4ec4-ae37-19a1e52880f4,1774,2,00:04:35.372,49,35,119,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['c02edaa3-7a1f-497d-a1ad-ff7448dc1b57'],,"[64.0, 68.8]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.372,1.2010000000000218,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.42344627890049547
a12f156e-683f-46bb-9a7b-cfebccb3e5cf,1775,2,00:04:35.372,49,35,119,0.04,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['9b78c771-f3ba-483d-9d61-b20b0a7943e2', 'cdf831b6-db0c-4ec4-ae37-19a1e52880f4']",,"[64.0, 68.8]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,,,,,,,,,,,,"[64.0, 68.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.372,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6894143729044917
