id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,off_camera,out,foul_committed_type_id,foul_committed_type_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_technique_id,pass_technique_name,pass_outswinging,block_deflection,dribble_outcome_id,dribble_outcome_name,clearance_aerial_won,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,pass_switch,pass_inswinging,shot_first_time,pass_cross,miscontrol_aerial_won,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,foul_committed_advantage,foul_won_advantage,shot_aerial_won,block_offensive,pass_goal_assist,pass_straight,dribble_overrun,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,pass_through_ball,foul_committed_penalty,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
6fc5878b-e31a-4f22-9ab9-f1f84bb601dc,1861,2,00:04:24.133,49,24,114,1.936037,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['3887b7a6-1841-4ce2-95dc-bb68fc64c6e6', '87724591-bda5-4143-a506-5d60d2fd9b45', 'd341e46b-49f2-4318-972c-857d9817e4ae']","[85.4, 19.5]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,,,,,,,,,,"[92.3, 5.7]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.133,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9715391799717769
87724591-bda5-4143-a506-5d60d2fd9b45,1862,2,00:04:24.885,49,24,114,1.223789,17,Pressure,209,Celta Vigo,4,From Throw In,322,Eibar,,,"['3887b7a6-1841-4ce2-95dc-bb68fc64c6e6', '6fc5878b-e31a-4f22-9ab9-f1f84bb601dc']","[28.2, 69.3]",6712.0,Gonzalo Escalante,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.885,0.7520000000000095,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.010203830348537224
3887b7a6-1841-4ce2-95dc-bb68fc64c6e6,1863,2,00:04:26.069,49,26,114,1.423389,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['66855da5-c28d-4976-b3a5-cded1d706b2e', '87724591-bda5-4143-a506-5d60d2fd9b45']","[92.3, 5.7]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,9.170606,0.4392622,1.0,Ground Pass,"[100.6, 9.6]",,,38.0,Left Foot,,9.0,Incomplete,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.069,1.184000000000026,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.23068257305557283
66855da5-c28d-4976-b3a5-cded1d706b2e,1864,2,00:04:27.492,49,27,114,0.0,6,Block,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['3887b7a6-1841-4ce2-95dc-bb68fc64c6e6'],"[100.6, 9.6]",6797.0,Daniel Wass,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,267.492,1.4230000000000018,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6188237065744926
5c31793e-fa74-48a9-bcab-91e3c967fd1d,1865,2,00:04:42.825,49,42,115,1.473439,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,['2d3f4ee4-db00-464a-bb2c-44b0ec50564f'],"[35.2, 80.0]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,25.292292,-0.50786656,3.0,High Pass,"[57.3, 67.7]",67.0,Throw-in,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.825,15.33299999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9000934352366857
2d3f4ee4-db00-464a-bb2c-44b0ec50564f,1866,2,00:04:44.299,49,44,116,2.294158,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['5c31793e-fa74-48a9-bcab-91e3c967fd1d', 'fce4130e-95a0-4601-8acc-6438d1a354f6']","[62.8, 12.4]",6802.0,Jonathan Castro Otto,6.0,Left Back,6794.0,Gustavo Daniel Cabral Cáceres,20.615528,2.61282,3.0,High Pass,"[45.0, 22.8]",66.0,Recovery,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.299,1.4739999999999895,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5547730502194962
fce4130e-95a0-4601-8acc-6438d1a354f6,1867,2,00:04:46.593,49,46,116,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['2d3f4ee4-db00-464a-bb2c-44b0ec50564f'],"[45.0, 22.8]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.593,2.2940000000000396,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.013688573630260215
7418b819-98b3-4c68-987a-9d6dd2f9c377,1868,2,00:04:46.593,49,46,116,2.287998,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['3393ac30-14e1-4837-951d-2e24f36b03c8', 'fce4130e-95a0-4601-8acc-6438d1a354f6']","[45.0, 22.8]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,,,,,,,,,,,,"[45.0, 22.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.593,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5504351468167067
3393ac30-14e1-4837-951d-2e24f36b03c8,1869,2,00:04:48.881,49,48,116,1.291431,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['954fb600-815f-42f5-ada3-86c5e7c01b1d'],"[45.0, 22.8]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,27341.0,Marcelo Alfonso Díaz Rojas,17.075129,1.476955,1.0,Ground Pass,"[46.6, 39.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.881,2.287999999999954,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5815945834734481
954fb600-815f-42f5-ada3-86c5e7c01b1d,1870,2,00:04:50.172,49,50,116,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['3393ac30-14e1-4837-951d-2e24f36b03c8'],"[46.6, 39.8]",27341.0,Marcelo Alfonso Díaz Rojas,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.172,1.2910000000000537,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1850098052793785
