id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_recovery_recovery_failure,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_deflected,pass_switch,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_aerial_won,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,foul_won_defensive,dribble_overrun,dribble_nutmeg,ball_recovery_offensive,shot_first_time,out,foul_committed_advantage,foul_won_advantage,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,clearance_right_foot,block_offensive,pass_through_ball,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,pass_outswinging,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,pass_straight,shot_deflected,injury_stoppage_in_chain,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
6fcc6ddf-d171-4ba3-943f-d3e12c5b5422,2583,2,00:21:23.805,66,23,135,4.380944,17,Pressure,222,Villarreal,3,From Free Kick,209,Celta Vigo,,,['11784549-074c-42f4-8b84-a13a4b8766cb'],,"[9.4, 60.9]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.805,0.23300000000017462,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7366509341323764
6df36b9b-6059-4c3f-b5a0-62508611c93a,2584,2,00:21:28.267,66,28,135,1.061142,30,Pass,222,Villarreal,3,From Free Kick,222,Villarreal,,,['466e02cf-77ff-4038-b855-4e041da079b0'],,"[116.3, 12.6]",26009.0,Roberto Soldado Rillo,24.0,Left Center Forward,6609.0,Denis Suárez Fernández,14.945903,2.4699864,1.0,Ground Pass,"[104.6, 21.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,15add9d7-1ae2-4b3d-a85d-378485056912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,,1288.267,4.461999999999989,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.02211678003898554
466e02cf-77ff-4038-b855-4e041da079b0,2585,2,00:21:29.328,66,29,135,,42,Ball Receipt*,222,Villarreal,3,From Free Kick,222,Villarreal,,,['6df36b9b-6059-4c3f-b5a0-62508611c93a'],,"[104.6, 21.9]",6609.0,Denis Suárez Fernández,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.328,1.0609999999999218,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09993787317776015
0ee7418a-8b5d-4f60-8937-5f7507aefb3b,2586,2,00:21:29.328,66,29,135,0.945041,43,Carry,222,Villarreal,3,From Free Kick,222,Villarreal,,,"['15add9d7-1ae2-4b3d-a85d-378485056912', '466e02cf-77ff-4038-b855-4e041da079b0']",,"[104.6, 21.9]",6609.0,Denis Suárez Fernández,13.0,Right Center Midfield,,,,,,,,,,,,"[104.2, 23.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.328,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9422797079366925
15add9d7-1ae2-4b3d-a85d-378485056912,2587,2,00:21:30.273,66,30,135,0.118777,16,Shot,222,Villarreal,3,From Free Kick,222,Villarreal,,,"['4b3c9182-3734-43bb-be89-56ab16213696', '52f34b25-6c38-4880-9666-d18742dd8da9']",,"[104.2, 23.3]",6609.0,Denis Suárez Fernández,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028200438,"[120.0, 36.9, 0.2]",6df36b9b-6059-4c3f-b5a0-62508611c93a,93.0,Normal,97.0,Goal,40.0,Right Foot,87.0,Open Play,"[{'location': [106.1, 49.9], 'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.2, 41.1], 'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.1, 39.5], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.4, 31.1], 'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.8, 38.6], 'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 50.4], 'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.4, 42.1], 'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.8, 39.6], 'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.6, 20.5], 'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [113.9, 16.2], 'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.0, 37.2], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.6, 20.9], 'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.6, 34.9], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.9, 24.5], 'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.5, 20.2], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1290.273,0.9449999999999363,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.40913627251808937
4b3c9182-3734-43bb-be89-56ab16213696,2588,2,00:21:30.392,66,30,136,0.0,6,Block,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['15add9d7-1ae2-4b3d-a85d-378485056912'],,"[14.6, 55.5]",6805.0,Hugo Mallo Novegil,2.0,Right Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,1290.392,0.11900000000014188,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8089183534412995
52f34b25-6c38-4880-9666-d18742dd8da9,2589,2,00:21:31.543,66,31,136,0.0,23,Goal Keeper,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['15add9d7-1ae2-4b3d-a85d-378485056912'],,"[2.1, 42.9]",6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,Set,26.0,Goal Conceded,,,,,,,,,,,,,,,,,58.0,Touched In,45.0,Diving,41.0,Right Hand,,,,,,,,,,,,,,,,,,,,,,,,1291.543,1.15099999999984,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9179010915290899
17af81d3-1a55-4391-9774-3a6ddb6fdfe8,2590,2,00:22:30.236,67,30,137,0.358831,30,Pass,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['d25c89e3-c7e6-4e45-a622-0e97f9e7529f'],,"[61.0, 40.1]",5217.0,Iago Aspas Juncal,23.0,Center Forward,6801.0,Pedro Pablo Hernández,0.92195445,-1.3521274,1.0,Ground Pass,"[61.2, 39.2]",38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.236,58.69300000000021,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.08992203645146502
d25c89e3-c7e6-4e45-a622-0e97f9e7529f,2591,2,00:22:30.595,67,30,137,,42,Ball Receipt*,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['17af81d3-1a55-4391-9774-3a6ddb6fdfe8'],,"[61.2, 39.2]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.595,0.3589999999999236,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9365089069814027
2bf4dc69-8b4e-40ea-9e24-e199ef1dc800,2592,2,00:22:30.595,67,30,137,1.411947,30,Pass,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['d6091109-42ae-4221-81bf-8def23d006bc'],,"[61.2, 39.2]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,6797.0,Daniel Wass,15.363918,2.4068425,1.0,Ground Pass,"[49.8, 49.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.595,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.3370684938319565
