id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,pass_switch,interception_outcome_id,interception_outcome_name,out,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,dribble_overrun,pass_assisted_shot_id,pass_goal_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,pass_cross,ball_recovery_recovery_failure,clearance_head,pass_outswinging,clearance_aerial_won,foul_won_defensive,goalkeeper_end_location,foul_committed_card_id,foul_committed_card_name,pass_no_touch,clearance_right_foot,dribble_nutmeg,pass_shot_assist,dribble_no_touch,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,50_50_outcome_id,50_50_outcome_name,pass_inswinging,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
60dbd89c-f9a7-4749-b57e-799a9bf358b9,2950,2,00:33:28.849,78,28,167,1.233275,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['d230f3c4-fbb1-4712-9cda-fd6bbcfb68b4'],,"[63.7, 24.5]",15297.0,Mickaël Ciani,5.0,Left Center Back,27241.0,Víctor Guillermo Álvarez Delgado,18.367363,-0.9556101,1.0,Ground Pass,"[74.3, 9.5]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.849,1.9279999999998836,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8984664635070293
d230f3c4-fbb1-4712-9cda-fd6bbcfb68b4,2951,2,00:33:30.082,78,30,167,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['60dbd89c-f9a7-4749-b57e-799a9bf358b9'],,"[74.3, 9.5]",27241.0,Víctor Guillermo Álvarez Delgado,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.082,1.2330000000001746,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6484551708457211
bb7748c2-0947-4ade-b0e8-b8d22b8b5cc7,2952,2,00:33:30.082,78,30,167,1.009389,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['0cff3528-1bbd-41ef-a254-81aaa7a00e0d', 'd230f3c4-fbb1-4712-9cda-fd6bbcfb68b4']",,"[74.3, 9.5]",27241.0,Víctor Guillermo Álvarez Delgado,6.0,Left Back,,,,,,,,,,,,,,,,"[74.3, 11.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.082,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9609358988552232
0cff3528-1bbd-41ef-a254-81aaa7a00e0d,2953,2,00:33:31.092,78,31,167,0.596838,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['1341b523-0fb2-4bbe-afe0-4d858607ab4b'],,"[74.3, 11.8]",27241.0,Víctor Guillermo Álvarez Delgado,6.0,Left Back,6624.0,Jorge Franco Alviz,7.071068,-0.7853982,1.0,Ground Pass,"[79.3, 6.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.092,1.009999999999991,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.38348179930161563
1341b523-0fb2-4bbe-afe0-4d858607ab4b,2954,2,00:33:31.689,78,31,167,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['0cff3528-1bbd-41ef-a254-81aaa7a00e0d'],,"[79.3, 6.8]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.689,0.59699999999998,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08526473221659314
86b77b2d-150b-40b2-8248-ba3c02037c0a,2955,2,00:33:31.689,78,31,167,4.83646,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['1341b523-0fb2-4bbe-afe0-4d858607ab4b', 'a93c02f8-fa8e-4b10-b987-465fffdd7606', 'e97330d6-d620-40c6-badf-70e95cbaa1bb']",,"[79.3, 6.8]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,,,,,"[109.0, 12.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.689,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4710494866501269
e97330d6-d620-40c6-badf-70e95cbaa1bb,2956,2,00:33:34.529,78,34,167,2.190305,17,Pressure,214,Espanyol,1,Regular Play,210,Real Sociedad,,,"['86b77b2d-150b-40b2-8248-ba3c02037c0a', 'a93c02f8-fa8e-4b10-b987-465fffdd7606']",,"[32.9, 72.7]",6605.0,Joseba Zaldúa Bengoetxea,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.529,2.839999999999918,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5745766627367149
b5b06c8d-10f5-4c9f-b421-9d76f4e6b74a,2957,2,00:33:36.525,78,36,167,0.0,22,Foul Committed,214,Espanyol,1,Regular Play,210,Real Sociedad,,,['a93c02f8-fa8e-4b10-b987-465fffdd7606'],,"[11.1, 68.0]",6605.0,Joseba Zaldúa Bengoetxea,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Yellow Card,,,,,,,,,,,,,,,,,,,,,2016.525,1.9960000000000946,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6071246183815028
a93c02f8-fa8e-4b10-b987-465fffdd7606,2958,2,00:33:36.525,78,36,167,0.0,21,Foul Won,214,Espanyol,1,Regular Play,214,Espanyol,,,"['b5b06c8d-10f5-4c9f-b421-9d76f4e6b74a', 'e97330d6-d620-40c6-badf-70e95cbaa1bb']",,"[109.0, 12.1]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.525,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24428656947107574
571fb677-5e95-41c7-86d4-92b82ec9ec08,2959,2,00:34:30.181,79,30,168,1.433042,30,Pass,214,Espanyol,3,From Free Kick,214,Espanyol,,,['e04a9f1b-adf7-4017-8492-7a6ef8889e66'],,"[108.1, 11.8]",24072.0,Salvador Sevilla López,19.0,Center Attacking Midfield,,,42.80853,1.4325333,3.0,High Pass,"[114.0, 54.2]",62.0,Free Kick,40.0,Right Foot,9.0,Incomplete,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.181,53.65599999999995,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5754702822146153
