id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,pass_cross,interception_outcome_id,interception_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,out,clearance_right_foot,goalkeeper_punched_out,pass_technique_id,pass_technique_name,pass_inswinging,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,goalkeeper_end_location,pass_switch,pass_outswinging,pass_cut_back,pass_miscommunication,dribble_nutmeg,clearance_left_foot,ball_recovery_recovery_failure,pass_no_touch,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,block_offensive,shot_redirect,miscontrol_aerial_won,dribble_overrun,pass_goal_assist,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
371fd258-f536-4400-953a-2fed58869970,1161,1,00:30:25.531,30,25,67,1.970409,30,Pass,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['c8f02582-d076-4e4c-84ad-1c7d45d9cbf5'],,"[76.6, 25.8]",26607.0,José Raúl Baena Urdiales,9.0,Right Defensive Midfield,6914.0,Roberto Román Triguero,27.895878,-0.5133658,1.0,Ground Pass,"[100.9, 12.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825.531,1.0670000000000073,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.17910175213651636
c8f02582-d076-4e4c-84ad-1c7d45d9cbf5,1162,1,00:30:27.502,30,27,67,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['371fd258-f536-4400-953a-2fed58869970'],,"[100.9, 12.1]",6914.0,Roberto Román Triguero,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827.502,1.9710000000000036,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07236648763432696
5af00c24-c4cd-4d97-8644-69306ea2366d,1163,1,00:30:27.502,30,27,67,2.918893,43,Carry,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['b0c57bad-7175-45df-84cc-46a412455ac1', 'c8f02582-d076-4e4c-84ad-1c7d45d9cbf5']",,"[100.9, 12.1]",6914.0,Roberto Román Triguero,6.0,Left Back,,,,,,,,,,,,"[105.6, 6.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827.502,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.576968358544319
b0c57bad-7175-45df-84cc-46a412455ac1,1164,1,00:30:30.421,30,30,67,0.268402,30,Pass,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['f2a8814c-c523-48a5-81f0-082d396e9ad1'],,"[105.6, 6.9]",6914.0,Roberto Román Triguero,6.0,Left Back,,,8.309633,1.5226408,2.0,Low Pass,"[106.0, 15.2]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.421,2.9190000000000964,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.12986716071615856
f2a8814c-c523-48a5-81f0-082d396e9ad1,1165,1,00:30:30.689,30,30,67,0.0,6,Block,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,['b0c57bad-7175-45df-84cc-46a412455ac1'],,"[14.1, 64.9]",8234.0,Ignacio Camacho Barnola,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.689,0.2680000000000291,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7269967086484111
cf091a62-77d5-4f85-ab30-4a89136ea8e0,1166,1,00:30:30.939,30,30,67,0.0,6,Block,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,,,"[13.6, 67.3]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.939,0.25,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4336737222967083
a0aeca77-909b-4b28-ad94-dbea97895ecd,1167,1,00:30:31.745,30,31,67,0.590004,17,Pressure,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,['5090d084-cd61-41ee-bd81-8c414eed32b6'],,"[16.3, 72.8]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.745,0.8059999999998126,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.35192747648007794
5090d084-cd61-41ee-bd81-8c414eed32b6,1168,1,00:30:32.113,30,32,67,0.999667,30,Pass,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['a0aeca77-909b-4b28-ad94-dbea97895ecd', 'ed725109-245d-4f3d-8740-84fd2ca5c40c']",,"[103.5, 5.3]",6914.0,Roberto Román Triguero,6.0,Left Back,26607.0,José Raúl Baena Urdiales,17.717787,2.6476512,1.0,Ground Pass,"[87.9, 13.7]",66.0,Recovery,40.0,Right Foot,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832.113,0.36800000000016553,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8311585901792234
ed725109-245d-4f3d-8740-84fd2ca5c40c,1169,1,00:30:33.113,30,33,67,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['5090d084-cd61-41ee-bd81-8c414eed32b6'],,"[87.9, 13.7]",26607.0,José Raúl Baena Urdiales,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.113,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9982016124734062
5827b41a-6207-417a-816c-79bb992c66b1,1170,1,00:30:33.113,30,33,67,4.279972,43,Carry,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['701a66e5-270c-4f9f-88b8-5a21187f22a2', '73e2d212-fc9b-466f-96ab-c653efed95db', 'ed725109-245d-4f3d-8740-84fd2ca5c40c']",,"[87.9, 13.7]",26607.0,José Raúl Baena Urdiales,9.0,Right Defensive Midfield,,,,,,,,,,,,"[78.9, 11.9]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.113,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5361689501363376
