id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,pass_straight,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,foul_won_defensive,pass_switch,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,counterpress,off_camera,dribble_overrun,ball_recovery_offensive,pass_cross,pass_goal_assist,clearance_aerial_won,goalkeeper_end_location,pass_aerial_won,interception_outcome_id,interception_outcome_name,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_outswinging,pass_inswinging,foul_committed_card_id,foul_committed_card_name,pass_through_ball,shot_deflected,block_deflection,pass_no_touch,shot_aerial_won,pass_deflected,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,miscontrol_aerial_won,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
893ad4ce-e009-4b70-9857-d6ad4c5f71a5,1914,1,00:44:39.440,44,39,89,1.0506,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['85c4aa87-b48c-4910-9de1-3bdf9b7aff37'],"[42.7, 51.4]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5503.0,Lionel Andrés Messi Cuccittini,10.707474,-1.5334306,1.0,Ground Pass,"[43.1, 40.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679.44,1.1590000000001055,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0586731857088052
85c4aa87-b48c-4910-9de1-3bdf9b7aff37,1915,1,00:44:40.490,44,40,89,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['893ad4ce-e009-4b70-9857-d6ad4c5f71a5'],"[43.1, 40.7]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2680.49,1.0499999999997272,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5865413630268196
a3a412d7-02d6-4553-a291-2faecc450e02,1916,1,00:44:40.490,44,40,89,3.4867,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['57374151-f77f-4f64-b713-e4b0b6b32431', '85c4aa87-b48c-4910-9de1-3bdf9b7aff37']","[43.1, 40.7]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[55.6, 35.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2680.49,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6485469213797372
57374151-f77f-4f64-b713-e4b0b6b32431,1917,1,00:44:43.977,44,43,89,2.7212,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['4956f028-d71b-4071-8182-781184c29494', 'f084b048-5012-4d71-84eb-8ffbee009ad2']","[55.6, 35.6]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,6616.0,Munir El Haddadi Mohamed,43.200462,0.0046295966,3.0,High Pass,"[98.8, 35.8]",38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683.977,3.48700000000008,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.37617522640986256
4956f028-d71b-4071-8182-781184c29494,1918,1,00:44:46.698,44,46,89,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['57374151-f77f-4f64-b713-e4b0b6b32431'],"[99.2, 40.7]",6616.0,Munir El Haddadi Mohamed,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2686.698,2.7210000000000036,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7887745237703926
f084b048-5012-4d71-84eb-8ffbee009ad2,1919,1,00:44:46.698,44,46,89,0.0,9,Clearance,217,Barcelona,1,Regular Play,210,Real Sociedad,,,['57374151-f77f-4f64-b713-e4b0b6b32431'],"[21.3, 44.3]",16539.0,Diego Antonio Reyes Rosales,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,,,True,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2686.698,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.016181077463431337
93a61932-3a4d-4ee2-965e-59eb28534de4,1920,1,00:44:49.609,44,49,90,1.0559,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['41d26f32-25ff-4774-9b76-9c6628924b75'],"[28.4, 22.5]",6685.0,Mikel Oyarzabal Ugarte,21.0,Left Wing,6674.0,Alberto De La Bella Madureño,8.300602,2.5101392,1.0,Ground Pass,"[21.7, 27.4]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689.609,2.911000000000058,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.21808908084731948
41d26f32-25ff-4774-9b76-9c6628924b75,1921,1,00:44:50.665,44,50,90,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['93a61932-3a4d-4ee2-965e-59eb28534de4'],"[21.7, 27.4]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690.665,1.05600000000004,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2709146336429924
49041669-cba4-4443-938b-19e2036a2c4f,1922,1,00:44:50.665,44,50,90,0.16,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['41d26f32-25ff-4774-9b76-9c6628924b75', 'bf1880a1-144a-40e9-b872-3e2c8c3cbe7d']","[21.7, 27.4]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,,,,,,,,,,,,"[21.7, 27.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690.665,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.913163870376942
bf1880a1-144a-40e9-b872-3e2c8c3cbe7d,1923,1,00:44:50.825,44,50,90,1.1775,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['60dfb63d-0dbe-4edd-88b5-143d91b9ba1d'],"[21.7, 27.4]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,6669.0,David Zurutuza Veillet,16.985289,-0.18353963,1.0,Ground Pass,"[38.4, 24.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690.825,0.15999999999985448,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9768204283478201
