id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,out,counterpress,duel_outcome_id,duel_outcome_name,dribble_nutmeg,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,foul_won_defensive,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_outswinging,shot_first_time,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,block_deflection,pass_deflected,foul_committed_card_id,foul_committed_card_name,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_overrun,clearance_left_foot,shot_follows_dribble,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_offensive,dribble_no_touch,shot_one_on_one,pass_cut_back,pass_inswinging,50_50_outcome_id,50_50_outcome_name,injury_stoppage_in_chain,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
d086cf92-12d2-4c18-8dc8-fba2e58f5b3c,3159,2,00:33:56.625,78,56,165,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['8c3a4d37-4d21-462f-9e37-14c946372f0c'],"[65.9, 8.8]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036.625,1.1199999999998909,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4919133939652349
26c68e7a-2a02-4ec1-804c-ce6a50ffe08e,3160,2,00:33:56.625,78,56,165,1.61426,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['d086cf92-12d2-4c18-8dc8-fba2e58f5b3c', 'ed5eb179-2c30-4347-842e-06e7dec51f22']","[65.9, 8.8]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,"[62.7, 9.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036.625,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8749069322043563
ed5eb179-2c30-4347-842e-06e7dec51f22,3161,2,00:33:58.239,78,58,165,1.35539,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['d547e268-a619-4a88-a2db-d076bca72089'],"[62.7, 9.1]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,27335.0,Arthur Etienne Boka,11.573245,-2.923861,1.0,Ground Pass,"[51.4, 6.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.239,1.6140000000000327,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3738332404176845
d547e268-a619-4a88-a2db-d076bca72089,3162,2,00:33:59.595,78,59,165,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['ed5eb179-2c30-4347-842e-06e7dec51f22'],"[51.4, 6.6]",27335.0,Arthur Etienne Boka,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039.595,1.3559999999999945,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6100097115287957
1036ea0b-b3d1-447e-a39f-bed412ef3053,3163,2,00:33:59.595,78,59,165,0.895539,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['90d9b042-65ab-4fef-8e95-b14eb9046661', 'd547e268-a619-4a88-a2db-d076bca72089']","[51.4, 6.6]",27335.0,Arthur Etienne Boka,6.0,Left Back,,,,,,,,,,,,"[53.1, 5.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039.595,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3843377623821783
90d9b042-65ab-4fef-8e95-b14eb9046661,3164,2,00:34:00.490,79,0,165,1.263422,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['ba5aa27d-3d64-4b7e-b55d-9b415501883a'],"[53.1, 5.6]",27335.0,Arthur Etienne Boka,6.0,Left Back,10868.0,Ricardo Jorge Luz Horta,16.072336,-0.2902649,2.0,Low Pass,"[68.5, 1.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.49,0.8949999999999818,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.007356789105412265
ba5aa27d-3d64-4b7e-b55d-9b415501883a,3165,2,00:34:01.754,79,1,165,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['90d9b042-65ab-4fef-8e95-b14eb9046661'],"[68.5, 1.0]",10868.0,Ricardo Jorge Luz Horta,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.754,1.2639999999998963,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.43282204079998354
0f8919fd-9346-4fcb-b8f2-058f94f3a8eb,3166,2,00:34:01.754,79,1,165,4.08268,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['3e157019-4789-4f8e-bfdc-8ec1e5c149b6', 'ba5aa27d-3d64-4b7e-b55d-9b415501883a', 'cb05d99a-1077-4049-82c3-2fba3ee57a4c']","[68.5, 1.0]",10868.0,Ricardo Jorge Luz Horta,16.0,Left Midfield,,,,,,,,,,,,"[63.5, 10.4]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.754,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30082004788739025
3e157019-4789-4f8e-bfdc-8ec1e5c149b6,3167,2,00:34:03.598,79,3,165,1.128835,17,Pressure,223,Málaga,1,Regular Play,216,Getafe,,,['0f8919fd-9346-4fcb-b8f2-058f94f3a8eb'],"[50.8, 74.5]",6856.0,Carlos Martín Vigaray,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043.598,1.844000000000051,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2729348441034941
cb05d99a-1077-4049-82c3-2fba3ee57a4c,3168,2,00:34:05.836,79,5,165,0.729798,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['ca1b3e27-4995-43bb-ab8a-6f0433629dac'],"[63.5, 10.4]",10868.0,Ricardo Jorge Luz Horta,16.0,Left Midfield,8234.0,Ignacio Camacho Barnola,12.108262,2.4087775,1.0,Ground Pass,"[54.5, 18.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045.836,2.2380000000000564,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.22437392555367353
