id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_assisted_shot_id,pass_goal_assist,pass_technique_id,pass_technique_name,pass_through_ball,counterpress,dribble_outcome_id,dribble_outcome_name,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,dribble_overrun,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,goalkeeper_punched_out,out,miscontrol_aerial_won,clearance_right_foot,foul_won_defensive,pass_shot_assist,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,foul_committed_card_id,foul_committed_card_name,block_offensive,goalkeeper_end_location,clearance_left_foot,foul_committed_penalty,foul_won_penalty,block_deflection,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging,clearance_aerial_won,shot_open_goal,pass_deflected,dribble_nutmeg,pass_cut_back,shot_aerial_won,ball_recovery_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
97495827-5d9e-4923-a874-36ec041c672c,1490,1,00:42:00.829,42,0,104,1.362414,43,Carry,215,Athletic Club,2,From Corner,360,Rayo Vallecano,,,"['5d13ce39-b24f-4d6f-8d5a-882273751c3e', 'c921a06f-43a5-4649-9db3-b0f02ae93981', 'f7787255-1e20-4248-b366-da101ec38603']",,"[67.1, 27.7]",11298.0,José Ignacio Martínez García,6.0,Left Back,,,,,,,,,,,,"[68.5, 23.7]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520.829,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5210224945261581
5d13ce39-b24f-4d6f-8d5a-882273751c3e,1491,1,00:42:01.584,42,1,104,0.680748,17,Pressure,215,Athletic Club,2,From Corner,215,Athletic Club,,,"['97495827-5d9e-4923-a874-36ec041c672c', 'f7787255-1e20-4248-b366-da101ec38603']",,"[53.5, 55.5]",4353.0,Aymeric Laporte,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521.584,0.7549999999996544,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5513325757902042
f7787255-1e20-4248-b366-da101ec38603,1492,1,00:42:02.192,42,2,104,3.352751,16,Shot,215,Athletic Club,2,From Corner,360,Rayo Vallecano,,,"['4c7110b6-e53e-4a82-a5e8-bc6a295a0b6d', '5d13ce39-b24f-4d6f-8d5a-882273751c3e']",,"[68.5, 23.7]",11298.0,José Ignacio Martínez García,6.0,Left Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,0.0044935374,"[120.0, 31.4, 1.4]",,38.0,Left Foot,87.0,Open Play,98.0,Off T,92.0,Lob,"[{'location': [58.3, 50.0], 'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [57.7, 29.9], 'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [74.3, 67.1], 'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [54.1, 48.6], 'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [52.4, 45.6], 'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [52.0, 37.3], 'player': {'id': 27144, 'name': 'Antonio Amaya Carazo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [55.2, 31.3], 'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [66.4, 29.7], 'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [84.4, 19.2], 'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [81.3, 29.2], 'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [77.0, 27.0], 'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [70.6, 24.2], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [68.4, 43.6], 'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [63.3, 35.8], 'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [37.6, 45.8], 'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [51.6, 39.3], 'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [64.7, 44.6], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [92.2, 25.2], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.6, 43.4], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 33.5], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2522.192,0.6080000000001746,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.15394614366799264
4c7110b6-e53e-4a82-a5e8-bc6a295a0b6d,1493,1,00:42:05.544,42,5,104,0.0,23,Goal Keeper,215,Athletic Club,2,From Corner,215,Athletic Club,,,['f7787255-1e20-4248-b366-da101ec38603'],,"[16.8, 46.6]",6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,Moving,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,,"[16.8, 46.6]",,,,,,,,,,,,,,,,,,2525.544,3.3519999999998618,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6115632867824593
f547ee44-e785-4d56-8064-a9da4dfdd66d,1494,1,00:42:29.548,42,29,105,3.057851,30,Pass,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,['5b2bc25c-d576-450f-889c-15ef6eb0d3d1'],,"[6.0, 44.0]",6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,6394.0,Aritz Aduriz Zubeldia,65.5306,0.11470169,3.0,High Pass,"[71.1, 51.5]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.548,24.003999999999905,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7376437382114639
5b2bc25c-d576-450f-889c-15ef6eb0d3d1,1495,1,00:42:32.606,42,32,105,,42,Ball Receipt*,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,['f547ee44-e785-4d56-8064-a9da4dfdd66d'],,"[71.1, 51.5]",6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552.606,3.0580000000004475,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8213382671437858
3b1e5e17-2a9c-4977-bda9-b71e6b437a13,1496,1,00:42:32.646,42,32,105,0.0,4,Duel,215,Athletic Club,7,From Goal Kick,360,Rayo Vallecano,,,['e20b5eb4-e043-4edf-b413-6e32a99c505c'],,"[48.3, 28.6]",27144.0,Antonio Amaya Carazo,5.0,Left Center Back,,,,,,,,,,,,,,,,,True,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552.646,0.03999999999996362,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3170972297449146
e20b5eb4-e043-4edf-b413-6e32a99c505c,1497,1,00:42:32.646,42,32,105,1.479102,30,Pass,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,"['1467e7f4-ee86-4743-b54f-fdda9f9a80b0', '3b1e5e17-2a9c-4977-bda9-b71e6b437a13']",,"[71.8, 51.5]",6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,13.572398,0.2914568,3.0,High Pass,"[84.8, 55.4]",,,,,,9.0,Incomplete,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552.646,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2269571813648651
1467e7f4-ee86-4743-b54f-fdda9f9a80b0,1498,1,00:42:34.125,42,34,106,1.385436,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['5d860fa2-16b1-4f76-b9f7-e2e1fccd223f', 'e20b5eb4-e043-4edf-b413-6e32a99c505c']",,"[35.3, 24.7]",11298.0,José Ignacio Martínez García,6.0,Left Back,26848.0,Roberto Trashorras Gayoso,19.90628,0.025120342,3.0,High Pass,"[55.2, 25.2]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554.125,1.4789999999998145,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7985094016583304
5d860fa2-16b1-4f76-b9f7-e2e1fccd223f,1499,1,00:42:35.511,42,35,106,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['1467e7f4-ee86-4743-b54f-fdda9f9a80b0'],,"[55.2, 25.2]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555.511,1.3859999999999673,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7790916965645419
6457ea3a-f7ab-4189-9794-f39fb10c64a8,1500,1,00:42:35.593,42,35,106,1.089429,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['0a73f9d0-030c-459b-b16f-0a5e2ef5cc69'],,"[55.2, 24.6]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,11539.0,Adrián Embarba Blázquez,11.340635,-2.224879,2.0,Low Pass,"[48.3, 15.6]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555.593,0.08199999999987995,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7348077624325123
0a73f9d0-030c-459b-b16f-0a5e2ef5cc69,1501,1,00:42:36.683,42,36,106,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['6457ea3a-f7ab-4189-9794-f39fb10c64a8'],,"[48.3, 15.6]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556.683,1.0900000000001455,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.48836149619518143
2e401aeb-4452-410e-a48c-a1659b4ac210,1502,1,00:42:36.683,42,36,106,0.634169,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['0a73f9d0-030c-459b-b16f-0a5e2ef5cc69', '8d25842a-2f67-4451-ad2e-0a8b1093cea1']",,"[48.3, 15.6]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,,,,,,,,,,,,"[52.0, 18.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556.683,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.48503882879032045
8d25842a-2f67-4451-ad2e-0a8b1093cea1,1503,1,00:42:37.317,42,37,106,0.994973,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['0a9dd533-f339-4c95-9c0c-c1394e370ee9', 'f4d6e69d-67fd-4793-a075-e2f85a813edc']",,"[52.0, 18.7]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,6852.0,Jozabed Sánchez Ruiz,14.179563,0.10598436,1.0,Ground Pass,"[66.1, 20.2]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2557.317,0.6340000000000146,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5923878365308624
0a9dd533-f339-4c95-9c0c-c1394e370ee9,1504,1,00:42:38.312,42,38,106,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['8d25842a-2f67-4451-ad2e-0a8b1093cea1'],,"[65.1, 19.3]",6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2558.312,0.9949999999998909,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5569859097104675
