id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,off_camera,out,pass_switch,ball_recovery_recovery_failure,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_aerial_won,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,dribble_overrun,interception_outcome_id,interception_outcome_name,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,shot_one_on_one,shot_aerial_won,clearance_aerial_won,duel_outcome_id,duel_outcome_name,clearance_left_foot,miscontrol_aerial_won,shot_deflected,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_cut_back,pass_no_touch,pass_technique_id,pass_technique_name,pass_inswinging,pass_outswinging,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,block_offensive,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
dc826d02-592a-4b97-945b-2c65d15aac61,343,1,00:10:41.231,10,41,29,0.0,4,Duel,1041,Sporting Gijón,4,From Throw In,221,Levante UD,,,['9156e5fe-e3f8-4ca6-a1ad-f561953d9379'],"[66.1, 45.9]",24149.0,José Antonio García Rabasco,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.231,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6318632726739648
06260f08-004c-4eec-8018-6dff15520428,344,1,00:10:43.109,10,43,30,1.099639,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,"['2b8eac51-9a53-4e87-a419-8aa9c031e4ba', '9156e5fe-e3f8-4ca6-a1ad-f561953d9379']","[54.4, 51.3]",27656.0,Carl Medjani,3.0,Right Center Back,26211.0,Joan Verdú Fernández,16.454178,0.86282927,3.0,High Pass,"[65.1, 63.8]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.109,1.8780000000000427,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9200374623154667
2b8eac51-9a53-4e87-a419-8aa9c031e4ba,345,1,00:10:44.208,10,44,30,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['06260f08-004c-4eec-8018-6dff15520428'],"[65.1, 63.8]",26211.0,Joan Verdú Fernández,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.208,1.0989999999999327,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.738601324100571
2775c612-1e24-4625-a498-6b7b9ce3f8da,346,1,00:10:44.208,10,44,30,0.63337,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['2b8eac51-9a53-4e87-a419-8aa9c031e4ba', '9adf53f9-95b3-4c9e-8498-daf76541a787']","[65.1, 63.8]",26211.0,Joan Verdú Fernández,12.0,Right Midfield,,,,,,,,,,,,,"[65.1, 64.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.208,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5827436868435852
9adf53f9-95b3-4c9e-8498-daf76541a787,347,1,00:10:44.842,10,44,30,1.164349,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['b9e0e395-faeb-4f5b-95e2-72b18564a0a5'],"[65.1, 64.0]",26211.0,Joan Verdú Fernández,12.0,Right Midfield,5678.0,Jefferson Andrés Lerma Solís,11.501739,3.1242032,1.0,Ground Pass,"[53.6, 64.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.842,0.6340000000000146,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7220989251000246
b9e0e395-faeb-4f5b-95e2-72b18564a0a5,348,1,00:10:46.006,10,46,30,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['9adf53f9-95b3-4c9e-8498-daf76541a787'],"[53.6, 64.2]",5678.0,Jefferson Andrés Lerma Solís,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.006,1.1639999999999873,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8233445212328417
2a9b2fef-d8e8-4e89-923d-57fb6e0578ff,349,1,00:10:46.006,10,46,30,0.04,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['b9e0e395-faeb-4f5b-95e2-72b18564a0a5', 'c5d2459b-1b39-4bf0-b422-85be5ecb6bd7']","[53.6, 64.2]",5678.0,Jefferson Andrés Lerma Solís,2.0,Right Back,,,,,,,,,,,,,"[53.6, 64.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.006,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6409552078746638
c5d2459b-1b39-4bf0-b422-85be5ecb6bd7,350,1,00:10:46.046,10,46,30,1.978683,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['667697c4-0988-409a-b26c-e0a7eb825f15'],"[53.6, 64.2]",5678.0,Jefferson Andrés Lerma Solís,2.0,Right Back,25134.0,Deyverson Brum Silva Acosta,34.990284,0.18394345,3.0,High Pass,"[88.0, 70.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.046,0.04000000000007731,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.72990613946434
9a2f1db6-f1f7-4f54-9e9e-e9cdafa9f139,351,1,00:10:47.902,10,47,30,1.634311,17,Pressure,221,Levante UD,1,Regular Play,1041,Sporting Gijón,,,"['2fedeefa-15d7-49ea-af7b-9c6c96c4d81c', '667697c4-0988-409a-b26c-e0a7eb825f15']","[31.3, 12.1]",16332.0,Ognjen Vranješ,5.0,Left Center Back,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.902,1.8559999999999945,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6631545756323648
667697c4-0988-409a-b26c-e0a7eb825f15,352,1,00:10:48.025,10,48,30,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,"['9a2f1db6-f1f7-4f54-9e9e-e9cdafa9f139', 'c5d2459b-1b39-4bf0-b422-85be5ecb6bd7']","[88.0, 70.6]",25134.0,Deyverson Brum Silva Acosta,22.0,Right Center Forward,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.025,0.1229999999999336,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08448207125676777
