id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_switch,miscontrol_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_outcome_id,dribble_outcome_name,out,pass_technique_id,pass_technique_name,pass_outswinging,pass_assisted_shot_id,pass_goal_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,pass_cross,clearance_aerial_won,pass_deflected,pass_straight,interception_outcome_id,interception_outcome_name,pass_no_touch,block_deflection,foul_won_defensive,pass_through_ball,50_50_outcome_id,50_50_outcome_name,clearance_left_foot,pass_shot_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,goalkeeper_end_location,shot_first_time,foul_committed_card_id,foul_committed_card_name,clearance_other,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,injury_stoppage_in_chain,pass_cut_back,dribble_nutmeg,shot_open_goal,dribble_overrun,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f8b9f2de-a9c0-4aea-89d2-012ea6ce4552,2860,2,00:28:19.232,73,19,161,0.911641,30,Pass,209,Celta Vigo,2,From Corner,209,Celta Vigo,,,['be6cff9a-769a-44b0-ad18-ae4a047b0f6b'],,"[98.0, 24.1]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,6724.0,Manuel Agudo Durán,12.660568,-1.3315648,1.0,Ground Pass,"[101.0, 11.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.232,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5693941194920382
be6cff9a-769a-44b0-ad18-ae4a047b0f6b,2861,2,00:28:20.144,73,20,161,,42,Ball Receipt*,209,Celta Vigo,2,From Corner,209,Celta Vigo,,,['f8b9f2de-a9c0-4aea-89d2-012ea6ce4552'],,"[101.0, 11.8]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.144,0.9120000000000346,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5392322291877467
cda9ea0f-efba-4f32-9abe-faed1591fe55,2862,2,00:28:20.144,73,20,161,1.14124,43,Carry,209,Celta Vigo,2,From Corner,209,Celta Vigo,,,"['1bbba1fc-59d4-4d61-b74b-64ab63b5cb71', 'be6cff9a-769a-44b0-ad18-ae4a047b0f6b']",,"[101.0, 11.8]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,"[100.4, 12.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.144,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5016788420976807
1bbba1fc-59d4-4d61-b74b-64ab63b5cb71,2863,2,00:28:21.285,73,21,161,1.739831,30,Pass,209,Celta Vigo,2,From Corner,209,Celta Vigo,,,"['3695c375-3bc9-4c74-a5d0-3e4cac0d3c49', 'a0a99f08-6a28-4f05-9dc0-d1df65d1f8a9']",,"[100.4, 12.3]",6724.0,Manuel Agudo Durán,21.0,Left Wing,23785.0,Théo Bongonda Mbul''Ofeko Batombo,33.185085,1.1813366,3.0,High Pass,"[113.0, 43.0]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701.285,1.1410000000000764,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.35372123393981736
3695c375-3bc9-4c74-a5d0-3e4cac0d3c49,2864,2,00:28:23.025,73,23,161,,42,Ball Receipt*,209,Celta Vigo,2,From Corner,209,Celta Vigo,,,['1bbba1fc-59d4-4d61-b74b-64ab63b5cb71'],,"[111.4, 42.5]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,17.0,Right Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703.025,1.740000000000009,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.29508262310022904
a0a99f08-6a28-4f05-9dc0-d1df65d1f8a9,2865,2,00:28:23.025,73,23,161,0.0,9,Clearance,209,Celta Vigo,2,From Corner,322,Eibar,,,['1bbba1fc-59d4-4d61-b74b-64ab63b5cb71'],,"[7.1, 37.1]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,70.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,1703.025,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.704859142393534
eb381937-91b5-40db-a47d-388d520f50d1,2866,2,00:28:23.844,73,23,162,0.0,2,Ball Recovery,322,Eibar,1,Regular Play,322,Eibar,,,,,"[8.1, 44.1]",6837.0,Mauro Javier Dos Santos,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703.844,0.81899999999996,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8851121251286368
a621c015-d44c-4087-bf9d-b64830fc3bf7,2867,2,00:28:23.844,73,23,162,0.908641,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['3ccb598b-07bd-410e-bcdc-369143e03c38', 'eaf13dbc-81e2-46a1-812d-0d6885c87700', 'eb381937-91b5-40db-a47d-388d520f50d1']",,"[8.1, 44.1]",6837.0,Mauro Javier Dos Santos,3.0,Right Center Back,,,,,,,,,,,,"[7.7, 45.0]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703.844,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9132445974271785
3ccb598b-07bd-410e-bcdc-369143e03c38,2868,2,00:28:24.112,73,24,162,0.457177,17,Pressure,322,Eibar,1,Regular Play,209,Celta Vigo,,,['a621c015-d44c-4087-bf9d-b64830fc3bf7'],,"[111.6, 37.0]",19668.0,Augusto Matías Fernández,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.112,0.2680000000000291,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9483488401462848
565e5d49-a7eb-4224-a85b-a61f68cb6522,2869,2,00:28:24.753,73,24,162,0.0,22,Foul Committed,322,Eibar,1,Regular Play,209,Celta Vigo,,,['eaf13dbc-81e2-46a1-812d-0d6885c87700'],,"[112.4, 35.1]",19668.0,Augusto Matías Fernández,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.753,0.640999999999849,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4072717176594528
eaf13dbc-81e2-46a1-812d-0d6885c87700,2870,2,00:28:24.753,73,24,162,0.0,21,Foul Won,322,Eibar,1,Regular Play,322,Eibar,,,['565e5d49-a7eb-4224-a85b-a61f68cb6522'],,"[7.7, 45.0]",6837.0,Mauro Javier Dos Santos,3.0,Right Center Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.753,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04669817586595226
