id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,under_pressure,ball_recovery_recovery_failure,pass_inswinging,pass_technique_id,pass_technique_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,pass_through_ball,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,pass_cross,pass_switch,pass_outswinging,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot,foul_committed_offensive,shot_one_on_one,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_success_in_play,dribble_overrun,pass_deflected,foul_committed_card_id,foul_committed_card_name,ball_recovery_offensive,clearance_left_foot,pass_no_touch,pass_miscommunication,pass_cut_back,block_deflection,goalkeeper_punched_out,block_offensive,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,clearance_other,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
3b6a17e9-7b66-4d80-9331-1c494257f2d1,2829,2,00:19:03.810,64,3,139,0.804245,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['2cca6a81-caa0-4045-8dcc-8e1ffab82695', '909fccd1-6dc3-409d-a5dc-e1d523fe651a', 'bd6abc79-dedc-4f75-ad18-3376ea28da4a']","[90.8, 54.1]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,"[91.0, 54.1]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.81,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9638726365791394
2cca6a81-caa0-4045-8dcc-8e1ffab82695,2830,2,00:19:03.949,64,3,139,1.356021,17,Pressure,218,Real Betis,4,From Throw In,222,Villarreal,,,"['3b6a17e9-7b66-4d80-9331-1c494257f2d1', '909fccd1-6dc3-409d-a5dc-e1d523fe651a']","[29.3, 27.5]",7034.0,Mateo Pablo Musacchio,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.949,0.1390000000001237,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.48767028409822355
909fccd1-6dc3-409d-a5dc-e1d523fe651a,2831,2,00:19:04.614,64,4,139,0.0,3,Dispossessed,218,Real Betis,4,From Throw In,218,Real Betis,,,"['2cca6a81-caa0-4045-8dcc-8e1ffab82695', 'ff0844ef-ff54-475a-8eeb-f7c22375010b']","[91.0, 54.1]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.614,0.6649999999999636,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.971902647662635
ff0844ef-ff54-475a-8eeb-f7c22375010b,2832,2,00:19:04.614,64,4,139,0.0,4,Duel,218,Real Betis,4,From Throw In,222,Villarreal,,,['909fccd1-6dc3-409d-a5dc-e1d523fe651a'],"[29.1, 26.0]",7034.0,Mateo Pablo Musacchio,3.0,Right Center Back,,,,,,,,,,,,,,,,,,True,,,,,11.0,Tackle,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.614,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7401847226526073
7ee7fd05-5f5f-4ee6-9db6-21b49676d401,2833,2,00:19:05.599,64,5,139,1.685072,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['2b181b28-7d7b-4137-a371-eb477e1263a5'],"[92.7, 56.8]",6832.0,Rubén Castro Martín,23.0,Center Forward,186264.0,Foued Kadir,16.380781,0.6337334,1.0,Ground Pass,"[105.9, 66.5]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145.599,0.9849999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.3407244930365706
89356900-0490-4858-92d9-164f9d5e4b6c,2834,2,00:19:07.167,64,7,139,0.8618,17,Pressure,218,Real Betis,4,From Throw In,222,Villarreal,,,"['09368d58-ae3f-469a-867c-3e4687207dfc', '188a3119-609a-4989-afdb-0e107c2adca5', '2b181b28-7d7b-4137-a371-eb477e1263a5']","[12.9, 18.8]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.167,1.5679999999999836,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.8180392222647441
2b181b28-7d7b-4137-a371-eb477e1263a5,2835,2,00:19:07.284,64,7,139,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,"['7ee7fd05-5f5f-4ee6-9db6-21b49676d401', '89356900-0490-4858-92d9-164f9d5e4b6c']","[105.9, 66.5]",186264.0,Foued Kadir,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.284,0.11700000000018917,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5953049603224303
188a3119-609a-4989-afdb-0e107c2adca5,2836,2,00:19:07.284,64,7,139,0.553849,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['09368d58-ae3f-469a-867c-3e4687207dfc', '2b181b28-7d7b-4137-a371-eb477e1263a5', '89356900-0490-4858-92d9-164f9d5e4b6c']","[105.9, 66.5]",186264.0,Foued Kadir,17.0,Right Wing,,,,,,,,,,,,"[112.6, 64.1]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.284,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3374297392807548
09368d58-ae3f-469a-867c-3e4687207dfc,2837,2,00:19:07.838,64,7,139,0.0,3,Dispossessed,218,Real Betis,4,From Throw In,218,Real Betis,,,"['1ee84627-c49d-4f19-9915-c966da7c5625', '89356900-0490-4858-92d9-164f9d5e4b6c']","[112.6, 64.1]",186264.0,Foued Kadir,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.838,0.5539999999998599,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4370074717936261
1ee84627-c49d-4f19-9915-c966da7c5625,2838,2,00:19:07.838,64,7,139,0.0,4,Duel,218,Real Betis,4,From Throw In,222,Villarreal,,,['09368d58-ae3f-469a-867c-3e4687207dfc'],"[7.5, 16.0]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,True,,,,,11.0,Tackle,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.838,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4087804710579783
4deab1ab-8e50-4a9a-b029-4355291b5cde,2839,2,00:19:23.783,64,23,140,0.254314,30,Pass,218,Real Betis,2,From Corner,218,Real Betis,,,['6ef25f07-8ea0-4853-9639-71f9deabb696'],"[120.0, 80.0]",186264.0,Foued Kadir,17.0,Right Wing,11634.0,Cristiano Piccini,13.631214,-2.836082,1.0,Ground Pass,"[107.0, 75.9]",40.0,Right Foot,61.0,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.783,15.944999999999936,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.450768775483409
6ef25f07-8ea0-4853-9639-71f9deabb696,2840,2,00:19:24.037,64,24,140,,42,Ball Receipt*,218,Real Betis,2,From Corner,218,Real Betis,,,['4deab1ab-8e50-4a9a-b029-4355291b5cde'],"[107.0, 75.9]",11634.0,Cristiano Piccini,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.037,0.2540000000001328,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6053775491619311
7d5803ad-40be-4ffd-882d-7f1618c860b8,2841,2,00:19:24.655,64,24,140,0.57122,30,Pass,218,Real Betis,2,From Corner,218,Real Betis,,,"['9252c50b-d1ac-4651-93d1-d3c0e2b53cbc', 'd057c614-d040-4457-b12d-8dc20ae0f937']","[101.4, 74.2]",11634.0,Cristiano Piccini,2.0,Right Back,5671.0,Alfred John Momar N''Diaye,31.607752,-1.3442346,3.0,High Pass,"[108.5, 43.4]",38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.655,0.6179999999999382,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8675181894296204
d057c614-d040-4457-b12d-8dc20ae0f937,2842,2,00:19:25.226,64,25,140,,42,Ball Receipt*,218,Real Betis,2,From Corner,218,Real Betis,,,['7d5803ad-40be-4ffd-882d-7f1618c860b8'],"[107.2, 42.7]",5671.0,Alfred John Momar N''Diaye,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165.226,0.5710000000001401,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.840943356546385
9103a2bd-ca6d-4a1e-9783-b594fc4f0995,2843,2,00:19:25.226,64,25,140,0.0,4,Duel,218,Real Betis,2,From Corner,218,Real Betis,,,['9252c50b-d1ac-4651-93d1-d3c0e2b53cbc'],"[108.5, 43.4]",5671.0,Alfred John Momar N''Diaye,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,True,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165.226,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5417601962802933
9252c50b-d1ac-4651-93d1-d3c0e2b53cbc,2844,2,00:19:25.226,64,25,140,0.0,9,Clearance,218,Real Betis,2,From Corner,222,Villarreal,,,"['7d5803ad-40be-4ffd-882d-7f1618c860b8', '9103a2bd-ca6d-4a1e-9783-b594fc4f0995']","[11.6, 36.7]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,37.0,Head,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165.226,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7140255524869296
