id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,miscontrol_aerial_won,counterpress,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_no_touch,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,out,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,pass_miscommunication,off_camera,foul_committed_card_id,foul_committed_card_name,pass_outswinging,shot_aerial_won,shot_saved_off_target,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_shot_saved_off_target,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery_recovery_failure,foul_won_defensive,dribble_nutmeg,dribble_overrun,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,pass_cut_back,foul_committed_penalty,foul_won_penalty,pass_deflected,block_deflection,ball_recovery_offensive,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,block_save_block,shot_open_goal,shot_redirect,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
07f6b15c-555e-40ae-830f-49f0766ddd29,878,1,00:20:12.511,20,12,47,0.0,6,Block,217,Barcelona,1,Regular Play,209,Celta Vigo,,,['8a6435cd-28c0-4970-8d59-d59cd5cdb136'],"[93.0, 3.6]",6038.0,John Guidetti,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.511,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3659317300081102
77f1b5ab-410d-4e64-8459-b209fdb85d55,879,1,00:20:24.335,20,24,48,2.507568,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['a67aa72c-4f55-4d1d-85f1-4334dd221320'],"[30.5, 80.0]",4324.0,Daniel Alves da Silva,2.0,Right Back,5246.0,Luis Alberto Suárez Díaz,27.365124,-0.78798217,2.0,Low Pass,"[49.8, 60.6]",,,67.0,Throw-in,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.335,11.82400000000007,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8711151408495972
9b94fe0d-6497-4c5c-904a-8daeb8f905bc,880,1,00:20:26.129,20,26,48,0.782951,17,Pressure,217,Barcelona,4,From Throw In,209,Celta Vigo,,,['a67aa72c-4f55-4d1d-85f1-4334dd221320'],"[69.9, 18.5]",6802.0,Jonathan Castro Otto,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.129,1.793999999999869,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8324797263446515
a67aa72c-4f55-4d1d-85f1-4334dd221320,881,1,00:20:26.843,20,26,48,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,"['77f1b5ab-410d-4e64-8459-b209fdb85d55', '9b94fe0d-6497-4c5c-904a-8daeb8f905bc']","[50.8, 61.9]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.843,0.7140000000001692,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8526548947041803
67487321-f1fa-4067-b274-e7010f0722fb,882,1,00:20:27.220,20,27,48,0.0,22,Foul Committed,217,Barcelona,4,From Throw In,209,Celta Vigo,,,['e9a77334-1217-4117-976c-5bad1b9dc553'],"[71.1, 21.8]",6802.0,Jonathan Castro Otto,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227.22,0.3769999999999527,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45466660851055596
e9a77334-1217-4117-976c-5bad1b9dc553,883,1,00:20:27.220,20,27,48,0.0,21,Foul Won,217,Barcelona,4,From Throw In,217,Barcelona,,,['67487321-f1fa-4067-b274-e7010f0722fb'],"[49.0, 58.3]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,1227.22,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5550180693474712
91b32770-5964-49c7-aeca-cee7ff8ebd52,884,1,00:20:30.396,20,30,49,1.1793,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['3327dec7-8c55-4bd1-b686-32f74b4c716d'],"[48.4, 57.4]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,5503.0,Lionel Andrés Messi Cuccittini,15.363918,-0.83604604,1.0,Ground Pass,"[58.7, 46.0]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.396,3.175999999999931,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9859182731920766
5db2d6ed-5b74-4023-920c-e3a42500c59d,885,1,00:20:30.914,20,30,49,1.588659,17,Pressure,217,Barcelona,3,From Free Kick,209,Celta Vigo,,,"['2dadfd9f-12be-40cf-b8c6-28c633105743', '3327dec7-8c55-4bd1-b686-32f74b4c716d', 'aab2d959-bdd9-4bad-bf1f-bc0c76fceff2']","[56.8, 31.7]",6796.0,Nemanja Radoja,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.914,0.5180000000000291,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8360587401803923
3327dec7-8c55-4bd1-b686-32f74b4c716d,886,1,00:20:31.575,20,31,49,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['5db2d6ed-5b74-4023-920c-e3a42500c59d', '91b32770-5964-49c7-aeca-cee7ff8ebd52']","[58.7, 46.0]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231.575,0.6610000000000582,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.23517462156436064
aab2d959-bdd9-4bad-bf1f-bc0c76fceff2,887,1,00:20:31.575,20,31,49,0.1074,43,Carry,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['2dadfd9f-12be-40cf-b8c6-28c633105743', '3327dec7-8c55-4bd1-b686-32f74b4c716d', '5db2d6ed-5b74-4023-920c-e3a42500c59d']","[58.7, 46.0]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[61.0, 44.1]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231.575,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.547732771781672
