id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,counterpress,foul_won_defensive,off_camera,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,out,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,interception_outcome_id,interception_outcome_name,block_offensive,pass_switch,pass_aerial_won,ball_recovery_recovery_failure,pass_outswinging,pass_technique_id,pass_technique_name,shot_aerial_won,foul_committed_advantage,foul_won_advantage,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,clearance_head,shot_one_on_one,goalkeeper_punched_out,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,pass_inswinging,pass_cut_back,clearance_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,pass_deflected,block_deflection,pass_through_ball,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f7716e7d-774b-4688-986c-5025467ff979,2938,2,00:27:50.729,72,50,189,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['62b926ac-7ba0-4382-8b30-4aabe759bb20'],"[74.6, 2.4]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.729,1.07100000000014,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.47926258002597155
00a23a57-b2a7-4049-a42d-ef84c9fcda0b,2939,2,00:27:50.729,72,50,189,2.373477,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['5328efe2-aad3-4acb-9f00-d9d4137d8847', '5d862ab1-c654-4c24-af57-a5d378227891', 'f7716e7d-774b-4688-986c-5025467ff979']","[74.6, 2.4]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,"[87.6, 2.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.729,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.35580046813663824
5d862ab1-c654-4c24-af57-a5d378227891,2940,2,00:27:51.526,72,51,189,0.978069,17,Pressure,214,Espanyol,1,Regular Play,213,Sevilla,,,['00a23a57-b2a7-4049-a42d-ef84c9fcda0b'],"[38.3, 78.0]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1671.526,0.7970000000000255,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.27307495742744314
e420c065-6c65-446a-b2df-71d4b55fe62f,2941,2,00:27:52.761,72,52,189,0.261814,17,Pressure,214,Espanyol,1,Regular Play,213,Sevilla,,,,"[29.1, 77.6]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.761,1.2349999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.32174602640225103
5328efe2-aad3-4acb-9f00-d9d4137d8847,2942,2,00:27:53.103,72,53,189,0.0,3,Dispossessed,214,Espanyol,1,Regular Play,214,Espanyol,,,['30d453aa-2a9a-49fa-9e5d-c30e9f4e0e98'],"[87.6, 2.9]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.103,0.3420000000000982,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7679739461022688
30d453aa-2a9a-49fa-9e5d-c30e9f4e0e98,2943,2,00:27:53.103,72,53,189,0.0,4,Duel,214,Espanyol,1,Regular Play,213,Sevilla,,,['5328efe2-aad3-4acb-9f00-d9d4137d8847'],"[32.5, 77.2]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,,True,,,,,,,,,11.0,Tackle,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.103,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.660961618322106
91166bba-6897-4a89-a5de-ad46f89c084a,2944,2,00:27:58.678,72,58,190,2.157082,30,Pass,214,Espanyol,4,From Throw In,214,Espanyol,,,['34aad20d-bbdf-4507-9076-430ea3a976b0'],"[84.8, 0.1]",6612.0,Rubén Duarte Sánchez,6.0,Left Back,6701.0,Joan Jordán Moreno,12.5781555,2.0771227,2.0,Low Pass,"[78.7, 11.1]",,,67.0,Throw-in,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678.678,5.5750000000000455,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7627170220107121
34aad20d-bbdf-4507-9076-430ea3a976b0,2945,2,00:28:00.835,73,0,190,,42,Ball Receipt*,214,Espanyol,4,From Throw In,214,Espanyol,,,['91166bba-6897-4a89-a5de-ad46f89c084a'],"[78.7, 11.1]",6701.0,Joan Jordán Moreno,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.835,2.1569999999999254,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8227003142439581
69198869-b2dc-4beb-a3fe-5fcab83d929b,2946,2,00:28:00.835,73,0,190,1.103567,30,Pass,214,Espanyol,4,From Throw In,214,Espanyol,,,['7b7168d4-abf1-4e73-b9cd-305b9e2839f9'],"[75.4, 11.6]",6701.0,Joan Jordán Moreno,11.0,Left Defensive Midfield,6612.0,Rubén Duarte Sánchez,7.7620873,-1.1878976,1.0,Ground Pass,"[78.3, 4.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.835,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8580830076852125
7b7168d4-abf1-4e73-b9cd-305b9e2839f9,2947,2,00:28:01.938,73,1,190,,42,Ball Receipt*,214,Espanyol,4,From Throw In,214,Espanyol,,,['69198869-b2dc-4beb-a3fe-5fcab83d929b'],"[78.3, 4.4]",6612.0,Rubén Duarte Sánchez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681.938,1.1030000000000655,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20132457596070652
