id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_switch,foul_won_defensive,off_camera,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,out,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_aerial_won,dribble_overrun,clearance_aerial_won,clearance_head,pass_assisted_shot_id,pass_goal_assist,pass_outswinging,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_shot_assist,goalkeeper_end_location,pass_cross,shot_first_time,clearance_right_foot,bad_behaviour_card_id,bad_behaviour_card_name,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,pass_inswinging,block_offensive,pass_cut_back,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,goalkeeper_body_part_id,goalkeeper_body_part_name,miscontrol_aerial_won,shot_one_on_one,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
ae61fbc7-1b05-465d-827e-277642ac3dc2,380,1,00:12:42.935,12,42,29,,42,Ball Receipt*,214,Espanyol,3,From Free Kick,214,Espanyol,,,['24cf7228-ca5a-4b22-90c6-84b920f7df0e'],"[91.1, 67.0]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.935,3.411999999999921,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3026064436284751
c46ffa71-7662-403e-a6b5-d2ad288b592a,381,1,00:12:42.935,12,42,29,0.0,4,Duel,214,Espanyol,3,From Free Kick,214,Espanyol,,,['3eb1638f-41e3-4cab-8b43-740449955217'],"[91.3, 65.3]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.935,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.007556930288515562
3eb1638f-41e3-4cab-8b43-740449955217,382,1,00:12:42.935,12,42,30,0.790964,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,"['24cf7228-ca5a-4b22-90c6-84b920f7df0e', '5f1a7b0f-6e5e-4249-be44-1ae73eab7dfc', 'c46ffa71-7662-403e-a6b5-d2ad288b592a']","[28.8, 14.8]",26669.0,Weligton Róbson Pena de Oliveira,5.0,Left Center Back,6580.0,José Luis García del Pozo,5.375872,-0.32175055,2.0,Low Pass,"[33.9, 13.1]",,,66.0,Recovery,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.935,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7751502526564766
05ea3634-50cd-4c92-8b72-4c16e9beba5a,383,1,00:12:42.947,12,42,30,0.722193,17,Pressure,223,Málaga,1,Regular Play,214,Espanyol,,,,"[84.4, 66.6]",6758.0,Víctor Sánchez Mata,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.947,0.012000000000057298,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.1284670032558769
5f1a7b0f-6e5e-4249-be44-1ae73eab7dfc,384,1,00:12:43.726,12,43,30,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['3eb1638f-41e3-4cab-8b43-740449955217'],"[33.9, 13.1]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.726,0.7789999999999964,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26373853916131973
da119e16-ed32-4788-8664-f5fcf6d6150e,385,1,00:12:43.830,12,43,30,0.0,4,Duel,223,Málaga,1,Regular Play,214,Espanyol,,,['cf276f45-b1b6-40d3-9365-92a7fa9bc03d'],"[86.5, 68.0]",6758.0,Víctor Sánchez Mata,13.0,Right Center Midfield,,,,,,,,,,,,,True,,,,,,,True,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.83,0.10400000000004184,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.27774656100420914
cf276f45-b1b6-40d3-9365-92a7fa9bc03d,386,1,00:12:43.830,12,43,30,1.163149,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,"['0a3dadae-8111-4c67-b4c0-9b36df13cf7b', 'da119e16-ed32-4788-8664-f5fcf6d6150e']","[33.6, 12.1]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,6740.0,Gonzalo Castro Irizábal,7.6550636,-1.2242575,2.0,Low Pass,"[36.2, 4.9]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.83,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.953691843803839
17d286ff-1a08-4e23-b1c5-9ff4e2db54d9,387,1,00:12:44.902,12,44,30,0.722311,17,Pressure,223,Málaga,1,Regular Play,214,Espanyol,,,"['0a3dadae-8111-4c67-b4c0-9b36df13cf7b', '38f0c7b4-5941-4e66-81b8-8c953e9b738e']","[84.2, 73.9]",6791.0,Javier López Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.902,1.0720000000000027,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9551505010201752
7fb424f6-28e2-48be-bfd9-c5f84cdf3987,388,1,00:12:44.936,12,44,30,0.836722,17,Pressure,223,Málaga,1,Regular Play,214,Espanyol,,,"['0a3dadae-8111-4c67-b4c0-9b36df13cf7b', '38f0c7b4-5941-4e66-81b8-8c953e9b738e']","[83.2, 76.3]",6758.0,Víctor Sánchez Mata,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.936,0.033999999999991815,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6189036582344827
0a3dadae-8111-4c67-b4c0-9b36df13cf7b,389,1,00:12:44.994,12,44,30,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,"['17d286ff-1a08-4e23-b1c5-9ff4e2db54d9', '7fb424f6-28e2-48be-bfd9-c5f84cdf3987', 'cf276f45-b1b6-40d3-9365-92a7fa9bc03d']","[36.2, 4.9]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.994,0.057999999999992724,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6090542455450536
38f0c7b4-5941-4e66-81b8-8c953e9b738e,390,1,00:12:44.994,12,44,30,1.034485,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['0a3dadae-8111-4c67-b4c0-9b36df13cf7b', '17d286ff-1a08-4e23-b1c5-9ff4e2db54d9', '401dbb40-c83d-4075-bf56-3570eace5ac3', '7fb424f6-28e2-48be-bfd9-c5f84cdf3987']","[36.2, 4.9]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,"[36.9, 1.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.994,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25553398195332
401dbb40-c83d-4075-bf56-3570eace5ac3,391,1,00:12:46.028,12,46,30,0.0,38,Miscontrol,223,Málaga,1,Regular Play,223,Málaga,,,,"[36.9, 1.3]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.028,1.0339999999999918,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.21893367829562038
e2b43153-c21e-4abb-b3ab-372e9ac5a462,392,1,00:13:01.339,13,1,31,1.236046,30,Pass,214,Espanyol,4,From Throw In,214,Espanyol,,,['b310c488-373b-4088-9cd2-37ea9e098660'],"[71.7, 80.0]",6791.0,Javier López Rodríguez,2.0,Right Back,6766.0,Gerard Moreno Balaguero,10.420173,-0.46793944,2.0,Low Pass,"[81.0, 75.3]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.339,15.311000000000035,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5345934723964388
6ee9a15e-c8a4-4c6c-96aa-20a2c7c66765,393,1,00:13:02.157,13,2,31,1.3838,17,Pressure,214,Espanyol,4,From Throw In,223,Málaga,,,"['b310c488-373b-4088-9cd2-37ea9e098660', 'cfed2761-ebe3-4d8f-9cc4-4747f3c5dbf6', 'e6ab259e-df6c-4926-bbda-27220b400abf']","[35.3, 4.2]",6878.0,Miguel Torres Gómez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.157,0.8179999999999836,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.05868356119090112
b310c488-373b-4088-9cd2-37ea9e098660,394,1,00:13:02.575,13,2,31,,42,Ball Receipt*,214,Espanyol,4,From Throw In,214,Espanyol,,,"['6ee9a15e-c8a4-4c6c-96aa-20a2c7c66765', 'e2b43153-c21e-4abb-b3ab-372e9ac5a462']","[81.0, 75.3]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.575,0.41800000000000637,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0606004309049194
