id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_cross,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,block_offensive,ball_recovery_recovery_failure,duel_type_id,duel_type_name,pass_aerial_won,clearance_left_foot,off_camera,pass_switch,counterpress,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,miscontrol_aerial_won,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_key_pass_id,shot_aerial_won,goalkeeper_end_location,dribble_overrun,foul_won_defensive,shot_first_time,dribble_nutmeg,clearance_aerial_won,pass_outswinging,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,pass_cut_back,pass_straight,foul_committed_offensive,shot_open_goal,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_through_ball,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
65a13107-119c-45a7-8705-4122eba819f0,26,1,00:00:17.032,0,17,2,1.246619,30,Pass,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['1c979506-7399-432e-89ab-fbb0f7db15ec'],"[101.8, 34.8]",5487.0,Antoine Griezmann,24.0,Left Center Forward,6381.0,Saúl Ñíguez Esclapez,8.417244,1.4036945,2.0,Low Pass,"[103.2, 43.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.032,0.14000000000000057,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.16401306497929036
1c979506-7399-432e-89ab-fbb0f7db15ec,27,1,00:00:18.278,0,18,2,,42,Ball Receipt*,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['65a13107-119c-45a7-8705-4122eba819f0'],"[103.2, 43.1]",6381.0,Saúl Ñíguez Esclapez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.278,1.2459999999999987,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8592085391932374
6824b6d1-5e46-4d18-ba69-35aa88639086,28,1,00:00:18.278,0,18,2,0.106965,43,Carry,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,"['1c979506-7399-432e-89ab-fbb0f7db15ec', '4260f288-3e72-49b3-a96d-aa40b184134b']","[103.2, 43.1]",6381.0,Saúl Ñíguez Esclapez,12.0,Right Midfield,,,,,,,,,,,,"[101.2, 41.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.278,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3836568022675727
4260f288-3e72-49b3-a96d-aa40b184134b,29,1,00:00:18.385,0,18,2,0.0,38,Miscontrol,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,,"[101.2, 41.8]",6381.0,Saúl Ñíguez Esclapez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.385,0.10700000000000287,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.16111679273699198
84e5148c-d23d-4113-a1b8-19d0222de30b,30,1,00:00:19.307,0,19,2,0.0,9,Clearance,212,Atlético Madrid,9,From Kick Off,209,Celta Vigo,,,,"[13.1, 37.8]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,,True,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.307,0.921999999999997,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3633969975168069
3ffe3aab-67e0-4418-b37c-ac7ec963e108,31,1,00:00:24.374,0,24,3,0.731465,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['8bd2637b-cd03-44b4-95e4-980adf8cf202'],"[82.0, 80.0]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,6384.0,Gabriel Fernández Arenas,13.261222,-2.2278712,2.0,Low Pass,"[73.9, 69.5]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.374,5.067,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5711831690145533
8bd2637b-cd03-44b4-95e4-980adf8cf202,32,1,00:00:25.105,0,25,3,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['3ffe3aab-67e0-4418-b37c-ac7ec963e108'],"[73.9, 69.5]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.105,0.7310000000000016,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.75483823121879
cca2a519-2eb6-4d35-a16d-8c2bab4f0313,33,1,00:00:25.105,0,25,3,4.261726,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['0bfd5b3c-d482-4d62-a228-86484c084c25', '8af1d14c-2cef-47dd-bc2d-b815d329d7ba', '8bd2637b-cd03-44b4-95e4-980adf8cf202']","[73.9, 69.5]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,"[78.3, 77.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.105,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1610643492585585
8af1d14c-2cef-47dd-bc2d-b815d329d7ba,34,1,00:00:26.848,0,26,3,1.783165,17,Pressure,212,Atlético Madrid,4,From Throw In,209,Celta Vigo,,,['cca2a519-2eb6-4d35-a16d-8c2bab4f0313'],"[43.9, 11.8]",6801.0,Pedro Pablo Hernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.848,1.7429999999999986,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.840951591531907
0bfd5b3c-d482-4d62-a228-86484c084c25,35,1,00:00:29.367,0,29,3,1.064553,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['ce6769d9-fd44-46d8-b417-ccfdeaef848e', 'd78f1a23-c9bd-44d6-8249-24e1fda4f70a']","[78.3, 77.0]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,6381.0,Saúl Ñíguez Esclapez,17.213076,-0.15750794,3.0,High Pass,"[95.3, 74.3]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.367,2.519000000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1868015400907227
