id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,counterpress,pass_switch,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,50_50_outcome_id,50_50_outcome_name,pass_cross,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,out,miscontrol_aerial_won,clearance_aerial_won,clearance_head,interception_outcome_id,interception_outcome_name,dribble_overrun,foul_won_defensive,clearance_other,pass_through_ball,pass_technique_id,pass_technique_name,pass_inswinging,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_left_foot,pass_goal_assist,shot_open_goal,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_type_id,foul_committed_type_name,shot_aerial_won,shot_one_on_one,block_offensive,injury_stoppage_in_chain,ball_recovery_recovery_failure,pass_outswinging,pass_deflected,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_straight,pass_no_touch,ball_recovery_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
a5853347-fc38-4f34-a3cf-60ef6604d61a,501,1,00:10:40.613,10,40,22,0.0,6,Block,209,Celta Vigo,4,From Throw In,223,Málaga,,,['ad22dd7b-2da1-473a-821a-f5568062a04c'],,"[64.4, 78.5]",3084.0,Christian Atsu Twasam,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.613,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5282549475014627
0bb5f506-6a94-42b2-ad2e-73689be9083e,502,1,00:10:49.096,10,49,23,2.085367,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['6145ead4-5448-4ab3-ab9a-5c232d0b5922'],,"[62.0, 0.1]",7577.0,Carles Planas Antolínez,6.0,Left Back,6801.0,Pedro Pablo Hernández,28.25615,1.8578464,2.0,Low Pass,"[54.0, 27.2]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.096,8.482999999999947,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5456758428314715
6145ead4-5448-4ab3-ab9a-5c232d0b5922,503,1,00:10:51.181,10,51,23,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['0bb5f506-6a94-42b2-ad2e-73689be9083e'],,"[54.0, 27.2]",6801.0,Pedro Pablo Hernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.181,2.0850000000000364,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2949269420008849
41b991ce-7d56-4a48-b4da-b8394136173b,504,1,00:10:51.221,10,51,23,1.305831,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['95939c25-4c03-4d76-b164-43933697945f'],,"[54.0, 26.7]",6801.0,Pedro Pablo Hernández,19.0,Center Attacking Midfield,6805.0,Hugo Mallo Novegil,18.54562,2.401964,2.0,Low Pass,"[40.3, 39.2]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.221,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2089019909061397
65cd149c-c4cd-4548-a709-128b6be51c0f,505,1,00:10:51.929,10,51,23,0.760338,17,Pressure,209,Celta Vigo,4,From Throw In,223,Málaga,,,"['95939c25-4c03-4d76-b164-43933697945f', 'dd68f1ad-0aee-4698-aacf-43e5c9b745b2']",,"[75.6, 42.5]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.929,0.70799999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6117209495012847
95939c25-4c03-4d76-b164-43933697945f,506,1,00:10:52.527,10,52,23,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['41b991ce-7d56-4a48-b4da-b8394136173b', '65cd149c-c4cd-4548-a709-128b6be51c0f']",,"[40.3, 39.2]",6805.0,Hugo Mallo Novegil,3.0,Right Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.527,0.59800000000007,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06300216409002046
dd68f1ad-0aee-4698-aacf-43e5c9b745b2,507,1,00:10:52.527,10,52,23,2.350129,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['65cd149c-c4cd-4548-a709-128b6be51c0f'],,"[41.7, 39.2]",6805.0,Hugo Mallo Novegil,3.0,Right Center Back,,,51.946606,-0.8521474,3.0,High Pass,"[75.9, 0.1]",40.0,Right Foot,,,,True,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.527,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6269162616371933
eb32a4a6-3301-4907-847f-631f05334c9e,508,1,00:11:05.356,11,5,24,2.081857,30,Pass,223,Málaga,4,From Throw In,223,Málaga,,,"['2e2bb9b9-7fe7-4a0d-99a1-5b2ca7f4993b', 'e86e8171-08f6-4372-9470-2089e92d463c']",,"[51.5, 80.0]",6878.0,Miguel Torres Gómez,2.0,Right Back,6707.0,Charles Días Barbosa de Oliveira,30.151783,-0.4384304,3.0,High Pass,"[78.8, 67.2]",,,67.0,Throw-in,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.356,12.82899999999995,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6689168484005538
e86e8171-08f6-4372-9470-2089e92d463c,509,1,00:11:07.437,11,7,24,,42,Ball Receipt*,223,Málaga,4,From Throw In,223,Málaga,,,['eb32a4a6-3301-4907-847f-631f05334c9e'],,"[78.1, 67.6]",6707.0,Charles Días Barbosa de Oliveira,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.437,2.0810000000000173,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.752872932387515
2e2bb9b9-7fe7-4a0d-99a1-5b2ca7f4993b,510,1,00:11:07.437,11,7,25,1.411503,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['c60b1be0-c605-4c2b-bbce-8d5cfca4b81f', 'eb32a4a6-3301-4907-847f-631f05334c9e']",,"[41.3, 12.9]",27341.0,Marcelo Alfonso Díaz Rojas,11.0,Left Defensive Midfield,6801.0,Pedro Pablo Hernández,12.809762,0.03904265,3.0,High Pass,"[54.1, 13.4]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.437,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.20372927580656486
