id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,off_camera,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,foul_won_defensive,pass_switch,counterpress,out,duel_outcome_id,duel_outcome_name,clearance_head,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,miscontrol_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_outswinging,clearance_left_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,pass_goal_assist,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_card_id,foul_committed_card_name,pass_deflected,pass_through_ball,foul_committed_offensive,dribble_nutmeg,block_offensive,pass_straight,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,ball_recovery_offensive,block_save_block,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
46fe5c50-8d03-4efa-b0a8-efb537e69188,714,1,00:19:17.749,19,17,46,1.338638,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['9ba14316-77db-4110-89c0-8cb01c83bfc2'],"[52.7, 38.8]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,6758.0,Víctor Sánchez Mata,9.62133,2.481461,1.0,Ground Pass,"[45.1, 44.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157.749,0.028999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.11978226465568143
9ba14316-77db-4110-89c0-8cb01c83bfc2,715,1,00:19:19.088,19,19,46,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['46fe5c50-8d03-4efa-b0a8-efb537e69188'],"[45.1, 44.7]",6758.0,Víctor Sánchez Mata,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159.088,1.3389999999999418,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.41596645256098086
64c8801b-4557-4764-8587-36fc25b879f5,716,1,00:19:19.088,19,19,46,1.57418,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['7316465e-4b0b-451e-8227-c8bf9a2e3ad3', '9ba14316-77db-4110-89c0-8cb01c83bfc2', 'c14cd49d-9857-4bc6-aa32-fe8c26407391']","[45.1, 44.7]",6758.0,Víctor Sánchez Mata,13.0,Right Center Midfield,,,,,,,,,,,,"[54.3, 41.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159.088,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8963126746226014
c14cd49d-9857-4bc6-aa32-fe8c26407391,717,1,00:19:20.002,19,20,46,0.625116,17,Pressure,214,Espanyol,1,Regular Play,360,Rayo Vallecano,,,['64c8801b-4557-4764-8587-36fc25b879f5'],"[66.0, 44.5]",26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.002,0.9139999999999873,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6782900767425021
7316465e-4b0b-451e-8227-c8bf9a2e3ad3,718,1,00:19:20.662,19,20,46,0.035288,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['a5972a88-b504-42ee-a360-d45a6edf1560'],"[54.3, 41.2]",6758.0,Víctor Sánchez Mata,13.0,Right Center Midfield,,,1.8601075,-0.93804747,1.0,Ground Pass,"[55.4, 39.7]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.662,0.6600000000000819,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4635317491126556
a5972a88-b504-42ee-a360-d45a6edf1560,719,1,00:19:20.697,19,20,46,0.0,6,Block,214,Espanyol,1,Regular Play,360,Rayo Vallecano,,,['7316465e-4b0b-451e-8227-c8bf9a2e3ad3'],"[64.7, 40.4]",26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.697,0.03499999999985448,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6092396920488505
be761d8d-e47e-44ee-96a4-fb64d6a94659,720,1,00:19:22.277,19,22,46,0.0,2,Ball Recovery,214,Espanyol,1,Regular Play,360,Rayo Vallecano,,,,"[70.4, 32.8]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.277,1.5800000000001546,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8232101466026807
55a2c220-cc70-44c7-9d32-292c8b5f3abc,721,1,00:19:22.277,19,22,46,2.171547,43,Carry,214,Espanyol,1,Regular Play,360,Rayo Vallecano,,,"['8dbc654c-b7bb-46e1-9437-1991ecc69251', 'aa9db5e7-ba05-4ea5-9397-61c80886a445', 'be761d8d-e47e-44ee-96a4-fb64d6a94659']","[70.4, 32.8]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,,,,,,,,,,,,"[75.6, 31.7]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.277,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.335107037599534
aa9db5e7-ba05-4ea5-9397-61c80886a445,722,1,00:19:24.239,19,24,46,0.292073,17,Pressure,214,Espanyol,1,Regular Play,214,Espanyol,,,"['55a2c220-cc70-44c7-9d32-292c8b5f3abc', '8dbc654c-b7bb-46e1-9437-1991ecc69251']","[46.9, 45.4]",6758.0,Víctor Sánchez Mata,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.239,1.961999999999989,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.006905210374511972
8dbc654c-b7bb-46e1-9437-1991ecc69251,723,1,00:19:24.449,19,24,46,1.236113,30,Pass,214,Espanyol,1,Regular Play,360,Rayo Vallecano,,,"['aa9db5e7-ba05-4ea5-9397-61c80886a445', 'cb636171-8bad-4eea-82b2-300f6ff35325']","[75.6, 31.7]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,7900.0,Tiago Manuel Dias Correia,25.51235,-0.8519663,1.0,Ground Pass,"[92.4, 12.5]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.449,0.21000000000003638,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.619598534470609
