id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,counterpress,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_nutmeg,duel_outcome_id,duel_outcome_name,off_camera,out,pass_switch,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,ball_recovery_recovery_failure,clearance_left_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,pass_technique_id,pass_technique_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_goal_assist,pass_inswinging,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_miscommunication,shot_one_on_one,foul_committed_advantage,foul_won_advantage,shot_open_goal,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
196c5fb9-9209-40b4-b992-04cfe4ee387d,755,1,00:22:40.933,22,40,60,0.0,10,Interception,322,Eibar,1,Regular Play,223,Málaga,,,['f45f19bf-0357-4557-af93-aeed97360c6a'],"[5.2, 34.4]",16723.0,Egor Filipenko,5.0,Left Center Back,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.933,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7499727567876275
18c9750b-e000-4c71-890f-27623af08e64,756,1,00:22:58.258,22,58,61,0.739711,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,['7cfeb0e4-7eb4-4b7b-b119-8aeb1f7aaa6f'],"[106.6, 80.0]",6699.0,Ander Capa Rodríguez,2.0,Right Back,6742.0,Sergio Gontán Gallardo,10.575916,-1.7997214,2.0,Low Pass,"[104.2, 69.7]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.258,17.325000000000045,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6032932941439796
7cfeb0e4-7eb4-4b7b-b119-8aeb1f7aaa6f,757,1,00:22:58.998,22,58,61,,42,Ball Receipt*,322,Eibar,4,From Throw In,322,Eibar,,,['18c9750b-e000-4c71-890f-27623af08e64'],"[104.2, 69.7]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.998,0.7400000000000091,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.963646762041898
440ee409-0ea6-4104-88fb-92f01b7381c1,758,1,00:22:58.998,22,58,61,1.796568,43,Carry,322,Eibar,4,From Throw In,322,Eibar,,,"['3ce8813e-fe59-41cf-a297-2e89547b4e3c', '7cfeb0e4-7eb4-4b7b-b119-8aeb1f7aaa6f', 'dbeb36f3-7e39-4a3c-abef-8e08bbcb5956']","[104.2, 69.7]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,"[101.2, 68.2]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.998,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9050517281353875
3ce8813e-fe59-41cf-a297-2e89547b4e3c,759,1,00:22:59.163,22,59,61,1.698148,17,Pressure,322,Eibar,4,From Throw In,223,Málaga,,,"['440ee409-0ea6-4104-88fb-92f01b7381c1', 'dbeb36f3-7e39-4a3c-abef-8e08bbcb5956']","[12.3, 11.3]",8234.0,Ignacio Camacho Barnola,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.163,0.16499999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0370754537997644
dbeb36f3-7e39-4a3c-abef-8e08bbcb5956,760,1,00:23:00.795,23,0,61,2.395196,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,"['3ce8813e-fe59-41cf-a297-2e89547b4e3c', 'ab57db2d-f7ef-440e-ab41-eeb218e9e90b']","[101.2, 68.2]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,5687.0,Takashi Inui,46.74698,-1.156916,3.0,High Pass,"[120.0, 25.4]",38.0,Left Foot,,,,True,75.0,Out,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380.795,1.6320000000000618,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.023408806364577317
ab57db2d-f7ef-440e-ab41-eeb218e9e90b,761,1,00:23:03.190,23,3,61,,42,Ball Receipt*,322,Eibar,4,From Throw In,322,Eibar,,,['dbeb36f3-7e39-4a3c-abef-8e08bbcb5956'],"[117.5, 25.6]",5687.0,Takashi Inui,16.0,Left Midfield,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.19,2.394999999999982,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3242162827022971
81f54a28-553a-4258-98cd-cc94efa1d58f,762,1,00:23:40.221,23,40,62,3.486813,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,"['3e8f39e3-ea62-4d90-af02-d92b120a693a', '3f23c3bf-1817-4159-89c9-c3e18b46e94f']","[6.0, 36.0]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,8234.0,Ignacio Camacho Barnola,53.653893,-0.39608145,3.0,High Pass,"[55.5, 15.3]",40.0,Right Foot,63.0,Goal Kick,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.221,37.03099999999995,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3138895664387136
3f23c3bf-1817-4159-89c9-c3e18b46e94f,763,1,00:23:43.708,23,43,62,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['81f54a28-553a-4258-98cd-cc94efa1d58f'],"[57.2, 15.3]",8234.0,Ignacio Camacho Barnola,15.0,Left Center Midfield,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.708,3.48700000000008,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18631685323120328
f3961316-8aa1-4aa2-ac25-06e76eceb5fd,764,1,00:23:43.708,23,43,62,0.0,4,Duel,223,Málaga,7,From Goal Kick,223,Málaga,,,['3e8f39e3-ea62-4d90-af02-d92b120a693a'],"[55.5, 15.3]",8234.0,Ignacio Camacho Barnola,15.0,Left Center Midfield,,,,,,,,,,,,,True,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.708,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2885662929798972
