id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,counterpress,pass_switch,out,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,clearance_aerial_won,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_outswinging,off_camera,50_50_outcome_id,50_50_outcome_name,ball_recovery_recovery_failure,foul_won_defensive,clearance_left_foot,shot_aerial_won,foul_committed_advantage,foul_won_advantage,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,pass_no_touch,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,pass_deflected,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
6a3cf0fd-af99-4f6e-af87-94ac334b206e,2728,2,00:22:11.241,67,11,127,1.348998,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['8bb178b5-7a6d-45dd-97eb-77723bc7fc83', 'b841492b-bf5b-49f8-9106-f304f5e50a15']","[57.5, 51.5]",6733.0,Pedro Mosquera Parada,10.0,Center Defensive Midfield,,,,,,,,,,,,"[56.1, 47.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.241,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9916362217652581
b841492b-bf5b-49f8-9106-f304f5e50a15,2729,2,00:22:12.590,67,12,127,1.426199,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['791bafbf-3128-4eb8-b030-5022350e1b0f'],"[56.1, 47.6]",6733.0,Pedro Mosquera Parada,10.0,Center Defensive Midfield,6807.0,Roberto Suárez Pier,28.30636,-1.5919945,1.0,Ground Pass,"[55.5, 19.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332.59,1.3489999999999327,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5137599199340886
791bafbf-3128-4eb8-b030-5022350e1b0f,2730,2,00:22:14.016,67,14,127,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['b841492b-bf5b-49f8-9106-f304f5e50a15'],"[55.5, 19.3]",6807.0,Roberto Suárez Pier,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.016,1.4260000000001583,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9014522359306653
4345944d-1dc9-4336-923e-ec5744804750,2731,2,00:22:14.016,67,14,127,3.985418,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['791bafbf-3128-4eb8-b030-5022350e1b0f', 'b1b5febc-45ab-4ab7-8e2e-dca284f6de9e']","[55.5, 19.3]",6807.0,Roberto Suárez Pier,6.0,Left Back,,,,,,,,,,,,"[75.5, 15.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.016,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7652953511094436
b1b5febc-45ab-4ab7-8e2e-dca284f6de9e,2732,2,00:22:18.002,67,18,127,0.757148,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['88aef4b7-c3fe-4468-8417-cd07e030f70f'],"[75.5, 15.9]",6807.0,Roberto Suárez Pier,6.0,Left Back,6728.0,Federico Nicolás Cartabia,14.645477,-0.7515946,1.0,Ground Pass,"[86.2, 5.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.002,3.9859999999998763,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.29677116239189183
88aef4b7-c3fe-4468-8417-cd07e030f70f,2733,2,00:22:18.759,67,18,127,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['b1b5febc-45ab-4ab7-8e2e-dca284f6de9e'],"[86.2, 5.9]",6728.0,Federico Nicolás Cartabia,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.759,0.7570000000000618,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9689561445974448
db62752c-cfd0-4b8e-be2e-1bbef1782ca1,2734,2,00:22:18.759,67,18,127,4.112193,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['2ad57aca-6828-4eb2-a4c6-d9cc9e1bad1e', '88aef4b7-c3fe-4468-8417-cd07e030f70f', 'eb31f8d7-125c-417c-bd40-39ab762eb6a1']","[86.2, 5.9]",6728.0,Federico Nicolás Cartabia,21.0,Left Wing,,,,,,,,,,,,"[87.2, 5.4]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.759,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5950218491862331
eb31f8d7-125c-417c-bd40-39ab762eb6a1,2735,2,00:22:22.608,67,22,127,0.263241,17,Pressure,219,RC Deportivo La Coruña,1,Regular Play,212,Atlético Madrid,,,"['2ad57aca-6828-4eb2-a4c6-d9cc9e1bad1e', 'db62752c-cfd0-4b8e-be2e-1bbef1782ca1']","[31.8, 74.7]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.608,3.8489999999999327,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.20740679099266157
2ad57aca-6828-4eb2-a4c6-d9cc9e1bad1e,2736,2,00:22:22.871,67,22,127,0.0,14,Dribble,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['e4e4359e-a79c-4571-bed0-caba58813af1', 'eb31f8d7-125c-417c-bd40-39ab762eb6a1']","[87.2, 5.4]",6728.0,Federico Nicolás Cartabia,21.0,Left Wing,,,,,,,,,,,,,,,,,,,True,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.871,0.26300000000014734,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7659389706381605
e4e4359e-a79c-4571-bed0-caba58813af1,2737,2,00:22:22.871,67,22,128,0.0,4,Duel,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['2ad57aca-6828-4eb2-a4c6-d9cc9e1bad1e'],"[32.9, 74.7]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,,True,True,,,,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.871,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4010105937637819
