id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,off_camera,foul_committed_advantage,foul_committed_type_id,foul_committed_type_name,pass_switch,pass_aerial_won,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,clearance_head,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure,out,clearance_left_foot,pass_through_ball,pass_technique_id,pass_technique_name,pass_cross,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_outswinging,dribble_nutmeg,clearance_right_foot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_inswinging,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_cut_back,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_first_time,clearance_aerial_won,foul_won_advantage,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,pass_miscommunication,clearance_other,goalkeeper_punched_out,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
e407c362-2ab8-4c99-9c8f-2ccc93c469ba,451,1,00:12:51.237,12,51,26,1.97266,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,['606f411e-7056-49bd-b94f-362b8fc2efa9'],"[57.2, 52.6]",3324.0,Eric Bertrand Bailly,3.0,Right Center Back,6752.0,Víctor Ruíz Torre,30.836504,-1.6194592,1.0,Ground Pass,"[55.7, 21.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.237,2.3689999999999145,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4398225881093285
af44b1e5-142d-44c9-b34b-b57df7e8c8bc,452,1,00:12:51.266,12,51,26,0.338462,17,Pressure,222,Villarreal,4,From Throw In,221,Levante UD,,,,"[60.8, 27.1]",6668.0,José Luis Morales Nogales,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.266,0.028999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6117261374036719
606f411e-7056-49bd-b94f-362b8fc2efa9,453,1,00:12:53.210,12,53,26,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['e407c362-2ab8-4c99-9c8f-2ccc93c469ba'],"[55.7, 21.8]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.21,1.9440000000000737,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9284105022493528
37ad6169-ac1c-4dac-ab35-732c1554db82,454,1,00:12:53.210,12,53,26,1.299499,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['606f411e-7056-49bd-b94f-362b8fc2efa9', '7c641b54-96aa-4652-b55c-9319f3afe28d']","[55.7, 21.8]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,"[56.5, 23.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.21,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.39586991876080335
7c641b54-96aa-4652-b55c-9319f3afe28d,455,1,00:12:54.509,12,54,26,1.751674,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,['2302e8d4-b277-4d6d-a337-ec37106f4bc1'],"[56.5, 23.1]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,27155.0,Bojan Jokić,25.804264,-0.7140907,1.0,Ground Pass,"[76.0, 6.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.509,1.2989999999999782,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8935700187092145
2302e8d4-b277-4d6d-a337-ec37106f4bc1,456,1,00:12:56.261,12,56,26,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['7c641b54-96aa-4652-b55c-9319f3afe28d'],"[76.0, 6.2]",27155.0,Bojan Jokić,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.261,1.7519999999999527,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.025546477313987848
0691132e-6eee-4879-bec4-5ec80cc6d46b,457,1,00:12:56.261,12,56,26,1.172004,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,['c23b5706-7b90-4adc-ab80-dec972d461fa'],"[76.0, 6.2]",27155.0,Bojan Jokić,6.0,Left Back,6737.0,Alfonso Pedraza Sag,16.211416,0.7374001,1.0,Ground Pass,"[88.0, 17.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.261,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.41482407373101726
5ac97fe7-1686-44b1-8e9b-bf619438113c,458,1,00:12:56.766,12,56,26,1.280837,17,Pressure,222,Villarreal,4,From Throw In,221,Levante UD,,,"['57f2bec0-b111-4bd7-b0b7-d6ece8d9aaac', '7641fb89-7790-45cb-a7ef-da626d59df79', 'c23b5706-7b90-4adc-ab80-dec972d461fa']","[29.2, 61.3]",27122.0,Simão Mate,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.766,0.5049999999999955,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.472380876764828
c23b5706-7b90-4adc-ab80-dec972d461fa,459,1,00:12:57.433,12,57,26,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,"['0691132e-6eee-4879-bec4-5ec80cc6d46b', '5ac97fe7-1686-44b1-8e9b-bf619438113c']","[88.0, 17.1]",6737.0,Alfonso Pedraza Sag,16.0,Left Midfield,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.433,0.66700000000003,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6591180046703035
7641fb89-7790-45cb-a7ef-da626d59df79,460,1,00:12:57.433,12,57,26,0.613624,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['57f2bec0-b111-4bd7-b0b7-d6ece8d9aaac', '5ac97fe7-1686-44b1-8e9b-bf619438113c', 'c23b5706-7b90-4adc-ab80-dec972d461fa']","[88.0, 17.1]",6737.0,Alfonso Pedraza Sag,16.0,Left Midfield,,,,,,,,,,,,"[87.5, 21.1]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.433,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3832073393805514
