id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_first_time,goalkeeper_end_location,pass_aerial_won,counterpress,pass_miscommunication,pass_cross,pass_switch,out,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_cut_back,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,block_deflection,dribble_overrun,foul_won_defensive,ball_recovery_recovery_failure,clearance_aerial_won,clearance_head,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_inswinging,pass_technique_id,pass_technique_name,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_advantage,foul_won_advantage,clearance_other,pass_outswinging,clearance_left_foot,pass_deflected,pass_through_ball,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,shot_aerial_won,dribble_nutmeg,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
d80b535e-cf9b-47dc-8008-4447996ae5f7,2633,2,00:27:45.483,72,45,143,,42,Ball Receipt*,207,Valencia,7,From Goal Kick,207,Valencia,,,['5af38f39-1d23-483c-a118-2d560916f703'],,"[43.1, 19.0]",6592.0,Rúben Miguel Nunes Vezo,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.483,1.7110000000000127,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1189394358488064
71d4b87f-4942-4cd9-9ce3-8987be1a257a,2634,2,00:27:45.483,72,45,143,1.085166,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['d373701b-6457-487c-8fd9-2acc9a8c03c2', 'd80b535e-cf9b-47dc-8008-4447996ae5f7']",,"[43.1, 19.0]",6592.0,Rúben Miguel Nunes Vezo,5.0,Left Center Back,,,,,,,,,,,,,"[45.8, 16.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.483,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02169823019146444
d373701b-6457-487c-8fd9-2acc9a8c03c2,2635,2,00:27:46.568,72,46,143,1.003826,30,Pass,207,Valencia,7,From Goal Kick,207,Valencia,,,['c936be1d-7832-4d88-a1da-9cccc7f7d2c8'],,"[45.8, 16.1]",6592.0,Rúben Miguel Nunes Vezo,5.0,Left Center Back,6595.0,Daniel Parejo Muñoz,10.463747,-0.90053296,1.0,Ground Pass,"[52.3, 7.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.568,1.0850000000000364,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9910295202962982
c936be1d-7832-4d88-a1da-9cccc7f7d2c8,2636,2,00:27:47.572,72,47,143,,42,Ball Receipt*,207,Valencia,7,From Goal Kick,207,Valencia,,,['d373701b-6457-487c-8fd9-2acc9a8c03c2'],,"[52.3, 7.9]",6595.0,Daniel Parejo Muñoz,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667.572,1.0039999999999054,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5277298021613114
29639034-ecd8-4a69-91c5-36948050ce39,2637,2,00:27:47.572,72,47,143,3.168578,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['97777caf-2627-408e-b70d-fd9372564dbc', 'bf2120f1-db13-4e9f-a142-bf36eac3e1fc', 'c936be1d-7832-4d88-a1da-9cccc7f7d2c8']",,"[52.3, 7.9]",6595.0,Daniel Parejo Muñoz,11.0,Left Defensive Midfield,,,,,,,,,,,,True,"[54.2, 27.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667.572,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6104280338025868
bf2120f1-db13-4e9f-a142-bf36eac3e1fc,2638,2,00:27:48.633,72,48,143,0.776261,17,Pressure,207,Valencia,7,From Goal Kick,215,Athletic Club,,,['29639034-ecd8-4a69-91c5-36948050ce39'],,"[64.1, 64.0]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668.633,1.0610000000001492,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.15871438511737634
308ce562-2a79-4f27-9f83-508a0fe751cf,2639,2,00:27:50.741,72,50,143,0.0,22,Foul Committed,207,Valencia,7,From Goal Kick,215,Athletic Club,,,"['97777caf-2627-408e-b70d-fd9372564dbc', 'e8a65894-2ecc-4a02-9d14-feae7644f977']",,"[65.9, 52.9]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,1670.741,2.1079999999999472,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05250462570909409
97777caf-2627-408e-b70d-fd9372564dbc,2640,2,00:27:50.741,72,50,143,0.0,21,Foul Won,207,Valencia,7,From Goal Kick,207,Valencia,,,['308ce562-2a79-4f27-9f83-508a0fe751cf'],,"[54.2, 27.2]",6595.0,Daniel Parejo Muñoz,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,1670.741,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.757161775647556
e8a65894-2ecc-4a02-9d14-feae7644f977,2641,2,00:27:50.741,72,50,143,2.657338,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['308ce562-2a79-4f27-9f83-508a0fe751cf', '4538f98f-c161-41f8-910d-cb6b0d4f86dc', '97777caf-2627-408e-b70d-fd9372564dbc']",,"[54.2, 27.2]",6595.0,Daniel Parejo Muñoz,11.0,Left Defensive Midfield,,,,,,,,,,,,True,"[56.7, 36.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.741,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15554203631896246
4538f98f-c161-41f8-910d-cb6b0d4f86dc,2642,2,00:27:53.398,72,53,143,2.246599,30,Pass,207,Valencia,7,From Goal Kick,207,Valencia,,,['8852667f-f660-4459-92ba-29e84c8dba68'],,"[56.7, 36.7]",6595.0,Daniel Parejo Muñoz,11.0,Left Defensive Midfield,27480.0,Lucas Alfonso Orbán Alegre,37.431805,-0.9524102,3.0,High Pass,"[78.4, 6.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.398,2.6569999999999254,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.19776179897370294
