id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,pass_cross,pass_cut_back,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,shot_open_goal,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,counterpress,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,dribble_overrun,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,pass_through_ball,pass_technique_id,pass_technique_name,pass_no_touch,foul_won_defensive,clearance_aerial_won,clearance_head,pass_assisted_shot_id,pass_goal_assist,shot_one_on_one,shot_key_pass_id,pass_switch,out,clearance_right_foot,foul_committed_card_id,foul_committed_card_name,dribble_nutmeg,pass_inswinging,pass_outswinging,goalkeeper_end_location,pass_shot_assist,pass_straight,goalkeeper_body_part_id,goalkeeper_body_part_name,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_miscommunication,miscontrol_aerial_won,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
0cf227fd-3a81-4781-a04d-55324ed8045e,2705,2,00:34:56.088,79,56,163,0.950631,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['f9f8d1ac-a4be-429f-8915-6b7b9e42bf1d'],"[93.8, 2.9]",10754.0,Héctor Hernández Ortega,6.0,Left Back,6671.0,Asier Illarramendi Andonegi,14.860013,2.3942714,1.0,Ground Pass,"[82.9, 13.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096.088,1.461999999999989,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1832350853565099
f9f8d1ac-a4be-429f-8915-6b7b9e42bf1d,2706,2,00:34:57.038,79,57,163,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['0cf227fd-3a81-4781-a04d-55324ed8045e'],"[82.9, 13.0]",6671.0,Asier Illarramendi Andonegi,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.038,0.9499999999998181,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6724289880393162
fcac46d4-edde-4129-a2e4-f04b38e26b1b,2707,2,00:34:57.038,79,57,163,1.184469,43,Carry,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['3cb495ee-e658-4796-8b1d-8eb445e23023', 'f9f8d1ac-a4be-429f-8915-6b7b9e42bf1d']","[82.9, 13.0]",6671.0,Asier Illarramendi Andonegi,15.0,Left Center Midfield,,,,,,,,,,,,"[81.9, 16.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.038,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.31215588706792785
3cb495ee-e658-4796-8b1d-8eb445e23023,2708,2,00:34:58.223,79,58,163,1.700759,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['03e82edc-a154-4469-8a2b-3904e43065b9'],"[81.9, 16.0]",6671.0,Asier Illarramendi Andonegi,15.0,Left Center Midfield,8584.0,Jonathas Cristian de Jesus,34.448368,0.75871044,3.0,High Pass,"[106.9, 39.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098.223,1.1849999999999454,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.318680725124994
21bdc64b-a1c6-4a71-ae1c-c0bb662282dd,2709,2,00:34:59.701,79,59,163,0.991571,17,Pressure,210,Real Sociedad,7,From Goal Kick,1041,Sporting Gijón,,,"['03e82edc-a154-4469-8a2b-3904e43065b9', '4c078cb7-9223-4530-9be4-fca4ed8e4cea']","[15.0, 37.3]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.701,1.4780000000000655,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.7801936671007682
03e82edc-a154-4469-8a2b-3904e43065b9,2710,2,00:34:59.923,79,59,163,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['21bdc64b-a1c6-4a71-ae1c-c0bb662282dd', '3cb495ee-e658-4796-8b1d-8eb445e23023']","[106.9, 39.7]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.923,0.22199999999975262,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.33820361166351265
4c078cb7-9223-4530-9be4-fca4ed8e4cea,2711,2,00:34:59.923,79,59,163,0.809386,43,Carry,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['03e82edc-a154-4469-8a2b-3904e43065b9', '21bdc64b-a1c6-4a71-ae1c-c0bb662282dd', '29576094-e1d8-463a-9223-c7d7a5b4baa4']","[106.9, 39.7]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,"[107.7, 41.7]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.923,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1935663423741193
29576094-e1d8-463a-9223-c7d7a5b4baa4,2712,2,00:35:00.733,80,0,163,0.0,3,Dispossessed,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['d1ba0ab3-eaa4-4bf2-8609-c242975847ec'],"[107.7, 41.7]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.733,0.8100000000004002,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9919085697302358
d1ba0ab3-eaa4-4bf2-8609-c242975847ec,2713,2,00:35:00.733,80,0,164,0.0,4,Duel,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['29576094-e1d8-463a-9223-c7d7a5b4baa4'],"[12.4, 38.4]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,,,True,,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.733,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21975734999624952
d3563efa-1490-4184-9ed3-e0c9dee5ec45,2714,2,00:35:01.596,80,1,164,0.0,9,Clearance,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,,"[9.9, 34.7]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2101.596,0.862999999999829,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4460612017867507
