id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,pass_switch,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,duel_outcome_id,duel_outcome_name,pass_inswinging,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,out,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,pass_cross,clearance_right_foot,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,dribble_overrun,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,pass_miscommunication,foul_won_defensive,pass_outswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_one_on_one,block_deflection,shot_deflected,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
77042110-9333-4bf6-bba2-e7b8e4662744,486,1,00:09:32.115,9,32,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['2a055f72-801b-4903-ae1b-056aa32bfab7'],,"[64.8, 66.8]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.115,1.5710000000000264,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3901824205233775
67110619-248f-4055-9409-ca25b7771ee0,487,1,00:09:32.115,9,32,21,3.097945,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['77042110-9333-4bf6-bba2-e7b8e4662744', 'dad23fec-304d-4528-9b43-16eb2b97b75d']",,"[64.8, 66.8]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,"[68.7, 62.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.115,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7996109257229324
dad23fec-304d-4528-9b43-16eb2b97b75d,488,1,00:09:35.213,9,35,21,1.401146,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['32ec1215-8423-48df-abc7-a922b3047b2f'],,"[68.7, 62.9]",4324.0,Daniel Alves da Silva,2.0,Right Back,6616.0,Munir El Haddadi Mohamed,20.883007,0.69044644,1.0,Ground Pass,"[84.8, 76.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.213,3.0979999999999563,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.482716999130097
32ec1215-8423-48df-abc7-a922b3047b2f,489,1,00:09:36.614,9,36,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['dad23fec-304d-4528-9b43-16eb2b97b75d'],,"[84.8, 76.2]",6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.614,1.4010000000000673,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6358983204219607
4d0a782f-da7a-47e1-9993-6619c5753139,490,1,00:09:36.614,9,36,21,1.153054,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['32ec1215-8423-48df-abc7-a922b3047b2f', '57df1e32-54a2-4a73-9a97-62b59908114f', '62a034a6-b411-4867-8cfd-9fc5ebbaa77e']",,"[84.8, 76.2]",6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,,,,,,,,,,,,True,,,,"[81.5, 76.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.614,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5120896654792362
57df1e32-54a2-4a73-9a97-62b59908114f,491,1,00:09:36.884,9,36,21,0.298406,17,Pressure,217,Barcelona,1,Regular Play,221,Levante UD,,,['4d0a782f-da7a-47e1-9993-6619c5753139'],,"[34.0, 9.4]",6784.0,Antonio García Aranda,8.0,Left Wing Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.884,0.2699999999999818,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5217445767397851
62a034a6-b411-4867-8cfd-9fc5ebbaa77e,492,1,00:09:37.767,9,37,21,0.935434,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['8804d64d-4b6f-45d2-b5ea-1f00a5d041a9'],,"[81.5, 76.0]",6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,4324.0,Daniel Alves da Silva,16.058954,-2.5466816,1.0,Ground Pass,"[68.2, 67.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.767,0.8830000000000382,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.36417224011846006
8804d64d-4b6f-45d2-b5ea-1f00a5d041a9,493,1,00:09:38.703,9,38,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['62a034a6-b411-4867-8cfd-9fc5ebbaa77e'],,"[68.2, 67.0]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.703,0.9359999999999218,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09215784407560113
f33fa614-d3f0-4de4-b231-325e51658b9c,494,1,00:09:38.703,9,38,21,1.890166,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['8804d64d-4b6f-45d2-b5ea-1f00a5d041a9', 'fff0a767-3ef5-43c5-8c11-83adbabf5dfc']",,"[68.2, 67.0]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,"[69.9, 64.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.703,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7302424513072945
fff0a767-3ef5-43c5-8c11-83adbabf5dfc,495,1,00:09:40.593,9,40,21,1.803991,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['dafd9455-de37-4c8d-a04a-0564beaa539c'],,"[69.9, 64.7]",4324.0,Daniel Alves da Silva,2.0,Right Back,7068.0,Marc Bartra Aregall,18.455622,-2.352363,1.0,Ground Pass,"[56.9, 51.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.593,1.8899999999999864,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6598734224336165
