id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,counterpress,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,pass_outswinging,pass_technique_id,pass_technique_name,clearance_head,duel_outcome_id,duel_outcome_name,pass_deflected,shot_first_time,goalkeeper_end_location,pass_switch,pass_goal_assist,out,clearance_right_foot,foul_committed_offensive,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,clearance_aerial_won,pass_inswinging,shot_one_on_one,pass_cut_back,foul_committed_card_id,foul_committed_card_name,foul_committed_advantage,foul_won_advantage,block_offensive,foul_committed_type_id,foul_committed_type_name,pass_through_ball,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,dribble_overrun,pass_miscommunication,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
6e5153bf-a724-4004-8619-3cfe53691785,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4231.0,"[{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 27144, 'name': 'Antonio Amaya Carazo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9246, 'name': 'Patrick Ebert'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.36851810067581237
5f06f407-a66a-42a6-b79d-d158cbf5f92e,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,360,Rayo Vallecano,1,Regular Play,219,RC Deportivo La Coruña,451.0,"[{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23800, 'name': 'Laureano Sanabria Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.3593955798482664
07077f79-3b6b-4c66-bc62-b6e357dad3c8,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,360,Rayo Vallecano,1,Regular Play,219,RC Deportivo La Coruña,,,['deda94c6-d8ab-4bba-a8fe-5b249dfe95f1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.37101358332157175
deda94c6-d8ab-4bba-a8fe-5b249dfe95f1,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['07077f79-3b6b-4c66-bc62-b6e357dad3c8'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.8172187275283508
a0c4971e-b4d1-4851-bdd7-1e65fcbcc727,5,1,00:00:01.271,0,1,2,0.728684,30,Pass,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['aeb49a3a-785d-4ce2-b391-8e5b47b6a79c'],True,"[61.0, 40.1]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,26848.0,Roberto Trashorras Gayoso,10.685037,2.5899377,1.0,Ground Pass,"[51.9, 45.7]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.271,1.271,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8886022276244604
aeb49a3a-785d-4ce2-b391-8e5b47b6a79c,6,1,00:00:01.999,0,1,2,,42,Ball Receipt*,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['a0c4971e-b4d1-4851-bdd7-1e65fcbcc727'],,"[51.9, 45.7]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.999,0.7280000000000002,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4090866612324574
f5921c4b-f501-4dfa-8eec-57ef48315072,7,1,00:00:03.560,0,3,2,1.799288,30,Pass,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['e47d7cd5-3ffb-4492-8e61-264068737892'],,"[50.7, 48.6]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,24138.0,Joaquín José Marín Ruiz,22.314121,1.8244704,1.0,Ground Pass,"[45.1, 70.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,1.561,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.49752344487104116
e47d7cd5-3ffb-4492-8e61-264068737892,8,1,00:00:05.360,0,5,2,,42,Ball Receipt*,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['f5921c4b-f501-4dfa-8eec-57ef48315072'],,"[45.1, 70.2]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,1.8000000000000003,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.684890154996915
2f65c058-5daa-4078-874a-86aca695cfae,9,1,00:00:05.360,0,5,2,1.10199,43,Carry,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,"['9aa6c5ff-ab71-4db8-a77b-2b7ea6f7cd2e', 'e47d7cd5-3ffb-4492-8e61-264068737892']",,"[45.1, 70.2]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,"[44.4, 69.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20545433752996356
9aa6c5ff-ab71-4db8-a77b-2b7ea6f7cd2e,10,1,00:00:06.462,0,6,2,0.533658,30,Pass,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['ad9d405b-a2cb-47de-b3ed-6e2c3818b041'],,"[44.4, 69.0]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,26607.0,José Raúl Baena Urdiales,6.928925,-1.9244995,1.0,Ground Pass,"[42.0, 62.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.462,1.1019999999999994,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.31583855924464677
