id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_switch,duel_outcome_id,duel_outcome_name,out,ball_recovery_recovery_failure,counterpress,foul_won_defensive,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,pass_straight,pass_cut_back,pass_outswinging,clearance_aerial_won,pass_cross,clearance_right_foot,pass_inswinging,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_committed_type_id,foul_committed_type_name,shot_first_time,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_deflected,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_penalty,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_miscommunication,dribble_nutmeg,foul_won_penalty,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
1338b443-3094-4d12-a266-0017f5a13c52,435,1,00:10:50.974,10,50,25,1.06,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['9d6dbfe3-c73a-43f1-9935-423e0a613a57'],"[50.1, 31.8]",27482.0,Aderllan Leandro de Jesus Santos,5.0,Left Center Back,6751.0,Javier Fuego Martínez,16.144659,0.4691877,1.0,Ground Pass,"[64.5, 39.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.974,0.46100000000001273,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.18650884548746294
9d6dbfe3-c73a-43f1-9935-423e0a613a57,436,1,00:10:52.034,10,52,25,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['1338b443-3094-4d12-a266-0017f5a13c52'],"[64.5, 39.1]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.034,1.0599999999999454,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26341550911514533
56db32ba-79a6-4f11-afb3-2189b41672c1,437,1,00:10:52.034,10,52,25,2.112498,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['771c1a3a-c380-4887-85a8-4be7841243ab', '9d6dbfe3-c73a-43f1-9935-423e0a613a57']","[64.5, 39.1]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,,,,,,,,,,,,"[64.2, 45.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.034,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.533296739790355
771c1a3a-c380-4887-85a8-4be7841243ab,438,1,00:10:54.147,10,54,25,2.457599,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['cbf49550-c04c-47ad-acf1-5de6212f1079'],"[64.2, 45.7]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,7005.0,João Pedro Cavaco Cancelo,44.146122,0.8174385,3.0,High Pass,"[94.4, 77.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.147,2.1130000000000564,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.38056624071622136
cbf49550-c04c-47ad-acf1-5de6212f1079,439,1,00:10:56.604,10,56,25,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['771c1a3a-c380-4887-85a8-4be7841243ab'],"[94.4, 77.9]",7005.0,João Pedro Cavaco Cancelo,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.604,2.4569999999999936,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7389421209721496
535d3251-9494-4e89-943e-485048cbe5eb,440,1,00:10:56.604,10,56,25,4.625798,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['74f014fc-7a84-46bc-b245-c4fcafc3fd7a', 'cbf49550-c04c-47ad-acf1-5de6212f1079']","[94.4, 77.9]",7005.0,João Pedro Cavaco Cancelo,2.0,Right Back,,,,,,,,,,,,"[111.2, 74.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.604,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8894649314492202
74f014fc-7a84-46bc-b245-c4fcafc3fd7a,441,1,00:11:01.230,11,1,25,0.21171,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['bf29faed-2a7e-4784-bc1d-d724c5f4c5d4'],"[111.2, 74.3]",7005.0,João Pedro Cavaco Cancelo,2.0,Right Back,,,5.4129477,-1.3661546,3.0,High Pass,"[112.3, 69.0]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.23,4.625999999999976,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4639330449589242
bf29faed-2a7e-4784-bc1d-d724c5f4c5d4,442,1,00:11:01.442,11,1,25,0.0,6,Block,207,Valencia,4,From Throw In,223,Málaga,,,['74f014fc-7a84-46bc-b245-c4fcafc3fd7a'],"[7.8, 11.1]",6878.0,Miguel Torres Gómez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.442,0.21199999999998909,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.053853681471806136
b37eb0be-0d4b-4a01-9983-8c05f2a91836,443,1,00:11:21.690,11,21,26,1.684002,30,Pass,207,Valencia,2,From Corner,207,Valencia,,,['d7fede53-f62e-4981-8e75-02b06af1b21e'],"[120.0, 80.0]",6763.0,Pablo Daniel Piatti,21.0,Left Wing,,,38.217926,-1.6493744,3.0,High Pass,"[117.0, 41.9]",38.0,Left Foot,61.0,Corner,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,104.0,Inswinging,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.69,20.248000000000047,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.32967164677155536
d7fede53-f62e-4981-8e75-02b06af1b21e,444,1,00:11:23.374,11,23,27,0.0,23,Goal Keeper,223,Málaga,8,From Keeper,223,Málaga,,,['b37eb0be-0d4b-4a01-9983-8c05f2a91836'],"[3.1, 38.2]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,Collected,15.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.374,1.683999999999969,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5574163253286794
