id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,counterpress,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,duel_type_id,duel_type_name,pass_aerial_won,out,clearance_aerial_won,clearance_head,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,dribble_overrun,pass_switch,ball_recovery_recovery_failure,miscontrol_aerial_won,duel_outcome_id,duel_outcome_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,off_camera,pass_technique_id,pass_technique_name,pass_inswinging,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,pass_outswinging,pass_cut_back,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_penalty,foul_won_penalty,50_50_outcome_id,50_50_outcome_name,clearance_left_foot,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
d68eb0f8-fe32-455e-a774-4b5c60849d74,345,1,00:08:47.623,8,47,17,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['95270197-6a0b-4b69-ad6e-c4708f228fc0'],"[29.8, 2.8]",6914.0,Roberto Román Triguero,6.0,Left Back,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.623,3.2040000000000646,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7354200142671393
e5d10aac-19bc-4198-b5c1-fe2700ba199e,346,1,00:08:52.074,8,52,18,1.639372,30,Pass,1049,Granada,4,From Throw In,1049,Granada,,,['f308c29d-0193-49a0-9952-81efc275ec86'],"[68.7, 80.0]",4546.0,Dimitri Foulquier,2.0,Right Back,3292.0,Abdoulaye Doucouré,12.946815,-2.7367008,2.0,Low Pass,"[56.8, 74.9]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.074,4.450999999999908,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7112305703205812
f308c29d-0193-49a0-9952-81efc275ec86,347,1,00:08:53.713,8,53,18,,42,Ball Receipt*,1049,Granada,4,From Throw In,1049,Granada,,,['e5d10aac-19bc-4198-b5c1-fe2700ba199e'],"[56.8, 74.9]",3292.0,Abdoulaye Doucouré,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.713,1.63900000000001,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3807335940233849
b6ae412f-1040-4337-a504-a095dee54023,348,1,00:08:57.150,8,57,18,3.559378,30,Pass,1049,Granada,4,From Throw In,1049,Granada,,,['95e1519e-d99f-4823-a5c3-fa4e5f07efc6'],"[56.6, 71.2]",3292.0,Abdoulaye Doucouré,9.0,Right Defensive Midfield,7158.0,Cristiano Biraghi,57.23679,-1.4622614,3.0,High Pass,"[62.8, 14.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.15,3.437000000000012,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6350427507307166
95e1519e-d99f-4823-a5c3-fa4e5f07efc6,349,1,00:09:00.709,9,0,18,,42,Ball Receipt*,1049,Granada,4,From Throw In,1049,Granada,,,['b6ae412f-1040-4337-a504-a095dee54023'],"[62.8, 14.3]",7158.0,Cristiano Biraghi,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.709,3.558999999999969,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6843160275386194
02f424dc-08b3-4877-bea5-bf27d04eb209,350,1,00:09:00.709,9,0,18,1.97238,43,Carry,1049,Granada,4,From Throw In,1049,Granada,,,"['95e1519e-d99f-4823-a5c3-fa4e5f07efc6', 'df4db38d-ab58-44de-962c-2059ca468c02']","[62.8, 14.3]",7158.0,Cristiano Biraghi,6.0,Left Back,,,,,,,,,,,,"[69.8, 11.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.709,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.28928074163057726
df4db38d-ab58-44de-962c-2059ca468c02,351,1,00:09:02.682,9,2,18,1.077207,30,Pass,1049,Granada,4,From Throw In,1049,Granada,,,['8518d9bf-5684-402d-8e4c-f4cfdfa778df'],"[69.8, 11.3]",7158.0,Cristiano Biraghi,6.0,Left Back,6918.0,Isaac Ajayi Success,21.00595,0.023805026,1.0,Ground Pass,"[90.8, 11.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.682,1.97300000000007,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.3338315367039698
8518d9bf-5684-402d-8e4c-f4cfdfa778df,352,1,00:09:03.759,9,3,18,,42,Ball Receipt*,1049,Granada,4,From Throw In,1049,Granada,,,['df4db38d-ab58-44de-962c-2059ca468c02'],"[90.8, 11.8]",6918.0,Isaac Ajayi Success,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.759,1.0769999999999982,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.334449511251693
10ab1e1a-55bd-4390-8757-dc07c42ac313,353,1,00:09:03.759,9,3,18,1.593319,43,Carry,1049,Granada,4,From Throw In,1049,Granada,,,"['2b2495db-8133-41a0-80f0-4bdb61092d01', '8518d9bf-5684-402d-8e4c-f4cfdfa778df', 'b4f145b5-c1a0-4646-9fe8-ab9532e9ba89']","[90.8, 11.8]",6918.0,Isaac Ajayi Success,24.0,Left Center Forward,,,,,,,,,,,,"[86.7, 10.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.759,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7124834182322195
2b2495db-8133-41a0-80f0-4bdb61092d01,354,1,00:09:04.679,9,4,18,0.588139,17,Pressure,1049,Granada,4,From Throw In,360,Rayo Vallecano,,,['10ab1e1a-55bd-4390-8757-dc07c42ac313'],"[26.5, 68.2]",26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.679,0.9199999999999591,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.47721267855192984
b4f145b5-c1a0-4646-9fe8-ab9532e9ba89,355,1,00:09:05.352,9,5,18,0.34684,30,Pass,1049,Granada,4,From Throw In,1049,Granada,,,['b9bb8e17-7181-4d31-b000-d0b5888d2b10'],"[86.7, 10.7]",6918.0,Isaac Ajayi Success,24.0,Left Center Forward,26776.0,Juan Isaac Cuenca López,6.926038,0.08673834,1.0,Ground Pass,"[93.6, 11.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.352,0.6730000000000018,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5520241433375381
7680980e-400a-48b6-9b18-4670f49086f4,356,1,00:09:05.676,9,5,18,1.908436,17,Pressure,1049,Granada,4,From Throw In,360,Rayo Vallecano,,,"['7bd5c78d-b504-4d47-9499-ab270808b59d', 'ab56de63-b3d0-42c2-a9eb-f1bb99ae05de', 'b9bb8e17-7181-4d31-b000-d0b5888d2b10']","[24.0, 69.6]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.676,0.3240000000000691,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.11764442773133466
b9bb8e17-7181-4d31-b000-d0b5888d2b10,357,1,00:09:05.699,9,5,18,,42,Ball Receipt*,1049,Granada,4,From Throw In,1049,Granada,,,"['7680980e-400a-48b6-9b18-4670f49086f4', 'b4f145b5-c1a0-4646-9fe8-ab9532e9ba89']","[93.6, 11.3]",26776.0,Juan Isaac Cuenca López,16.0,Left Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.699,0.02299999999991087,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8756035835742633
ab56de63-b3d0-42c2-a9eb-f1bb99ae05de,358,1,00:09:05.699,9,5,18,1.84071,43,Carry,1049,Granada,4,From Throw In,1049,Granada,,,"['009fc9cf-f2cc-4b87-bbaa-cb87b1ad2654', '7680980e-400a-48b6-9b18-4670f49086f4', '7bd5c78d-b504-4d47-9499-ab270808b59d', 'b9bb8e17-7181-4d31-b000-d0b5888d2b10']","[93.6, 11.3]",26776.0,Juan Isaac Cuenca López,16.0,Left Midfield,,,,,,,,,,,,"[98.3, 22.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.699,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8804497472710539
009fc9cf-f2cc-4b87-bbaa-cb87b1ad2654,359,1,00:09:07.464,9,7,18,0.119999,17,Pressure,1049,Granada,4,From Throw In,360,Rayo Vallecano,,,"['7bd5c78d-b504-4d47-9499-ab270808b59d', 'ab56de63-b3d0-42c2-a9eb-f1bb99ae05de']","[23.6, 53.4]",6743.0,Manuel Rolando Iturra Urrutia,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.464,1.7650000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.212246667453175
