id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,pass_switch,pass_assisted_shot_id,pass_shot_assist,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,pass_cross,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,pass_aerial_won,foul_committed_advantage,foul_won_advantage,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,ball_recovery_recovery_failure,clearance_right_foot,clearance_left_foot,shot_one_on_one,goalkeeper_end_location,pass_technique_id,pass_technique_name,pass_through_ball,foul_committed_card_id,foul_committed_card_name,pass_deflected,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging,shot_first_time,pass_goal_assist,dribble_nutmeg,pass_cut_back,pass_inswinging,foul_committed_penalty,foul_won_penalty,pass_straight,pass_no_touch,clearance_other,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
65c7ec18-3885-4e8a-bc6c-118f0785cca3,11,1,00:00:05.175,0,5,2,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['fc188a68-5665-485c-a5bb-61d530338ab9'],,"[43.1, 76.4]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.175,1.63,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49542739951127635
f4776d2b-085a-47f8-8b70-f7ab2d60a8a1,12,1,00:00:05.175,0,5,2,2.363736,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['65c7ec18-3885-4e8a-bc6c-118f0785cca3', 'ba0e9dd2-69a3-4e01-8622-91c5687a0974']",,"[43.1, 76.4]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,"[47.4, 76.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.175,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07017685978656729
ba0e9dd2-69a3-4e01-8622-91c5687a0974,13,1,00:00:07.538,0,7,2,2.211108,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,"['988bd2ea-e48d-4424-bab2-4939ed2e3d37', 'ecede488-0e91-4cfa-af06-53b5cc00a0c9']",,"[47.4, 76.2]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,23416.0,Stefan Šćepović,44.900444,-0.17686546,3.0,High Pass,"[91.6, 68.3]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.538,2.3630000000000004,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8655333391525647
988bd2ea-e48d-4424-bab2-4939ed2e3d37,14,1,00:00:09.750,0,9,2,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['ba0e9dd2-69a3-4e01-8622-91c5687a0974'],,"[85.9, 70.8]",23416.0,Stefan Šćepović,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,2.2119999999999997,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.42248680033675956
ecede488-0e91-4cfa-af06-53b5cc00a0c9,15,1,00:00:09.750,0,9,2,0.803269,30,Pass,216,Getafe,9,From Kick Off,218,Real Betis,,,"['ac3b4196-1155-4481-a953-467adaf4ecbc', 'ba0e9dd2-69a3-4e01-8622-91c5687a0974']",,"[28.5, 11.8]",27349.0,Heiko Westermann,5.0,Left Center Back,27347.0,Juan Manuel Vargas Risco,15.811388,-0.6055447,3.0,High Pass,"[41.5, 2.8]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.1030705126070095
ac3b4196-1155-4481-a953-467adaf4ecbc,16,1,00:00:10.553,0,10,2,,42,Ball Receipt*,216,Getafe,9,From Kick Off,218,Real Betis,,,['ecede488-0e91-4cfa-af06-53b5cc00a0c9'],,"[41.5, 2.8]",27347.0,Juan Manuel Vargas Risco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.553,0.8030000000000008,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5210871035817923
e690ca68-a662-4da7-b059-5f02d153fb3c,17,1,00:00:10.553,0,10,2,5.078499,43,Carry,216,Getafe,9,From Kick Off,218,Real Betis,,,"['5c549f75-d4a0-4aeb-b288-a69b0c65fc99', 'ac3b4196-1155-4481-a953-467adaf4ecbc', 'c54da0c7-13c1-46a0-8fdd-e725247428fa']",,"[41.5, 2.8]",27347.0,Juan Manuel Vargas Risco,6.0,Left Back,,,,,,,,,,,,"[27.0, 1.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.553,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7182220893982426
c54da0c7-13c1-46a0-8fdd-e725247428fa,18,1,00:00:14.644,0,14,2,0.984276,17,Pressure,216,Getafe,9,From Kick Off,216,Getafe,,,['e690ca68-a662-4da7-b059-5f02d153fb3c'],,"[89.4, 78.7]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.644,4.090999999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7273660335744241
5c549f75-d4a0-4aeb-b288-a69b0c65fc99,19,1,00:00:15.631,0,15,2,0.221196,30,Pass,216,Getafe,9,From Kick Off,218,Real Betis,,,['ce72b46d-8819-48e6-8909-80989ae1a278'],,"[27.0, 1.2]",27347.0,Juan Manuel Vargas Risco,6.0,Left Back,,,1.5,0.0,1.0,Ground Pass,"[28.5, 1.2]",38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.631,0.9870000000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7188886920971399
ce72b46d-8819-48e6-8909-80989ae1a278,20,1,00:00:15.853,0,15,2,0.0,6,Block,216,Getafe,9,From Kick Off,216,Getafe,,,['5c549f75-d4a0-4aeb-b288-a69b0c65fc99'],,"[91.6, 78.9]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.853,0.22199999999999953,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5555999815176434
