id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,out,counterpress,interception_outcome_id,interception_outcome_name,clearance_left_foot,pass_switch,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,pass_cross,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_outswinging,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,foul_won_defensive,clearance_right_foot,shot_one_on_one,pass_through_ball,foul_committed_card_id,foul_committed_card_name,shot_first_time,goalkeeper_end_location,pass_goal_assist,shot_deflected,block_deflection,dribble_nutmeg,dribble_overrun,pass_cut_back,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,pass_no_touch,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
67c88554-2880-47ab-8da2-aa05faaac021,1184,1,00:34:09.443,34,9,100,,42,Ball Receipt*,210,Real Sociedad,2,From Corner,210,Real Sociedad,,,['ea0fc14e-3d34-45e2-aacb-dda6e7edb115'],,"[102.6, 77.2]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049.443,1.4940000000001419,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18904217370670018
f0d6800d-8955-491c-b63c-f7881c076943,1185,1,00:34:23.900,34,23,101,0.997082,30,Pass,1049,Granada,4,From Throw In,1049,Granada,,,['e5e7d2a7-968e-42b9-95cc-577816773c29'],,"[15.5, 0.1]",7158.0,Cristiano Biraghi,6.0,Left Back,25707.0,Francisco Manuel Rico Castro,17.551353,1.0587173,2.0,Low Pass,"[24.1, 15.4]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.9,14.45699999999988,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.4318003497672145
324a5d21-5e93-41ba-a951-b0482d36d411,1186,1,00:34:24.813,34,24,101,0.039995,17,Pressure,1049,Granada,4,From Throw In,210,Real Sociedad,,,"['a6ae2a6e-d657-4048-9b9a-9faf08dc2681', 'e5e7d2a7-968e-42b9-95cc-577816773c29']",,"[96.0, 64.7]",6690.0,Xabier Prieto Argarate,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.813,0.9130000000000109,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.06215416005686558
e5e7d2a7-968e-42b9-95cc-577816773c29,1187,1,00:34:24.853,34,24,101,,42,Ball Receipt*,1049,Granada,4,From Throw In,1049,Granada,,,"['324a5d21-5e93-41ba-a951-b0482d36d411', 'f0d6800d-8955-491c-b63c-f7881c076943']",,"[24.1, 15.4]",25707.0,Francisco Manuel Rico Castro,9.0,Right Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.853,0.03999999999996362,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6201140058067895
a6ae2a6e-d657-4048-9b9a-9faf08dc2681,1188,1,00:34:24.853,34,24,101,0.121301,43,Carry,1049,Granada,4,From Throw In,1049,Granada,,,"['2bd51438-eb4b-4008-86ba-a68bfb74ba3a', '324a5d21-5e93-41ba-a951-b0482d36d411', 'b50ddf98-9ed2-4e23-a81b-ff62bdcecfb8', 'e5e7d2a7-968e-42b9-95cc-577816773c29']",,"[24.1, 15.4]",25707.0,Francisco Manuel Rico Castro,9.0,Right Defensive Midfield,,,,,,,,,,,,True,"[24.1, 15.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.853,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.018422708065203963
b50ddf98-9ed2-4e23-a81b-ff62bdcecfb8,1189,1,00:34:24.853,34,24,101,0.0,6,Block,1049,Granada,4,From Throw In,210,Real Sociedad,,,['a6ae2a6e-d657-4048-9b9a-9faf08dc2681'],,"[96.0, 64.7]",6690.0,Xabier Prieto Argarate,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.853,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3661581185618443
2bd51438-eb4b-4008-86ba-a68bfb74ba3a,1190,1,00:34:24.974,34,24,101,0.0,38,Miscontrol,1049,Granada,4,From Throw In,1049,Granada,,,,,"[24.1, 15.4]",25707.0,Francisco Manuel Rico Castro,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.974,0.12100000000009459,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.19819614130377983
9c9169e6-e8d9-4087-a244-d883369ded0e,1191,1,00:34:26.742,34,26,101,0.198623,17,Pressure,1049,Granada,4,From Throw In,1049,Granada,,,"['6cc6c26c-8957-4ac0-9661-349f95551840', '77282f53-53b1-493c-bbaa-e399900c17b3']",,"[30.9, 23.6]",6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066.742,1.768000000000029,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.6910048064070223
77282f53-53b1-493c-bbaa-e399900c17b3,1192,1,00:34:26.852,34,26,102,0.0,2,Ball Recovery,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['9c9169e6-e8d9-4087-a244-d883369ded0e'],,"[91.3, 55.1]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066.852,0.10999999999967258,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19545276342061468
6cc6c26c-8957-4ac0-9661-349f95551840,1193,1,00:34:26.852,34,26,102,1.083568,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['2eeed7c1-9219-4f36-9cfd-4f53799a6de6', '5a23243b-165a-4632-a77c-8f9f66044ecb', '77282f53-53b1-493c-bbaa-e399900c17b3', '9c9169e6-e8d9-4087-a244-d883369ded0e']",,"[91.3, 55.1]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,True,"[87.4, 55.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066.852,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2556881470382325
5a23243b-165a-4632-a77c-8f9f66044ecb,1194,1,00:34:27.936,34,27,102,0.0,39,Dribbled Past,210,Real Sociedad,1,Regular Play,1049,Granada,,,"['06ff8f98-09c9-4891-b7d8-809b9336367c', '2eeed7c1-9219-4f36-9cfd-4f53799a6de6', '6cc6c26c-8957-4ac0-9661-349f95551840']",,"[32.7, 24.6]",6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.936,1.0840000000002874,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7991817786265661
2eeed7c1-9219-4f36-9cfd-4f53799a6de6,1195,1,00:34:27.936,34,27,102,0.0,14,Dribble,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['5a23243b-165a-4632-a77c-8f9f66044ecb'],,"[87.4, 55.5]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.936,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01128324171750561
06ff8f98-09c9-4891-b7d8-809b9336367c,1196,1,00:34:27.936,34,27,102,0.552858,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['2c3f1ec0-9910-4ded-8a2d-f03798060640', '2eeed7c1-9219-4f36-9cfd-4f53799a6de6', '5a23243b-165a-4632-a77c-8f9f66044ecb']",,"[87.4, 55.5]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,True,"[87.4, 54.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.936,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2264605034768522
