id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,out,pass_switch,pass_aerial_won,duel_type_id,duel_type_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_cross,pass_deflected,shot_first_time,clearance_head,clearance_aerial_won,interception_outcome_id,interception_outcome_name,dribble_nutmeg,pass_technique_id,pass_technique_name,pass_straight,pass_inswinging,foul_committed_advantage,foul_won_defensive,foul_won_advantage,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_goal_assist,shot_open_goal,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,injury_stoppage_in_chain,pass_through_ball,foul_committed_type_id,foul_committed_type_name,ball_recovery_recovery_failure,clearance_other,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,pass_no_touch,clearance_left_foot,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,block_save_block,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
ae5da8a3-e7b9-4329-9198-d3c44ed1f38f,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,209,Celta Vigo,1,Regular Play,209,Celta Vigo,4231.0,"[{'player': {'id': 6795, 'name': 'Rubén Blanco Veiga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9575571474056056
d9311fcd-7ac4-4c8e-bc09-87b1092ff1ba,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,209,Celta Vigo,1,Regular Play,218,Real Betis,4231.0,"[{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3601, 'name': 'Charly Musonda Junior'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.8819689566319299
249e9fe9-c39b-4c7f-95a3-43f8daf5cced,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,209,Celta Vigo,1,Regular Play,218,Real Betis,,,['a0646bf6-4a34-40d8-b1bb-71cf70dfb909'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1741787337371905
a0646bf6-4a34-40d8-b1bb-71cf70dfb909,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['249e9fe9-c39b-4c7f-95a3-43f8daf5cced'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.43249468582994666
fb3f0121-f608-4a56-8309-3964970f4770,5,1,00:00:00.181,0,0,2,0.730861,30,Pass,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['0cf96f6e-14da-4c7a-8bfd-ab7c7240aab9'],True,"[60.0, 40.0]",6038.0,John Guidetti,23.0,Center Forward,7105.0,Fabián Ariel Orellana Valenzuela,3.1257,-1.6991196,1.0,Ground Pass,"[59.6, 36.9]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181,0.181,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.634820467334142
0cf96f6e-14da-4c7a-8bfd-ab7c7240aab9,6,1,00:00:00.912,0,0,2,,42,Ball Receipt*,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['fb3f0121-f608-4a56-8309-3964970f4770'],,"[59.6, 36.9]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.912,0.7310000000000001,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8794647908403956
b4c27855-5782-4a1d-976f-1f673f928ce3,7,1,00:00:01.377,0,1,2,2.688184,30,Pass,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['083eb413-7be2-4174-9be2-5360474a440b'],,"[60.1, 36.4]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,7577.0,Carles Planas Antolínez,37.821953,-2.0758405,3.0,High Pass,"[41.8, 3.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.377,0.46499999999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9626233595800613
083eb413-7be2-4174-9be2-5360474a440b,8,1,00:00:04.065,0,4,2,,42,Ball Receipt*,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,['b4c27855-5782-4a1d-976f-1f673f928ce3'],,"[41.8, 3.3]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.065,2.6880000000000006,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5286175412412507
a8d14fcc-780e-4347-a2d3-8bcd57a0941e,9,1,00:00:04.065,0,4,2,0.968302,43,Carry,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,"['083eb413-7be2-4174-9be2-5360474a440b', '4ded8cb1-664f-4e0a-b210-133ff77ede65']",,"[41.8, 3.3]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,"[39.3, 5.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.065,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6320036614021465
4ded8cb1-664f-4e0a-b210-133ff77ede65,10,1,00:00:05.034,0,5,2,2.663386,30,Pass,209,Celta Vigo,9,From Kick Off,209,Celta Vigo,,,"['72a04bec-49b3-477a-a03d-57e67b901e59', 'c6d61952-bf67-401b-94f0-883986901d05']",,"[39.3, 5.5]",7577.0,Carles Planas Antolínez,6.0,Left Back,6796.0,Nemanja Radoja,23.617155,1.5326792,1.0,Ground Pass,"[40.2, 29.1]",38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.034,0.9689999999999994,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9978136189511915
