id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_goal_assist,dribble_outcome_id,dribble_outcome_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,pass_switch,pass_aerial_won,pass_cross,ball_recovery_recovery_failure,out,pass_shot_assist,goalkeeper_end_location,clearance_left_foot,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_technique_id,pass_technique_name,pass_inswinging,shot_deflected,block_deflection,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,shot_aerial_won,clearance_right_foot,50_50_outcome_id,50_50_outcome_name,pass_deflected,miscontrol_aerial_won,pass_no_touch,pass_cut_back,foul_committed_advantage,foul_won_advantage,shot_saved_off_target,goalkeeper_shot_saved_off_target,dribble_overrun,ball_recovery_offensive,pass_outswinging,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,shot_one_on_one,goalkeeper_punched_out,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
a149eb65-487b-4455-8c97-dfb01baef5dc,199,1,00:04:29.684,4,29,9,2.348974,43,Carry,215,Athletic Club,1,Regular Play,220,Real Madrid,,,"['4709e998-8915-4f28-bb4b-ea459aa4d5f1', '6466ca92-6e5f-43f3-91e9-5bcf70643736']","[7.0, 28.6]",5597.0,Keylor Navas Gamboa,1.0,Goalkeeper,,,,,,,,,,,,"[9.5, 26.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.684,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6019410490191246
6466ca92-6e5f-43f3-91e9-5bcf70643736,200,1,00:04:32.033,4,32,9,2.70521,30,Pass,215,Athletic Club,1,Regular Play,220,Real Madrid,,,['b1d8e975-0486-42f5-8634-433e2ed7d855'],"[9.5, 26.5]",5597.0,Keylor Navas Gamboa,1.0,Goalkeeper,5207.0,Cristiano Ronaldo dos Santos Aveiro,55.06251,-0.26083636,3.0,High Pass,"[62.7, 12.3]",40.0,Right Foot,,,,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.033,2.3489999999999895,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.30537403565219634
b1d8e975-0486-42f5-8634-433e2ed7d855,201,1,00:04:34.738,4,34,9,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,220,Real Madrid,,,['6466ca92-6e5f-43f3-91e9-5bcf70643736'],"[62.7, 12.3]",5207.0,Cristiano Ronaldo dos Santos Aveiro,21.0,Left Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.738,2.704999999999984,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.007254561650138158
29eb3ba3-f9b6-44aa-a8de-e3cd5ce34c41,202,1,00:04:44.703,4,44,10,2.350441,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['8d84609e-72fa-4719-b3b9-f625d7edcdf2'],"[57.2, 67.3]",6396.0,Beñat Etxebarria Urkiaga,9.0,Right Defensive Midfield,6388.0,Ander Iturraspe Derteano,17.432442,-1.8617036,1.0,Ground Pass,"[52.2, 50.6]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.703,9.964999999999975,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.175162325827262
8d84609e-72fa-4719-b3b9-f625d7edcdf2,203,1,00:04:47.053,4,47,10,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['29eb3ba3-f9b6-44aa-a8de-e3cd5ce34c41'],"[52.2, 50.6]",6388.0,Ander Iturraspe Derteano,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.053,2.3500000000000227,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0077113375419891605
a5ae9738-e03c-44db-8b60-9a956525e444,204,1,00:04:47.788,4,47,10,0.946572,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['3bae86dc-4195-4e04-9afd-48487cffa38f'],"[55.8, 61.2]",6388.0,Ander Iturraspe Derteano,11.0,Left Defensive Midfield,6788.0,Xabier Etxeita Gorritxategi,14.473424,-2.946907,1.0,Ground Pass,"[41.6, 58.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.788,0.7350000000000136,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3953724781293162
3bae86dc-4195-4e04-9afd-48487cffa38f,205,1,00:04:48.734,4,48,10,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['a5ae9738-e03c-44db-8b60-9a956525e444'],"[41.6, 58.4]",6788.0,Xabier Etxeita Gorritxategi,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.734,0.9459999999999695,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8002553204112312
bad62056-36e9-4b06-9580-7ff856397365,206,1,00:04:48.734,4,48,10,0.960608,43,Carry,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,"['3bae86dc-4195-4e04-9afd-48487cffa38f', '588011ac-88f4-44c1-9234-978672e0017c']","[41.6, 58.4]",6788.0,Xabier Etxeita Gorritxategi,3.0,Right Center Back,,,,,,,,,,,,"[41.4, 56.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.734,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46430529432644496
588011ac-88f4-44c1-9234-978672e0017c,207,1,00:04:49.695,4,49,10,2.203118,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['1ff76632-5124-4fb5-943d-82682fdeaa72'],"[41.4, 56.8]",6788.0,Xabier Etxeita Gorritxategi,3.0,Right Center Back,4353.0,Aymeric Laporte,34.707058,-1.7241029,1.0,Ground Pass,"[36.1, 22.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.695,0.9610000000000127,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.16756668825643517
1ff76632-5124-4fb5-943d-82682fdeaa72,208,1,00:04:51.898,4,51,10,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['588011ac-88f4-44c1-9234-978672e0017c'],"[36.1, 22.5]",4353.0,Aymeric Laporte,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.898,2.2030000000000314,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7502679365214772
