id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,ball_recovery_recovery_failure,counterpress,shot_one_on_one,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,out,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,dribble_overrun,pass_technique_id,pass_technique_name,pass_through_ball,foul_committed_offensive,foul_won_defensive,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_no_touch,foul_won_advantage,foul_committed_advantage,pass_goal_assist,clearance_head,shot_first_time,pass_deflected,block_deflection,foul_committed_card_id,foul_committed_card_name,pass_no_touch,clearance_aerial_won,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,clearance_left_foot,dribble_nutmeg,pass_outswinging,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
53a454be-da24-4126-a23f-b69752bd16d9,2247,2,00:05:15.633,50,15,120,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['8aaf74b0-2387-48d5-b18e-b74c1f98cff0'],,"[81.1, 64.3]",6673.0,Sergio Canales Madrazo,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.633,1.3589999999999804,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21703019271928892
16f481e1-366a-4e69-8bb9-5f379854ea9a,2248,2,00:05:15.633,50,15,120,5.476265,43,Carry,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['53a454be-da24-4126-a23f-b69752bd16d9', '79631ad4-1ce6-48f8-9719-b53d379a5acd']",,"[81.1, 64.3]",6673.0,Sergio Canales Madrazo,13.0,Right Center Midfield,,,,,,,,,,,,"[82.3, 62.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.633,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17490037619936205
79631ad4-1ce6-48f8-9719-b53d379a5acd,2249,2,00:05:21.109,50,21,120,1.573114,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['5a349b46-7870-47c0-9ac3-f6e5dd6eeb9a'],,"[82.3, 62.4]",6673.0,Sergio Canales Madrazo,13.0,Right Center Midfield,6671.0,Asier Illarramendi Andonegi,15.160475,-2.6011732,1.0,Ground Pass,"[69.3, 54.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.109,5.475999999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1397539715235233
5a349b46-7870-47c0-9ac3-f6e5dd6eeb9a,2250,2,00:05:22.682,50,22,120,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['79631ad4-1ce6-48f8-9719-b53d379a5acd'],,"[69.3, 54.6]",6671.0,Asier Illarramendi Andonegi,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.682,1.573000000000036,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9444666249982654
381a5a7b-644c-48ae-b510-97f393e091c3,2251,2,00:05:22.682,50,22,120,0.201925,43,Carry,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['025d8c81-69b7-416c-b945-629d712db75c', '5a349b46-7870-47c0-9ac3-f6e5dd6eeb9a']",,"[69.3, 54.6]",6671.0,Asier Illarramendi Andonegi,10.0,Center Defensive Midfield,,,,,,,,,,,,"[68.3, 54.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.682,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.639563688208836
025d8c81-69b7-416c-b945-629d712db75c,2252,2,00:05:22.884,50,22,120,1.181526,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['db5d0b2d-0b40-4eb7-abaa-ebede8aab85b'],,"[68.3, 54.4]",6671.0,Asier Illarramendi Andonegi,10.0,Center Defensive Midfield,8522.0,Armindo Tué Na Bangna,8.287943,-0.72564036,1.0,Ground Pass,"[74.5, 48.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.884,0.20199999999999818,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3277571063752682
db5d0b2d-0b40-4eb7-abaa-ebede8aab85b,2253,2,00:05:24.066,50,24,120,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['025d8c81-69b7-416c-b945-629d712db75c'],,"[74.5, 48.9]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.066,1.1819999999999595,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6850838489944244
fffd0e2f-02b5-4e11-b2a3-9f3c1729495d,2254,2,00:05:24.066,50,24,120,1.015589,43,Carry,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['3ffc7c84-7a70-432d-ac7f-14f13d4df8df', 'db5d0b2d-0b40-4eb7-abaa-ebede8aab85b']",,"[74.5, 48.9]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,"[74.7, 52.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.066,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10006897756963307
3ffc7c84-7a70-432d-ac7f-14f13d4df8df,2255,2,00:05:25.081,50,25,120,1.285563,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['dd27011d-ee6d-40c8-93a1-5735fe7a5fcf'],,"[74.7, 52.8]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,6673.0,Sergio Canales Madrazo,14.95861,1.0533086,1.0,Ground Pass,"[82.1, 65.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.081,1.0150000000000432,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.05490097094516089
dd27011d-ee6d-40c8-93a1-5735fe7a5fcf,2256,2,00:05:26.367,50,26,120,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['3ffc7c84-7a70-432d-ac7f-14f13d4df8df'],,"[82.1, 65.8]",6673.0,Sergio Canales Madrazo,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.367,1.2860000000000014,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5020619747665241
