id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,pass_technique_id,pass_technique_name,pass_inswinging,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_cross,pass_switch,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,out,pass_aerial_won,foul_committed_advantage,foul_won_advantage,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,clearance_head,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,foul_won_defensive,ball_recovery_recovery_failure,shot_first_time,pass_outswinging,shot_aerial_won,miscontrol_aerial_won,pass_no_touch,pass_miscommunication,foul_committed_card_id,foul_committed_card_name,block_offensive,block_save_block,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,injury_stoppage_in_chain,50_50_outcome_id,50_50_outcome_name,dribble_overrun,foul_committed_offensive,shot_one_on_one,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
cba1e3e7-80bf-4a2d-91b9-ded2a37b0e73,178,1,00:04:34.288,4,34,14,0.0565,17,Pressure,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,['0573620f-b36e-460f-9394-eb2ec61c7af3'],,"[34.9, 74.1]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.288,0.9920000000000186,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4826027937462628
b3d3d340-f979-4e1c-a31c-6966e59f0959,179,1,00:04:35.073,4,35,14,0.0,39,Dribbled Past,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,"['cffd2d3b-00ce-4ca3-9880-a178dd3f03f2', 'f1e79c72-d8a0-404d-ad37-d051f0bcab8a']",,"[31.8, 76.5]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.073,0.7849999999999682,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9640240851164555
f1e79c72-d8a0-404d-ad37-d051f0bcab8a,180,1,00:04:35.073,4,35,14,0.0,14,Dribble,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['b3d3d340-f979-4e1c-a31c-6966e59f0959'],,"[88.3, 3.6]",7900.0,Tiago Manuel Dias Correia,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.073,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16767444739861814
cffd2d3b-00ce-4ca3-9880-a178dd3f03f2,181,1,00:04:35.073,4,35,14,1.324878,43,Carry,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['2b24012a-5a76-4074-8ddb-f60187ecabf3', 'b3d3d340-f979-4e1c-a31c-6966e59f0959', 'f1e79c72-d8a0-404d-ad37-d051f0bcab8a']",,"[88.3, 3.6]",7900.0,Tiago Manuel Dias Correia,21.0,Left Wing,,,,,,,,,,,,"[99.6, 9.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.073,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16719984457014236
2b24012a-5a76-4074-8ddb-f60187ecabf3,182,1,00:04:36.398,4,36,14,0.994939,30,Pass,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['bc0d9b3a-530b-43c0-be65-8c5d2cd7a39f'],,"[99.6, 9.3]",7900.0,Tiago Manuel Dias Correia,21.0,Left Wing,,,22.147234,1.1374425,1.0,Ground Pass,"[108.9, 29.4]",38.0,Left Foot,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.398,1.3250000000000455,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6265308070135047
bc0d9b3a-530b-43c0-be65-8c5d2cd7a39f,183,1,00:04:37.393,4,37,14,0.611064,30,Pass,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,"['0b38cc77-24a7-461f-bf68-81500e8aa77f', '2b24012a-5a76-4074-8ddb-f60187ecabf3']",,"[11.2, 50.7]",6727.0,Raúl Albentosa Redal,3.0,Right Center Back,16723.0,Egor Filipenko,9.871676,0.6921443,1.0,Ground Pass,"[18.8, 57.0]",40.0,Right Foot,64.0,Interception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.39300000000003,0.9950000000000045,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8741107734964157
0b38cc77-24a7-461f-bf68-81500e8aa77f,184,1,00:04:38.004,4,38,14,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,['bc0d9b3a-530b-43c0-be65-8c5d2cd7a39f'],,"[18.8, 57.0]",16723.0,Egor Filipenko,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.004,0.61099999999999,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9719783965840527
f8f0e600-bd83-4ff7-ad77-6ac86e2df92a,185,1,00:04:38.004,4,38,14,1.673006,43,Carry,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,"['09f4ec3e-b6b3-44d6-b448-a27dee3f17bf', '0b38cc77-24a7-461f-bf68-81500e8aa77f', 'f6c1ee70-602e-4bd8-a269-06cd8498a5c3']",,"[18.8, 57.0]",16723.0,Egor Filipenko,9.0,Right Defensive Midfield,,,,,,,,,,,,"[22.3, 54.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.004,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.48754442960293554
f6c1ee70-602e-4bd8-a269-06cd8498a5c3,186,1,00:04:38.554,4,38,14,1.074317,17,Pressure,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['f8f0e600-bd83-4ff7-ad77-6ac86e2df92a'],,"[100.3, 28.2]",4711.0,Pablo Hernández Domínguez,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.554,0.5499999999999545,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.041167189807949645
09f4ec3e-b6b3-44d6-b448-a27dee3f17bf,187,1,00:04:39.677,4,39,14,1.006336,3,Dispossessed,360,Rayo Vallecano,3,From Free Kick,223,Málaga,,,['d5971dbe-6a36-4596-b3c4-9763b96c0309'],,"[22.3, 54.7]",16723.0,Egor Filipenko,9.0,Right Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.677,1.1230000000000473,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2970972213449742
