id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,clearance_aerial_won,out,foul_won_defensive,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,clearance_left_foot,duel_outcome_id,duel_outcome_name,pass_technique_id,pass_technique_name,pass_inswinging,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_lost_out,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,off_camera,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_card_id,foul_committed_card_name,pass_through_ball,miscontrol_aerial_won,ball_recovery_recovery_failure,dribble_overrun,pass_outswinging,clearance_right_foot,shot_open_goal,shot_first_time,foul_committed_advantage,foul_won_advantage,pass_cut_back,pass_goal_assist,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,pass_miscommunication,bad_behaviour_card_id,bad_behaviour_card_name,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
0cb35d64-7aa3-4429-92db-1d2e1bcec558,402,1,00:10:51.277,10,51,27,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['24d298ac-a7ba-48e4-a8a6-09d44a4cf829'],"[38.5, 18.6]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.277,1.469000000000051,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1361791525649616
31a43233-0052-4770-bf29-238404f2a867,403,1,00:10:51.277,10,51,27,0.948157,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['0cb35d64-7aa3-4429-92db-1d2e1bcec558', '4e7c77e7-3fbd-46f7-9019-29e0211e6754']","[38.5, 18.6]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,"[37.7, 20.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.277,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8147953101111536
4e7c77e7-3fbd-46f7-9019-29e0211e6754,404,1,00:10:52.225,10,52,27,1.368897,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['c29a636e-f83e-499b-b947-f2a73b6857b7'],"[37.7, 20.7]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,8522.0,Armindo Tué Na Bangna,11.025879,-0.89463896,1.0,Ground Pass,"[44.6, 12.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.225,0.9479999999999791,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7007743278244029
c29a636e-f83e-499b-b947-f2a73b6857b7,405,1,00:10:53.594,10,53,27,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['4e7c77e7-3fbd-46f7-9019-29e0211e6754'],"[44.6, 12.1]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.594,1.3690000000000282,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19416881938800878
0ce2ea7f-73ae-45d4-a4e8-b34c4c7c6ca3,406,1,00:10:53.594,10,53,27,3.645084,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['5b424086-b822-4c85-b36a-7444b464ee08', 'c29a636e-f83e-499b-b947-f2a73b6857b7']","[44.6, 12.1]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,"[50.3, 12.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.594,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.38015709749167004
5b424086-b822-4c85-b36a-7444b464ee08,407,1,00:10:57.239,10,57,27,4.317561,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['6e8607a4-dfc2-4bdb-b915-5e235c19ab21', '73918e19-b3be-46b5-8527-6eb28afdfb0d']","[50.3, 12.3]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,6685.0,Mikel Oyarzabal Ugarte,68.54816,0.49562106,3.0,High Pass,"[110.6, 44.9]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.239,3.644999999999982,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.13737640589519073
73918e19-b3be-46b5-8527-6eb28afdfb0d,408,1,00:11:01.556,11,1,27,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['5b424086-b822-4c85-b36a-7444b464ee08'],"[104.1, 41.5]",6685.0,Mikel Oyarzabal Ugarte,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.556,4.317000000000007,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8638046009976225
6e8607a4-dfc2-4bdb-b915-5e235c19ab21,409,1,00:11:01.556,11,1,28,0.0,2,Ball Recovery,223,Málaga,1,Regular Play,223,Málaga,,,['5b424086-b822-4c85-b36a-7444b464ee08'],"[9.5, 35.2]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.556,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6925492320753954
47978210-011a-4968-9f3a-0197f5a8d138,410,1,00:11:01.556,11,1,28,11.267889,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['1f626a3e-aaf6-4f5f-a6d1-e9d2ef44fadf', '6e8607a4-dfc2-4bdb-b915-5e235c19ab21']","[9.5, 35.2]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,,,,,,,,,,,,"[11.6, 30.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.556,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8026809536073756
1f626a3e-aaf6-4f5f-a6d1-e9d2ef44fadf,411,1,00:11:12.824,11,12,28,4.314315,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['6f9e2898-271a-4b8a-8704-9d97c374ef80'],"[11.6, 30.0]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,8419.0,Duje Čop,69.96835,-0.12754591,3.0,High Pass,"[81.0, 21.1]",68.0,Drop Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.824,11.267999999999915,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5972280393364985
