id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,out,ball_recovery_recovery_failure,pass_cross,pass_switch,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,counterpress,off_camera,foul_won_defensive,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_key_pass_id,shot_aerial_won,dribble_overrun,ball_recovery_offensive,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_type_id,foul_committed_type_name,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,block_deflection,clearance_aerial_won,pass_outswinging,pass_goal_assist,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,foul_committed_offensive,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,50_50_outcome_id,50_50_outcome_name,pass_through_ball,pass_straight,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
87768eb0-13d4-4572-bc80-c10623e9ca03,1602,2,00:13:13.633,58,13,119,0.0,39,Dribbled Past,1049,Granada,9,From Kick Off,223,Málaga,,,"['807ad3af-621f-4177-8b38-85b9ebe0d6e6', 'd0341db1-dd58-46f8-a27b-665e957e8963']","[26.4, 30.1]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.633,1.0529999999999973,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5539887817747478
807ad3af-621f-4177-8b38-85b9ebe0d6e6,1603,2,00:13:13.633,58,13,119,0.0,14,Dribble,1049,Granada,9,From Kick Off,1049,Granada,,,"['707f7f7f-458a-4a6c-9177-305a3992d98c', '87768eb0-13d4-4572-bc80-c10623e9ca03']","[93.7, 50.0]",6680.0,Rubén Rochina Naixes,19.0,Center Attacking Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.633,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.139171407666822
d0341db1-dd58-46f8-a27b-665e957e8963,1604,2,00:13:13.633,58,13,119,3.922779,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['707f7f7f-458a-4a6c-9177-305a3992d98c', '807ad3af-621f-4177-8b38-85b9ebe0d6e6', '87768eb0-13d4-4572-bc80-c10623e9ca03', '8d8e7727-ad84-4fd8-afeb-fea93958a332']","[93.7, 50.0]",6680.0,Rubén Rochina Naixes,19.0,Center Attacking Midfield,,,,,,,,,,,,"[90.8, 50.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.633,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.792617734201517
8d8e7727-ad84-4fd8-afeb-fea93958a332,1605,2,00:13:17.556,58,17,119,2.281211,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['968ad541-f913-4a0c-9ceb-2605af7e0444'],"[90.8, 50.0]",6680.0,Rubén Rochina Naixes,19.0,Center Attacking Midfield,6918.0,Isaac Ajayi Success,37.161404,-1.3095006,3.0,High Pass,"[100.4, 14.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.556,3.923000000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.49522374295305827
968ad541-f913-4a0c-9ceb-2605af7e0444,1606,2,00:13:19.837,58,19,119,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['8d8e7727-ad84-4fd8-afeb-fea93958a332'],"[100.4, 14.1]",6918.0,Isaac Ajayi Success,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.837,2.280999999999949,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4671152773154973
9d937cd3-7809-49c4-a91c-a2c8cddab18a,1607,2,00:13:19.837,58,19,119,0.352003,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['3d19ca82-c31d-49f1-b051-7e7f4091903d', '968ad541-f913-4a0c-9ceb-2605af7e0444']","[100.4, 14.1]",6918.0,Isaac Ajayi Success,21.0,Left Wing,,,,,,,,,,,,"[100.4, 14.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.837,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18266325785611404
3d19ca82-c31d-49f1-b051-7e7f4091903d,1608,2,00:13:20.189,58,20,119,0.0,22,Foul Committed,1049,Granada,9,From Kick Off,1049,Granada,,,,"[100.4, 14.1]",6918.0,Isaac Ajayi Success,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,Handball,,,,,,,,,,,,,,,True,,,,,,,,800.189,0.35199999999997544,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2994554014552244
d5d00284-5442-4cbc-919c-550c86d3f999,1609,2,00:14:01.516,59,1,120,3.23926,30,Pass,223,Málaga,3,From Free Kick,223,Málaga,,,"['61bf3c4c-1357-431e-ad9f-560e267faf1e', '93c45f37-8af1-4402-921b-65774d60f725']","[19.7, 66.0]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,6764.0,Pablo Fornals Malla,61.815857,-0.022649847,3.0,High Pass,"[81.5, 64.6]",40.0,Right Foot,62.0,Free Kick,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.516,41.327,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.160668690007003
93c45f37-8af1-4402-921b-65774d60f725,1610,2,00:14:04.755,59,4,120,,42,Ball Receipt*,223,Málaga,3,From Free Kick,223,Málaga,,,['d5d00284-5442-4cbc-919c-550c86d3f999'],"[79.0, 62.6]",6764.0,Pablo Fornals Malla,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.755,3.2390000000000327,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.031443850496333914
61bf3c4c-1357-431e-ad9f-560e267faf1e,1611,2,00:14:04.755,59,4,120,1.729518,30,Pass,223,Málaga,3,From Free Kick,1049,Granada,,,"['6af69ad7-9ba9-40d5-9a2d-d0fda10958cd', '85030cc0-2aef-445d-9280-e61a6ec25c6a', 'd5d00284-5442-4cbc-919c-550c86d3f999', 'f60902b0-fe26-4321-a4d1-1ce580766cb3']","[38.6, 15.5]",6702.0,David Rodríguez Lombán,5.0,Left Center Back,6847.0,Adalberto Peñaranda Maestre,20.109947,0.2256807,3.0,High Pass,"[58.2, 20.0]",,,66.0,Recovery,,True,,,True,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.755,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9680456684544864
85030cc0-2aef-445d-9280-e61a6ec25c6a,1612,2,00:14:04.755,59,4,120,0.0,4,Duel,223,Málaga,3,From Free Kick,223,Málaga,,,['61bf3c4c-1357-431e-ad9f-560e267faf1e'],"[81.5, 64.6]",6764.0,Pablo Fornals Malla,17.0,Right Wing,,,,,,,,,,,,,True,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.755,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22981460364449802
f60902b0-fe26-4321-a4d1-1ce580766cb3,1613,2,00:14:06.485,59,6,120,,42,Ball Receipt*,223,Málaga,3,From Free Kick,1049,Granada,,,['61bf3c4c-1357-431e-ad9f-560e267faf1e'],"[56.1, 20.5]",6847.0,Adalberto Peñaranda Maestre,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.485,1.7300000000000182,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7971192050190686
dad70758-a7ee-4065-b053-bf7901f08a0c,1614,2,00:14:06.485,59,6,120,0.0,4,Duel,223,Málaga,3,From Free Kick,1049,Granada,,,['6af69ad7-9ba9-40d5-9a2d-d0fda10958cd'],"[58.2, 20.0]",6847.0,Adalberto Peñaranda Maestre,23.0,Center Forward,,,,,,,,,,,,,True,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.485,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4615875336536366
